DateTime,Entries,UniqueIPs
1499681731,355,355
1499685345,357,357
1499688886,352,352
1499692522,352,352
1499696107,355,355
1499699734,357,357
1499703344,343,343
1499706940,341,341
1499710515,354,354
1499714118,338,338
1499717753,334,334
1499721300,341,341
1499724897,350,350
1499728499,351,351
1499732192,384,384
1499735720,378,378
1499739350,372,372
1499742925,354,354
1499746538,356,356
1499750123,353,353
1499753725,359,359
1499757364,354,354
1499760942,370,370
1499764522,373,373
1499768163,372,372
1499771735,366,366
1499775337,368,368
1499782558,378,378
1499786120,376,376
1499789731,363,363
1499793327,350,350
1499796888,355,355
1499800517,354,354
1499804120,355,355
1499807725,358,358
1499811330,347,347
1499814930,354,354
1499818563,379,379
1499822123,365,365
1499825729,361,361
1499829353,343,343
1499832920,343,343
1499836556,353,353
1499840108,366,366
1499843733,361,361
1499847345,370,370
1499850897,371,371
1499854540,373,373
1499858113,371,371
1499861734,369,369
1499865348,367,367
1499868926,341,341
1499872555,337,337
1499876098,353,353
1499879718,341,341
1499883341,346,346
1499886936,349,349
1499890493,350,350
1499894148,344,344
1499897697,360,360
1499901329,357,357
1499904977,381,381
1499908529,386,386
1499912103,386,386
1499915729,369,369
1499919317,375,375
1499922897,384,384
1499926519,378,378
1499930064,380,380
1499933756,376,376
1499937317,364,364
1499940931,373,373
1499944529,373,373
1499948067,379,379
1499951730,373,373
1499955355,366,366
1499958901,373,373
1499962508,372,372
1499966111,382,382
1499969684,379,379
1499973288,372,372
1499976915,371,371
1499980513,369,369
1499984101,346,346
1499987718,344,344
1499991349,361,361
1499994920,381,381
1499998513,389,389
1500002106,354,354
1500005730,349,349
1500009296,354,354
1500012922,353,353
1500016495,360,360
1500020148,359,359
1500023686,354,354
1500027328,357,357
1500030867,353,353
1500034512,359,359
1500038139,361,361
1500041720,356,356
1500045289,342,342
1500048939,345,345
1500052495,355,355
1500056113,359,359
1500059697,360,360
1500063314,361,361
1500066894,356,356
1500070479,344,344
1500074116,362,362
1500077747,387,387
1500081299,387,387
1500084902,387,387
1500088505,343,343
1500092107,348,348
1500095664,370,370
1500099280,376,376
1500102926,373,373
1500106500,373,373
1500110133,368,368
1500113696,370,370
1500117306,367,367
1500120888,368,368
1500124526,348,348
1500128085,344,344
1500131716,363,363
1500135303,361,361
1500138925,363,363
1500142472,363,363
1500146112,366,366
1500149720,365,365
1500153336,370,370
1500156896,351,351
1500160525,361,361
1500164151,389,389
1500167686,383,383
1500171339,380,380
1500174881,373,373
1500178513,370,370
1500182085,367,367
1500185709,355,355
1500189297,349,349
1500192877,361,361
1500196501,371,371
1500200066,373,373
1500203689,377,377
1500207283,374,374
1500210899,372,372
1500214502,365,365
1500218069,371,371
1500221656,363,363
1500225299,374,374
1500228890,375,375
1500232515,365,365
1500236105,365,365
1500239679,367,367
1500243286,363,363
1500246894,363,363
1500250573,364,364
1500254104,368,368
1500257685,368,368
1500261284,363,363
1500264905,367,367
1500268504,360,360
1500272087,363,363
1500275679,362,362
1500279325,354,354
1500282907,371,371
1500286477,378,378
1500290100,377,377
1500293730,385,385
1500297290,379,379
1500300898,374,374
1500304524,371,371
1500308084,369,369
1500311681,366,366
1500315321,376,376
1500318884,365,365
1500322508,340,340
1500326080,355,355
1500329689,350,350
1500333316,344,344
1500336938,376,376
1500340491,381,381
1500344130,381,381
1500347717,363,363
1500351336,358,358
1500354934,345,345
1500358524,343,343
1500362115,355,355
