DateTime,Entries,UniqueIPs
1498842485,9,9
1498849682,8,8
1498853288,7,7
1498860467,9,9
1498867752,10,10
1498871295,9,9
1498874896,8,8
1498878490,6,6
1498882113,7,7
1498885686,9,9
1498889276,10,10
1498896479,11,11
1498900101,12,12
1498903694,11,11
1498910891,10,10
1498914517,11,11
1498928882,12,12
1498932485,10,10
1498936106,11,11
1498946888,12,12
1498950491,11,11
1498954141,12,12
1498961277,13,13
1498964922,15,15
1498975680,14,14
1498979282,13,13
1498982899,14,14
1498990081,15,15
1498993679,16,16
1498997303,15,15
1499004506,15,15
1499008095,12,12
1499015299,13,13
1499018900,13,13
1499029697,12,12
1499033293,11,11
1499036889,10,10
1499040529,12,12
1499044035,14,14
1499047695,13,13
1499051245,11,11
1499058449,10,10
1499072852,10,10
1499083666,12,12
1499087256,11,11
1499090839,10,10
1499098053,9,9
1499101660,10,10
1499112459,10,10
1499126902,11,11
1499148472,11,11
1499152055,9,9
1499155689,11,11
1499162874,11,11
1499173665,12,12
1499177278,11,11
1499180856,10,10
1499188086,9,9
1499191712,11,11
1499195262,12,12
1499206047,13,13
1499209641,12,12
1499216880,11,11
1499220478,11,11
1499224064,11,11
1499234842,12,12
1499238474,11,11
1499242089,13,13
1499245661,14,14
1499249296,14,14
1499252863,15,15
1499256486,14,14
1499263677,15,15
1499267288,14,14
1499270865,13,13
1499285288,11,11
1499288876,11,11
1499292471,13,13
1499296084,14,14
1499299698,15,15
1499306869,12,12
1499310487,9,9
1499328458,10,10
1499360858,9,9
1499364478,10,10
1499386106,9,9
1499393276,10,10
1499396865,11,11
1499407660,10,10
1499411262,11,11
1499432864,10,10
1499436459,9,9
1499440063,8,8
1499447255,10,10
1499450876,9,9
1499461678,8,8
1499468869,9,9
1499472502,11,11
1499486891,10,10
1499497689,8,8
1499501279,10,10
1499512069,11,11
1499519294,10,10
1499522864,11,11
1499555266,10,10
1499558935,11,11
1499566068,12,12
1499569682,11,11
1499576898,12,12
1499580493,13,13
1499591292,12,12
1499594885,14,14
1499612896,12,12
1499623675,14,14
1499645314,13,13
1499652464,10,10
1499656071,9,9
1499663264,10,10
1499674067,13,13
1499677684,12,12
1499688448,11,11
1499692077,12,12
1499695672,13,13
1499702885,11,11
1499706480,11,11
1499710064,11,11
1499720871,12,12
1499724460,13,13
1499735291,12,12
1499738895,11,11
1499742480,14,14
1499749676,13,13
1499753272,14,14
1499756897,14,14
1499764082,15,15
1499774868,16,16
1499778489,14,14
1499782087,13,13
1499785691,12,12
1499789286,13,13
1499800069,15,15
1499807268,13,13
1499810887,14,14
1499814489,13,13
1499818107,14,14
1499821693,13,13
1499825279,12,12
1499828883,13,13
1499832489,12,12
1499839665,14,14
1499843290,13,13
1499854084,13,13
1499879279,14,14
1499882888,14,14
1499886475,13,13
1499890079,15,15
1499893702,14,14
1499897272,13,13
1499900889,14,14
1499904520,13,13
1499911674,14,14
1499922448,17,17
1499926066,14,14
1499936880,9,9
1499940468,9,9
1499944076,10,10
1499947660,12,12
1499951288,13,13
1499954878,13,13
1499958470,15,15
1499962067,13,13
1499965672,14,14
1499969258,13,13
1499972863,14,14
1499976490,16,16
1499980080,15,15
1499983664,16,16
1499987279,14,14
1499990903,12,12
1499994477,14,14
1499998060,11,11
1500001676,8,8
1500005289,9,9
1500008853,11,11
1500023240,10,10
1500026872,11,11
1500030447,12,12
1500041277,11,11
1500044858,7,7
1500048483,10,10
1500052072,11,11
1500055669,12,12
1500062880,16,16
1500066474,14,14
1500073656,17,17
1500088073,15,15
1500091674,13,13
1500095263,16,16
1500098858,17,17
