DateTime,Entries,UniqueIPs
1495742674,13,13
1495764267,12,12
1495767870,13,13
1495785878,12,12
1495789480,13,13
1495793079,12,12
1495796673,13,13
1495807491,12,12
1495811070,13,13
1495821873,12,12
1495825473,13,13
1495868680,12,12
1495872278,13,13
1495897478,12,12
1495901070,13,13
1495933483,12,12
1495937079,13,13
1495951484,11,11
1495955071,13,13
1495980284,12,12
1495998277,13,13
1496005482,12,12
1496009072,13,13
1496016306,12,12
1496019893,13,13
1496153082,14,14
1496160297,13,13
1496163897,15,15
1496178290,13,13
1496181899,15,15
1496199891,14,14
1496203507,15,15
1496217887,14,14
1496221501,15,15
1496268294,14,14
1496271903,15,15
1496300701,14,14
1496304297,15,15
1496315113,14,14
1496318686,15,15
1496333092,15,15
1496336687,16,16
1496372719,17,17
1496376293,16,16
1496379900,17,17
1496394301,15,15
1496397891,17,17
1496415888,16,16
1496419498,17,17
1496433877,16,16
1496437521,17,17
1496451853,16,16
1496455463,17,17
1496477076,16,16
1496480682,16,16
1496484269,17,17
1496538281,16,16
1496541884,17,17
1496563479,16,16
1496570678,16,16
1496574272,17,17
1496581476,16,16
1496585070,17,17
1496588686,16,16
1496592278,17,17
1496599471,16,16
1496617478,15,15
1496621120,16,16
1496635493,15,15
1496642675,16,16
1496646279,15,15
1496649876,16,16
1496678665,15,15
1496685878,14,14
1496693066,15,15
1496700278,16,16
1496703869,15,15
1496707520,16,16
1496721890,15,15
1496732690,15,15
1496736296,13,13
1496739869,14,14
1496747078,13,13
1496768683,11,11
1496772279,13,13
1496779471,12,12
1496808284,11,11
1496811889,12,12
1496822685,13,13
1496847888,12,12
1496851474,13,13
1496862271,14,14
1496887506,13,13
1496891095,14,14
1496919905,15,15
1496923486,14,14
1496927099,15,15
1496948715,14,14
1496973889,13,13
1496977489,14,14
1497020711,13,13
1497031508,14,14
1497045895,13,13
1497049484,14,14
1497143092,13,13
1497146719,14,14
1497157507,13,13
1497161091,14,14
1497222297,13,13
1497225931,12,12
1497229497,14,14
1497326701,15,15
1497337480,14,14
1497355484,13,13
1497359073,14,14
1497366273,13,13
1497377082,14,14
1497413083,13,13
1497431087,14,14
1497459878,15,15
1497467093,14,14
1497474275,13,13
1497477899,15,15
1497485107,16,16
1497492285,15,15
1497499473,16,16
1497506686,15,15
1497510268,15,15
1497513879,16,16
1497535471,16,16
1497542686,17,17
1497546265,16,16
1497549888,17,17
1497571505,15,15
1497575072,16,16
1497585863,15,15
1497593066,14,14
1497596689,15,15
1497603873,17,17
1497618286,15,15
1497621869,16,16
1497632680,15,15
1497636279,16,16
1497643476,17,17
1497647070,16,16
1497657897,17,17
1497672271,16,16
1497675868,17,17
1497679462,16,16
1497683083,17,17
1497690267,16,16
1497693884,17,17
1497722666,16,16
1497726272,17,17
1497787502,15,15
1497791084,17,17
1497794705,16,16
1497798300,17,17
1497816285,16,16
1497819895,17,17
1497845097,16,16
1497848705,17,17
1497877503,16,16
1497881089,17,17
1497899106,15,15
1497902680,16,16
1497913502,17,17
1497927882,16,16
1497935100,16,16
1497938699,17,17
1497971097,16,16
1497974690,16,16
1497978298,15,15
1497985492,16,16
1497989098,17,17
1497996294,16,16
1497999891,16,16
1498003529,17,17
1498007097,16,16
1498046697,15,15
1498050279,16,16
1498075490,14,14
1498089935,15,15
1498122288,16,16
1498154704,15,15
1498158300,16,16
1498176330,15,15
1498183476,16,16
1498223064,15,15
1498226667,16,16
1498241067,14,14
1498244670,15,15
1498251859,15,15
1498255462,16,16
1498269864,15,15
1498273481,16,16
1498302268,15,15
1498305870,16,16
1498309477,15,15
1498313071,15,15
1498323863,16,16
1498331055,15,15
1498334668,16,16
1498341884,15,15
1498345461,16,16
1498467870,15,15
1498471469,16,16
1498493094,15,15
1498496681,16,16
1498503882,15,15
1498507490,16,16
1498518275,15,15
1498521909,16,16
1498536277,15,15
1498543485,16,16
1498547071,15,15
1498550682,14,14
1498554278,15,15
1498586689,16,16
1498629904,15,15
1498637084,15,15
1498640693,16,16
1498647887,15,15
1498651488,16,16
1498676705,15,15
1498680291,17,17
1498694739,16,16
1498698296,17,17
1498712700,16,16
1498716292,17,17
1498745094,16,16
1498748714,17,17
1498781132,16,16
1498791897,17,17
1498806283,16,16
1498809885,17,17
1498813492,16,16
1498817087,17,17
1498824307,16,16
1498827889,17,17
1498842296,16,16
1498845893,17,17
1498889093,16,16
1498896297,17,17
1498907108,16,16
1498910700,17,17
1498921508,16,16
1498925099,17,17
1498964713,16,16
1499025891,17,17
1499033089,18,18
1499072668,17,17
1499076256,18,18
1499115866,17,17
1499119471,18,18
1499137481,17,17
1499141086,18,18
1499155493,17,17
1499162681,18,18
1499166270,17,17
1499173476,18,18
1499205872,17,17
1499209469,17,17
1499213122,18,18
1499227495,17,17
1499231068,18,18
1499249080,17,17
1499259872,18,18
1499274274,36,36
1499277866,51,51
1499281484,57,57
1499285085,60,60
1499292274,57,57
1499295881,52,52
1499299508,51,51
1499303077,53,53
1499306678,51,51
1499313865,51,51
1499317488,46,46
1499321070,52,52
1499324679,54,54
1499328277,55,55
1499331878,49,49
1499335494,52,52
1499339076,38,38
1499342670,38,38
1499346293,40,40
1499349877,39,39
1499353472,41,41
1499360671,41,41
1499364287,41,41
1499378686,40,40
1499382278,42,42
1499385913,41,41
1499403882,42,42
1499407469,41,41
1499421897,42,42
1499432684,41,41
1499436279,42,42
1499450689,41,41
1499461487,41,41
1499465085,39,39
1499468673,41,41
1499472302,42,42
1499475933,40,40
1499479497,42,42
1499497490,41,41
1499501099,42,42
1499511889,41,41
1499519097,41,41
1499522689,42,42
1499526289,41,41
1499533500,42,42
1499540696,41,41
1499544296,42,42
1499547898,41,41
1499551500,42,42
1499555094,41,41
1499562284,42,42
1499569486,41,41
1499576690,41,41
1499583882,42,42
1499612686,41,41
1499619884,40,40
1499623502,41,41
1499627082,40,40
1499630686,41,41
1499637882,40,40
1499641471,41,41
