DateTime,Entries,UniqueIPs
1499688511,120,120
1499692141,121,121
1499695734,126,126
1499699341,129,129
1499706541,128,128
1499710128,128,128
1499713737,119,119
1499717333,122,122
1499720936,125,125
1499724523,120,120
1499728118,120,120
1499731799,125,125
1499735350,121,121
1499738958,119,119
1499742546,122,122
1499746154,122,122
1499749738,121,121
1499753335,124,124
1499756959,124,124
1499760554,122,122
1499764144,122,122
1499767755,122,122
1499771342,116,116
1499774930,116,116
1499778551,128,128
1499782150,128,128
1499785753,126,126
1499789348,127,127
1499796529,108,108
1499800133,113,113
1499803745,111,111
1499807331,111,111
1499810950,105,105
1499814552,115,115
1499818178,118,118
1499821757,115,115
1499825343,115,115
1499828946,109,109
1499832552,111,111
1499836143,110,110
1499839728,117,117
1499843354,114,114
1499846942,120,120
1499850537,122,122
1499854148,122,122
1499857739,118,118
1499861345,120,120
1499864950,121,121
1499868537,116,116
1499872155,116,116
1499875743,122,122
1499879342,109,109
1499882952,112,112
1499886537,113,113
1499890142,113,113
1499893765,114,114
1499897335,112,112
1499900951,112,112
1499904590,119,119
1499908149,122,122
1499911738,128,128
1499915340,126,126
1499918914,127,127
1499922512,127,127
1499926129,126,126
1499929708,127,127
1499933357,126,126
1499936942,124,124
1499940531,127,127
1499944140,126,126
1499947722,126,126
1499951348,119,119
1499954943,120,120
1499958532,127,127
1499962130,129,129
1499965735,130,130
1499969321,129,129
1499972926,124,124
1499976554,124,124
1499980143,126,126
1499983727,125,125
1499987342,123,123
1499990965,120,120
1499994541,116,116
1499998122,120,120
1500001741,119,119
1500005353,110,110
1500008918,115,115
1500012541,121,121
1500016125,124,124
1500019739,125,125
1500023303,124,124
1500026934,121,121
1500030508,114,114
1500034133,122,122
1500037735,120,120
1500041340,122,122
1500044921,124,124
1500048547,124,124
1500052135,127,127
1500055734,129,129
1500062948,127,127
1500066536,128,128
1500070119,117,117
1500073722,122,122
1500077378,126,126
1500080945,124,124
1500088136,115,115
1500091736,120,120
1500095326,124,124
1500098921,124,124
1500102522,124,124
1500106144,126,126
1500109719,126,126
1500116921,126,126
1500120542,125,125
1500124136,112,112
1500127730,105,105
1500131323,123,123
1500134924,122,122
1500138538,126,126
1500142116,127,127
1500145756,124,124
1500149338,124,124
1500152949,128,128
1500156536,128,128
1500160131,127,127
1500167320,116,116
1500170929,113,113
1500174527,113,113
1500178128,113,113
1500181703,112,112
1500185315,100,100
1500188935,107,107
1500192500,112,112
1500196111,113,113
1500199700,115,115
1500203315,120,120
1500206912,120,120
1500210520,118,118
1500214118,111,111
1500217705,114,114
1500221312,111,111
1500224917,121,121
1500228517,126,126
1500232127,123,123
1500235739,124,124
1500239330,116,116
1500242927,108,108
1500246522,111,111
1500250181,102,102
1500253719,109,109
1500257316,112,112
1500260909,114,114
1500264530,116,116
1500268130,113,113
1500271731,115,115
1500275332,110,110
1500278951,109,109
1500282542,123,123
1500286110,124,124
1500289727,125,125
1500293351,127,127
1500296930,121,121
1500300506,120,120
1500304124,120,120
1500307722,121,121
1500311305,120,120
1500314937,129,129
1500318525,124,124
1500322122,125,125
1500325730,127,127
1500329329,118,118
1500332942,114,114
1500336556,117,117
1500340132,120,120
1500343751,121,121
1500347350,121,121
1500350947,119,119
1500354548,113,113
1500358146,107,107
1500361743,110,110
1500365341,111,111
1500368938,115,115
1500372541,117,117
1500376142,117,117
1500379767,128,128
