DateTime,AddedIPs,RemovedIPs
1498194617,1,0
1498198216,1,0
1498201822,4,1
1498208995,0,1
1498212603,1,0
1498216209,0,4
1498223404,0,1
1498230623,1,1
1498234241,2,0
1498237811,1,0
1498241427,0,1
1498245005,1,2
1498248619,0,2
1498252194,1,1
1498255810,2,0
1498263050,10,2
1498266634,1,0
1498270199,0,2
1498273826,0,16
1498277431,1,0
1498281013,0,1
1498288240,1,0
1498302599,0,2
1498313428,1,0
1498324182,0,1
1498327813,1,0
1498349452,21,0
1498353043,2,1
1498356629,1,0
1498360246,1,5
1498364597,0,1
1498367394,0,2
1498374623,0,1
1498378238,1,0
1498385433,0,1
1498396226,1,0
1498410627,0,1
1498417833,1,0
1498435854,31,0
1498439428,1,1
1498443013,2,0
1498446624,0,19
1498450229,0,2
1498457422,0,2
1498461018,1,0
1498464638,0,1
1498468188,1,0
1498475414,1,1
1498479025,2,0
1498482617,0,3
1498486219,3,1
1498493445,1,0
1498497016,1,0
1498500599,0,3
1498504234,2,0
1498507830,1,1
1498511439,0,1
1498515010,0,1
1498518608,1,1
1498522256,15,1
1498525829,0,1
1498529443,1,2
1498532984,1,12
1498536626,1,2
1498543819,2,0
1498547411,1,0
1498551008,1,0
1498554610,1,1
1498558230,1,1
1498561813,0,1
1498565416,0,2
1498569031,1,1
1498572618,1,0
1498576217,1,1
1498579801,1,0
1498583418,1,1
1498590614,1,0
1498594227,0,1
1498597827,1,0
1498605008,1,1
1498608632,27,0
1498612262,0,1
1498615849,0,1
1498619477,1,22
1498623060,1,2
1498626663,0,1
1498630248,1,0
1498633854,1,0
1498637429,1,1
1498641027,2,0
1498644643,1,2
1498648236,0,1
1498651823,2,1
1498655424,1,0
1498659050,1,1
1498662650,0,1
1498666258,1,0
1498669846,0,1
1498673458,0,1
1498677050,0,1
1498680647,0,1
1498684230,1,0
1498687846,1,0
1498695103,33,1
1498698624,11,1
1498702256,8,2
1498705832,5,27
1498709443,8,7
1498713053,1,8
1498716654,8,1
1498720284,8,8
1498723838,8,8
1498727461,8,8
1498731062,5,8
1498734687,4,5
