DateTime,Entries,UniqueIPs
1501312846,1537,1537
1501314265,1536,1536
1501315728,1535,1535
1501316414,1534,1534
1501317859,1531,1531
1501319300,1527,1527
1501322180,1526,1526
1501322898,1525,1525
1501324332,1523,1523
1501326500,1520,1520
1501327236,1519,1519
1501328202,1517,1517
1501329754,1516,1516
1501330593,1513,1513
1501332032,1511,1511
1501333470,1510,1510
1501334180,1508,1508
1501334908,1507,1507
1501335622,1506,1506
1501339226,1505,1505
1501340912,1504,1504
1501341615,1503,1503
1501342357,1502,1502
1501343046,1500,1500
1501343779,1500,1500
1501345248,1501,1501
1501345941,1500,1500
1501347378,1497,1497
1501348814,1496,1496
1501349556,1496,1496
1501350986,1495,1495
1501351818,1493,1493
1501353846,1491,1491
1501354577,1490,1490
1501356027,1489,1489
1501357251,1488,1488
1501357928,1487,1487
1501358672,1488,1488
1501360336,1487,1487
1501361066,1486,1486
1501361767,1485,1485
1501362515,1484,1484
1501364662,1482,1482
1501366090,1482,1482
1501366958,1483,1483
1501369947,1482,1482
1501370646,1480,1480
1501372674,1479,1479
1501373325,1478,1478
1501374756,1476,1476
1501375452,1475,1475
1501376188,1474,1474
1501378364,1473,1473
1501380761,1472,1472
1501383687,1471,1471
1501384332,1470,1470
1501391076,1469,1469
1501392056,1467,1467
1501393000,1466,1466
1501395144,1465,1465
1501395921,1464,1464
1501397536,1463,1463
1501401376,1461,1461
1501402099,1460,1460
1501402827,1459,1459
1501403547,1458,1458
1501404261,1457,1457
1501407135,1456,1456
1501409076,1455,1455
1501410730,1445,1445
1501412179,1442,1442
1501412918,1441,1441
1501414349,1440,1440
1501415047,1439,1439
1501417239,1438,1438
1501418661,1437,1437
1501419370,1437,1437
1501421539,1436,1436
1501423004,1435,1435
1501423699,1434,1434
1501425372,1434,1434
1501426879,1434,1434
1501427547,1432,1432
1501428252,1432,1432
1501429003,1430,1430
1501429699,1430,1430
1501432841,1429,1429
1501433542,1428,1428
1501434268,1426,1426
1501435708,1425,1425
1501436682,1423,1423
1501437668,1422,1422
1501438487,1420,1420
1501440038,1420,1420
1501440736,1420,1420
1501442183,1419,1419
1501442919,1420,1420
1501443621,1419,1419
1501444344,1418,1418
1501446509,1416,1416
1501447222,1413,1413
1501448676,1411,1411
1501451063,1410,1410
1501451769,1409,1409
1501452524,1408,1408
1501453212,1406,1406
1501454650,1405,1405
1501455728,1405,1405
1501456610,1404,1404
1501457299,1401,1401
1501458034,1401,1401
1501458737,1400,1400
1501459482,1396,1396
1501462409,1394,1394
1501463323,1393,1393
1501464011,1391,1391
1501470140,1390,1390
1501471014,1392,1392
1501474098,1391,1391
1501474825,1390,1390
1501476264,1389,1389
1501479372,1388,1388
1501481568,1386,1386
1501483941,1382,1382
1501488270,1383,1383
1501490665,1377,1377
1501491368,1374,1374
1501492121,1374,1374
1501493548,1373,1373
1501494247,1372,1372
1501494987,1371,1371
1501495698,1370,1370
1501496424,1369,1369
1501497153,1368,1368
1501497846,1366,1366
1501499309,1364,1364
1501500022,1363,1363
1501500760,1361,1361
1501501454,1360,1360
1501502178,1359,1359
1501503261,1360,1360
1501504122,1358,1358
1501505066,1357,1357
1501507490,1357,1357
1501508182,1355,1355
1501509661,1354,1354
1501510362,1352,1352
1501511050,1351,1351
1501511796,1351,1351
1501512763,1349,1349
1501515147,1347,1347
1501515846,1345,1345
1501517301,1343,1343
1501518019,1342,1342
1501520180,1340,1340
1501520900,1338,1338
1501521657,1336,1336
1501522334,1335,1335
1501523062,1334,1334
1501523780,1332,1332
1501524618,1332,1332
1501526181,1330,1330
1501527721,1328,1328
1501529301,1327,1327
1501530729,1327,1327
1501531478,1326,1326
1501532442,1325,1325
1501533859,1323,1323
1501534880,1318,1318
1501536277,1316,1316
1501537241,1315,1315
1501538680,1313,1313
1501541779,1311,1311
1501542503,1310,1310
1501543227,1309,1309
1501545383,1307,1307
1501546849,1307,1307
1501547804,1307,1307
1501550677,1304,1304
1501551638,1303,1303
1501552341,1300,1300
1501553075,1297,1297
1501553768,1296,1296
1501554512,1296,1296
1501555477,1297,1297
