DateTime,Entries,UniqueIPs
1500836841,8726,8726
1500837662,8729,8729
1500839071,8725,8725
1500840685,8724,8724
1500841832,8719,8719
1500843055,8720,8720
1500844460,8722,8722
1500845746,8244,8244
1500846928,8724,8724
1500847892,8722,8722
1500849029,8719,8719
1500851429,8722,8722
1500852493,8725,8725
1500854177,8722,8722
1500855026,8722,8722
1500856199,8724,8724
1500857124,8722,8722
1500858627,8726,8726
1500859826,8721,8721
1500860727,8722,8722
1500862458,8724,8724
1500863392,8726,8726
1500865431,8728,8728
1500866044,8727,8727
1500867027,8726,8726
1500868583,8728,8728
1500869429,8731,8731
1500870225,8732,8732
1500871234,8731,8731
1500873028,8733,8733
1500874077,8736,8736
1500875126,8730,8730
1500876210,8729,8729
1500877103,8730,8730
1500878124,8728,8728
1500878548,8729,8729
1500880464,8729,8729
1500881417,8244,8244
1500882226,8723,8723
1500882979,8724,8724
1500883826,8721,8721
1500884067,8721,8721
1500886251,8716,8716
1500887431,8716,8716
1500888626,8717,8717
1500889523,8721,8721
1500890329,8720,8720
1500891331,8725,8725
1500892243,8724,8724
1500893110,8725,8725
1500894628,8727,8727
1500895704,8732,8732
1500896539,8726,8726
1500898534,8727,8727
1500899341,8730,8730
1500900978,8736,8736
1500901826,8739,8739
1500903028,8739,8739
1500903939,8742,8742
1500905659,8743,8743
1500906631,8743,8743
1500907526,8744,8744
1500908681,8744,8744
1500909626,8746,8746
1500911120,8746,8746
1500911973,8741,8741
1500912922,8746,8746
1500913831,8743,8743
1500915526,8743,8743
1500916528,8744,8744
1500917423,8744,8744
1500918318,8244,8244
1500919827,8746,8746
1500921035,8743,8743
1500922390,8746,8746
1500923425,8749,8749
1500923658,8748,8748
1500924629,8748,8748
1500926457,8746,8746
1500927332,8748,8748
1500928237,8746,8746
1500928940,8743,8743
1500930923,8746,8746
1500931799,8745,8745
1500933101,8743,8743
1500934227,8741,8741
1500935388,8740,8740
1500936327,8740,8740
1500937837,8743,8743
1500938719,8744,8744
1500939619,8743,8743
1500940464,8747,8747
1500941428,8751,8751
1500942629,8751,8751
1500943525,8749,8749
1500945264,8750,8750
1500946224,8749,8749
1500946940,8749,8749
1500947789,8749,8749
1500948630,8750,8750
1500949831,8749,8749
1500950726,8746,8746
1500952147,8747,8747
1500954138,8754,8754
1500955732,8752,8752
1500956718,8754,8754
1500957636,8752,8752
1500958578,8755,8755
1500959429,8750,8750
1500961343,8747,8747
