DateTime,Entries,UniqueIPs
1501201832,993,993
1501202801,995,995
1501205307,1000,1000
1501206156,1000,1000
1501206986,1001,1001
1501208075,980,980
1501210073,979,979
1501210987,978,978
1501212013,977,977
1501212515,979,979
1501213591,981,981
1501215041,1001,1001
1501216327,1014,1014
1501216953,1017,1017
1501217976,1014,1014
1501218954,1015,1015
1501219833,1014,1014
1501221396,1017,1017
1501222467,1018,1018
1501224148,1020,1020
1501225886,1028,1028
1501229667,1031,1031
1501230623,1030,1030
1501231482,1024,1024
1501233108,1022,1022
1501234106,1023,1023
1501235211,968,968
1501236205,959,959
1501237302,961,961
1501238433,962,962
1501239333,965,965
1501240302,970,970
1501241434,972,972
1501243545,970,970
1501244519,970,970
1501245329,963,963
1501247732,961,961
1501248654,939,939
1501250709,974,974
1501252826,964,964
1501254706,959,959
1501256803,987,987
1501258241,995,995
1501259774,975,975
1501261176,949,949
1501262156,957,957
1501263326,956,956
1501264588,1107,1107
1501265439,1108,1108
1501266744,1109,1109
1501269044,1113,1113
1501270207,1112,1112
1501271733,1121,1121
1501272638,1128,1128
1501274562,1138,1138
1501275395,1138,1138
1501277307,1139,1139
1501278411,1116,1116
1501279834,1108,1108
1501281627,1107,1107
1501282591,1113,1113
1501283759,1120,1120
1501284643,1131,1131
1501285698,1138,1138
1501286587,1140,1140
1501287267,1139,1139
1501288615,1137,1137
1501290258,1135,1135
1501291232,1136,1136
1501293379,1160,1160
1501294241,1177,1177
1501296151,1183,1183
1501297948,1171,1171
1501299820,1141,1141
1501301437,1151,1151
1501303334,1171,1171
1501304389,1173,1173
1501305343,1174,1174
1501306114,1178,1178
1501307231,1176,1176
1501310192,1176,1176
1501311394,1179,1179
1501312327,1181,1181
1501313431,1179,1179
1501315125,1158,1158
1501316133,1156,1156
1501317113,1147,1147
1501317941,1149,1149
1501318587,1150,1150
1501319517,1132,1132
1501322618,1110,1110
1501323677,1115,1115
1501324834,1118,1118
1501327834,1116,1116
1501328822,1113,1113
1501329671,1108,1108
1501330468,1108,1108
1501332151,1096,1096
1501332989,1092,1092
1501333702,1087,1087
1501334910,1086,1086
1501335833,1088,1088
1501337441,1089,1089
1501339230,1103,1103
1501340193,1106,1106
1501342237,1089,1089
1501343214,1079,1079
1501344176,1031,1031
1501345298,1031,1031
1501347390,1023,1023
1501348294,1020,1020
1501349433,1015,1015
1501350425,1013,1013
1501351586,1012,1012
1501352510,1012,1012
1501353423,992,992
1501355751,984,984
1501356635,981,981
1501357630,982,982
1501359037,998,998
1501360498,993,993
1501361745,993,993
1501362727,986,986
1501363834,920,920
1501364817,919,919
1501366233,920,920
1501368146,954,954
1501369843,980,980
1501372038,990,990
1501373667,986,986
1501374760,983,983
1501376350,982,982
1501377450,998,998
1501378903,998,998
1501379827,996,996
1501380639,993,993
1501383385,991,991
1501384592,988,988
1501385434,965,965
1501386424,961,961
1501387352,956,956
1501388069,972,972
1501389157,979,979
1501391493,979,979
1501392642,979,979
1501393618,983,983
1501395037,986,986
