DateTime,Entries,UniqueIPs
1500810374,474,474
1500810987,476,476
1500813037,466,466
1500814522,466,466
1500815438,466,466
1500817342,469,469
1500818804,465,465
1500820235,464,464
1500821098,465,465
1500821844,466,466
1500822641,458,458
1500824208,457,457
1500825321,459,459
1500826209,453,453
1500828220,448,448
1500829835,446,446
1500831126,441,441
1500831935,439,439
1500833015,439,439
1500834637,438,438
1500836843,435,435
1500837690,436,436
1500839089,433,433
1500840713,434,434
1500841837,433,433
1500843084,432,432
1500844463,434,434
1500845758,432,432
1500846932,434,434
1500847924,431,431
1500849036,430,430
1500851432,432,432
1500853528,424,424
1500854180,423,423
1500855028,421,421
1500857126,419,419
1500858633,419,419
1500859829,419,419
1500860733,419,419
1500861662,418,418
1500862461,439,439
1500863395,439,439
1500865433,451,451
1500866047,454,454
1500867033,449,449
1500867928,448,448
1500868586,452,452
1500869434,453,453
1500870228,453,453
1500871360,447,447
1500873031,448,448
1500874080,455,455
1500875129,453,453
1500876217,452,452
1500877108,453,453
1500878127,451,451
1500878552,452,452
1500879381,454,454
1500880466,452,452
1500881422,449,449
1500882228,453,453
1500882981,454,454
1500883829,456,456
1500884069,457,457
1500886254,461,461
1500887439,457,457
1500888629,455,455
1500889526,457,457
1500890332,456,456
1500892248,453,453
1500893117,453,453
1500893783,454,454
1500894634,453,453
1500895706,455,455
1500896542,449,449
1500898539,454,454
1500899373,450,450
1500900980,454,454
1500901829,455,455
1500903032,454,454
1500903942,454,454
1500905662,457,457
1500907528,456,456
1500909629,457,457
1500911123,460,460
1500911975,462,462
1500912925,464,464
1500913840,464,464
1500915528,462,462
1500916534,463,463
1500917425,460,460
1500919829,464,464
1500921040,464,464
1500922393,464,464
1500923428,465,465
1500924632,463,463
1500926460,463,463
1500928242,463,463
1500928943,467,467
1500930926,467,467
1500931801,464,464
1500933103,465,465
1500934230,465,465
1500935391,463,463
1500936330,462,462
1500937840,461,461
1500938721,462,462
1500939621,458,458
1500940466,459,459
1500941431,460,460
1500942633,455,455
1500945267,457,457
1500946227,456,456
1500946943,456,456
1500947792,459,459
1500948634,463,463
1500949838,462,462
1500950729,461,461
1500952149,463,463
1500954141,462,462
1500955734,466,466
1500956721,472,472
1500957643,468,468
1500958581,470,470
1500959435,471,471
1500961346,472,472
1500963036,474,474
1500964243,467,467
1500964943,467,467
1500965787,470,470
1500966631,471,471
1500968550,472,472
1500969367,475,475
1500969664,474,474
1500970511,477,477
1500971441,476,476
1500972163,476,476
1500973577,480,480
1500974444,486,486
1500975949,484,484
1500976955,484,484
1500977663,486,486
1500978541,487,487
1500979551,486,486
1500981261,482,482
1500982262,484,484
1500983158,485,485
1500984862,485,485
1500985843,482,482
1500986767,489,489
1500987692,491,491
1500988534,495,495
1500989739,494,494
1500990626,493,493
1500991830,491,491
1500993959,493,493
1500995447,494,494
1500996367,496,496
1500998029,494,494
1500999071,492,492
1501000630,496,496
1501001789,499,499
1501002636,500,500
1501003710,504,504
1501004647,503,503
1501006463,502,502
1501007464,505,505
1501008783,507,507
1501009854,508,508
1501011958,507,507
1501012914,506,506
1501013737,505,505
1501014637,503,503
1501015387,505,505
