DateTime,Entries,UniqueIPs
1501250703,2774,2774
1501251658,2779,2779
1501252821,2758,2758
1501254645,2763,2763
1501256754,2761,2761
1501258230,2754,2754
1501259768,2752,2752
1501261170,2742,2742
1501263320,2751,2751
1501264579,2761,2761
1501265432,2753,2753
1501266682,2752,2752
1501267528,2752,2752
1501269625,2754,2754
1501270777,2723,2723
1501271727,2731,2731
1501272631,2727,2727
1501274556,2708,2708
1501275389,2719,2719
1501277301,2716,2716
1501278347,2695,2695
1501279828,2703,2703
1501281621,2706,2706
1501282586,2724,2724
1501283698,2711,2711
1501284633,2699,2699
1501285642,2694,2694
1501286472,2685,2685
1501287261,2690,2690
1501289376,2675,2675
1501290202,2656,2656
1501291226,2658,2658
1501293363,2653,2653
1501294232,2640,2640
1501294465,2648,2648
1501296145,2616,2616
1501297866,2604,2604
1501299768,2564,2564
1501301431,2536,2536
1501303328,2468,2468
1501304383,2459,2459
1501305291,2465,2465
1501306108,2471,2471
1501307167,2422,2422
1501308280,2403,2403
1501310147,2369,2369
1501311388,2364,2364
1501312257,2325,2325
1501313426,2272,2272
1501315119,2242,2242
1501316127,2251,2251
1501317066,2232,2232
1501317930,2235,2235
1501318581,2245,2245
1501319454,2237,2237
1501320326,2250,2250
1501322613,2228,2228
1501323621,2239,2239
1501324827,2215,2215
1501325726,2218,2218
1501325804,2220,2220
1501326967,2208,2208
1501327828,2197,2197
1501328767,2203,2203
1501329659,2187,2187
1501330462,2192,2192
1501332145,2187,2187
1501332984,2185,2185
1501333625,2182,2182
1501334433,2183,2183
1501334904,2188,2188
1501335769,2178,2178
1501337432,2180,2180
1501339225,2175,2175
1501340187,2181,2181
1501341372,2174,2174
1501342230,2173,2173
1501343162,2176,2176
1501344155,2173,2173
1501345250,2180,2180
1501347385,2171,2171
1501348233,2164,2164
1501348506,2170,2170
1501349427,2156,2156
1501350359,2153,2153
1501351562,2161,2161
1501352449,2160,2160
1501353353,2122,2122
1501355695,2106,2106
1501356628,2096,2096
1501357574,2098,2098
1501359031,2086,2086
1501360441,2100,2100
1501361735,2110,2110
1501362673,2122,2122
1501363827,2122,2122
1501364761,2124,2124
1501366227,2121,2121
1501368140,2116,2116
1501369776,2121,2121
1501371957,2107,2107
1501373661,2106,2106
1501375528,2106,2106
1501376339,2100,2100
1501377382,2116,2116
1501378844,2104,2104
1501379761,2102,2102
1501380632,2107,2107
1501383380,2110,2110
1501384544,2114,2114
1501385428,2097,2097
1501386362,2104,2104
1501387339,2100,2100
1501388063,2099,2099
1501389093,2078,2078
1501389931,2076,2076
1501391429,2070,2070
1501392632,2058,2058
1501393554,2059,2059
1501395031,2051,2051
1501396260,2051,2051
1501397129,2051,2051
1501397780,2056,2056
1501398659,2043,2043
1501399705,2056,2056
1501400606,2033,2033
1501402463,2020,2020
1501403294,2017,2017
1501404149,1975,1975
1501404981,1972,1972
1501406129,1959,1959
1501407030,1948,1948
1501407982,1955,1955
1501409430,1963,1963
1501411343,1959,1959
1501413313,1955,1955
1501414229,1939,1939
1501415489,1962,1962
1501416631,1971,1971
1501418548,1957,1957
1501419836,1961,1961
1501420815,1963,1963
1501422188,1962,1962
1501424446,1970,1970
1501425362,1962,1962
1501426283,1969,1969
1501427344,1966,1966
1501428500,1986,1986
1501431032,1990,1990
1501432827,1991,1991
1501433710,2001,2001
1501434954,1994,1994
1501435794,1988,1988
1501436592,1986,1986
1501437541,1974,1974
1501438531,1983,1983
1501440152,1982,1982
1501441487,1981,1981
1501442427,1986,1986
1501444250,1992,1992
1501444640,1995,1995
1501445437,1978,1978
1501446460,1994,1994
1501447350,1995,1995
1501449062,1994,1994
1501449925,2003,2003
1501451160,1989,1989
1501452629,1984,1984
1501453568,1991,1991
1501454425,1979,1979
1501455380,1990,1990
1501456279,1992,1992
1501457306,2001,2001
1501458897,1993,1993
1501459832,1991,1991
1501461031,1983,1983
1501461924,1986,1986
1501463661,1985,1985
1501464501,1995,1995
1501465523,1981,1981
1501467028,1981,1981
1501468105,1984,1984
1501469726,1619,1619
1501470860,1621,1621
1501471707,1625,1625
1501472728,1619,1619
1501474231,1615,1615
1501476995,1627,1627
1501477835,1621,1621
1501478900,1627,1627
1501480582,1613,1613
1501481432,1603,1603
1501482502,1609,1609
1501485031,1599,1599
1501486101,1608,1608
1501487127,1594,1594
1501488632,1587,1587
1501490550,1584,1584
1501492461,1597,1597
1501493429,1587,1587
1501494327,1585,1585
1501495652,1591,1591
1501497632,1970,1970
1501497753,1992,1992
1501499732,1988,1988
1501500626,1992,1992
1501501530,2000,2000
1501502187,1998,1998
1501504068,2002,2002
1501505964,1991,1991
1501506879,2001,2001
1501507826,1999,1999
1501509189,2010,2010
1501510228,2012,2012
1501511302,2013,2013
1501512331,1993,1993
1501514067,2003,2003
1501515027,1993,1993
1501515926,2002,2002
1501516580,2008,2008
1501517450,2008,2008
1501519234,2000,2000
1501520469,2004,2004
1501521259,2003,2003
1501522528,2004,2004
1501524863,1994,1994
1501525832,1989,1989
1501526733,1996,1996
1501528008,2002,2002
1501528831,2009,2009
1501529731,1997,1997
1501531265,1980,1980
1501533035,1969,1969
1501533938,1970,1970
1501535666,1984,1984
1501536627,1985,1985
1501537820,1999,1999
1501539028,2009,2009
1501539261,2015,2015
1501540227,2020,2020
1501540952,2025,2025
1501541780,2038,2038
1501542638,2036,2036
1501543700,2044,2044
1501545662,2047,2047
1501546530,2054,2054
1501547301,2066,2066
1501549831,2061,2061
1501550901,2060,2060
1501551991,2050,2050
1501552927,2045,2045
1501553730,2043,2043
1501554636,2044,2044
1501555533,2041,2041
1501556522,2045,2045
1501558231,2040,2040
1501559133,2050,2050
1501560636,2043,2043
1501561701,2053,2053
1501562558,2046,2046
1501564530,2054,2054
1501565306,2061,2061
1501566336,2049,2049
1501567706,2048,2048
1501570592,2053,2053
1501571433,2046,2046
1501572511,2066,2066
1501573350,2057,2057
1501574159,1978,1978
1501575038,1989,1989
1501576100,1998,1998
1501577145,1981,1981
1501578099,1983,1983
1501578945,1981,1981
1501579833,1970,1970
1501580667,1977,1977
1501582233,1980,1980
1501583109,1989,1989
1501584033,1969,1969
1501584921,1973,1973
1501585275,1962,1962
1501586067,1969,1969
1501587038,1963,1963
1501587752,1966,1966
1501589433,1963,1963
1501590638,1965,1965
1501592580,1963,1963
1501594955,1961,1961
1501595833,1961,1961
1501596636,1960,1960
1501597706,1964,1964
1501599021,1963,1963
1501600459,2028,2028
1501601431,2030,2030
1501602339,2021,2021
1501604913,2032,2032
1501605724,2010,2010
1501606727,2016,2016
1501607687,2016,2016
1501608506,2017,2017
1501609334,2011,2011
1501610189,2010,2010
1501611037,2006,2006
1501612828,1996,1996
1501613735,2023,2023
1501614631,2029,2029
1501615536,2038,2038
1501616441,1947,1947
1501617381,1953,1953
1501618462,1950,1950
1501619418,1942,1942
1501620921,1947,1947
1501621832,1936,1936
1501624552,1940,1940
1501625431,1921,1921
1501626635,1915,1915
1501627541,1904,1904
1501628477,1894,1894
1501629260,1901,1901
1501630100,1912,1912
1501632627,1900,1900
1501633699,1906,1906
1501635151,1894,1894
1501636235,1891,1891
1501637431,1941,1941
1501638709,1956,1956
1501639836,1942,1942
1501640775,1949,1949
1501641633,1938,1938
1501643183,1939,1939
1501645358,1915,1915
1501646556,1909,1909
1501647640,1910,1910
1501649774,1909,1909
1501650636,1899,1899
1501651829,1905,1905
1501652734,1902,1902
1501653380,1905,1905
1501654232,1898,1898
1501655428,1896,1896
1501656250,1897,1897
1501657835,1903,1903
1501659031,1898,1898
1501660520,1906,1906
1501661433,1900,1900
1501662500,1907,1907
1501665330,1910,1910
1501666238,1905,1905
1501666954,1903,1903
1501668637,1904,1904
1501670111,1910,1910
1501671548,1908,1908
1501672532,1913,1913
1501673433,1896,1896
1501674337,1893,1893
1501674991,1898,1898
1501675838,1891,1891
1501676072,1894,1894
1501677053,1891,1891
1501677763,1842,1842
1501678580,1855,1855
1501679427,1862,1862
1501680510,1882,1882
1501681349,1871,1871
1501682177,1878,1878
1501683035,1866,1866
1501684112,1875,1875
1501685462,1856,1856
1501686451,1857,1857
1501687825,1856,1856
1501690138,1861,1861
1501691138,1867,1867
1501692336,1867,1867
1501693277,1867,1867
1501694129,1888,1888
1501695034,1932,1932
1501695892,1956,1956
1501697660,1951,1951
1501698634,1943,1943
1501699624,1948,1948
1501701260,1953,1953
1501702100,1951,1951
1501703133,1925,1925
1501704499,1918,1918
1501706401,1911,1911
1501708460,1913,1913
1501709422,1933,1933
1501710150,1944,1944
1501711837,1966,1966
1501713033,1956,1956
1501714580,1953,1953
1501715435,1952,1952
1501717354,1953,1953
1501719328,1968,1968
1501720225,1968,1968
1501721138,1981,1981
1501722243,1991,1991
1501722866,1995,1995
1501723729,1997,1997
1501724553,1985,1985
1501726233,2006,2006
1501728159,2019,2019
1501730060,2031,2031
1501731028,2019,2019
1501732285,2027,2027
1501733432,2021,2021
1501734517,2037,2037
1501735361,2039,2039
1501737035,2040,2040
1501738229,2053,2053
1501739134,2058,2058
1501739789,2071,2071
1501740627,2075,2075
1501741718,2088,2088
1501743221,2081,2081
1501744229,2098,2098
1501746348,2168,2168
1501748061,2169,2169
1501749635,2170,2170
1501750666,2184,2184
1501751667,2189,2189
1501752639,2175,2175
1501753552,2175,2175
1501754479,2166,2166
1501755339,2169,2169
1501756120,2174,2174
1501757059,2156,2156
