DateTime,AddedIPs,RemovedIPs
1500852478,28,0
1500854175,43,67
1500855024,23,60
1500856197,16,75
1500857122,20,21
1500858625,41,28
1500859824,24,42
1500860723,13,15
1500861655,14,35
1500862456,76,0
1500863390,242,38
1500865427,0,5689
1500867022,5723,0
1500867922,17,23
1500868581,11,0
1500869427,20,33
1500870223,19,0
1500871228,19,64
1500871349,3,0
1500873026,25,37
1500874075,19,0
1500875124,47,46
1500876205,14,15
1500877099,17,0
1500878122,20,46
1500878546,13,13
1500879376,14,0
1500880462,26,19
1500881417,0,5711
1500882224,5670,0
1500882977,21,1
1500883824,31,39
1500884065,1,0
1500886249,65,82
1500887428,30,33
1500888624,37,40
1500889520,28,10
1500890327,19,30
1500891327,29,7
1500892235,20,53
1500893103,0,5656
1500893778,5814,0
1500894626,12,39
1500895702,19,0
1500896537,12,64
1500898529,65,19
1500899339,33,0
1500900976,83,69
1500901824,21,37
1500903023,40,50
1500903937,26,13
1500905657,86,31
1500906627,32,50
1500907522,29,19
1500908679,23,36
1500909624,38,1
1500911118,58,69
1500911971,17,39
1500912920,29,2
1500913829,16,53
1500915524,42,60
1500916523,23,7
1500917419,25,57
1500918318,47,27
1500919824,68,43
1500921028,42,88
1500922388,54,18
1500923424,37,36
1500923657,14,0
1500924623,25,46
1500926452,56,43
1500927326,24,0
1500928230,23,38
1500928938,21,12
1500930921,61,32
1500931797,19,36
1500933099,44,16
1500934225,38,22
1500935386,502,47
1500936324,1120,14
1500937832,1173,29
1500938716,611,0
1500939617,586,78
1500940459,0,9768
1500941426,10546,0
1500942627,569,43
1500943521,382,13
1500945263,590,17
1500946220,262,30
1500946938,182,12
1500947787,221,0
1500948628,176,25
1500949825,318,27
1500950724,207,18
1500952145,0,13268
1500954136,14138,0
1500955730,408,26
1500957628,438,51
1500958576,268,0
1500959427,231,25
1500961341,396,46
1500963028,291,21
1500964232,204,35
1500964938,131,12
1500965782,153,0
1500966626,139,32
1500968546,301,84
1500969365,0,16766
1500969656,17120,0
1500970499,325,0
1500971424,285,56
1500972149,270,12
1500973555,745,39
1500974425,372,2
1500974900,0,19008
1500975925,19619,0
1500976942,525,40
1500977658,354,1
1500978523,427,0
1500979534,541,50
1500981256,781,51
1500982244,606,35
1500983129,535,14
1500984857,901,51
1500985810,386,43
1500986731,259,0
1500987675,527,46
1500988529,523,1
1500989734,524,45
1500990612,365,27
1500991824,540,27
1500993937,978,64
1500995430,806,24
1500996345,463,0
1500998025,746,51
1500999039,390,35
1501000626,747,40
1501001785,506,13
1501002630,325,23
1501003695,362,0
1501004627,356,50
1501006458,745,19
1501007442,133,32
1501008779,165,3
1501009838,170,45
1501011942,393,23
1501012888,76,27
1501013726,37,1
1501014626,51,29
1501015362,34,8
1501017032,69,24
1501019125,350,61
1501020652,1163,13
1501021826,729,44
1501022732,481,0
1501024244,710,45
1501025398,456,28
1501026976,558,1
1501027853,243,37
1501028881,269,0
1501031657,138,71
1501032625,36,36
1501033327,0,38820
1501034179,38862,0
1501035047,21,36
1501035257,5,0
1501036951,56,54
1501038923,58,30
1501039822,33,37
1501040708,0,38878
1501041381,38941,0
1501042237,25,28
1501043581,51,39
1501044638,29,28
