DateTime,Entries,UniqueIPs
1501262115,8244,8244
1501263316,17717,17717
1501264575,8244,8244
1501265428,17707,17707
1501266657,17726,17726
1501267524,17740,17740
1501268670,17715,17715
1501269622,17758,17758
1501270773,17699,17699
1501271723,17732,17732
1501272627,17711,17711
1501274552,17718,17718
1501275385,17748,17748
1501277297,17756,17756
1501278334,17708,17708
1501279824,17724,17724
1501281617,17722,17722
1501282582,17749,17749
1501283679,17699,17699
1501284629,17681,17681
1501285625,17681,17681
1501286463,17668,17668
1501287257,17689,17689
1501289372,17671,17671
1501290192,17658,17658
1501291222,17676,17676
1501292429,17603,17603
1501293342,17627,17627
1501294228,17587,17587
1501294461,17597,17597
1501296141,17545,17545
1501297845,17536,17536
1501299758,17466,17466
1501301427,17463,17463
1501303322,8244,8244
1501304379,17415,17415
1501305275,17444,17444
1501306104,17466,17466
1501307142,17398,17398
1501308276,17367,17367
1501308857,8244,8244
1501310126,17349,17349
1501311385,17342,17342
1501312241,17274,17274
1501313422,17161,17161
1501315116,17183,17183
1501316123,17204,17204
1501317044,17210,17210
1501317924,17219,17219
1501318577,17232,17232
1501319438,17209,17209
1501320322,17234,17234
1501322609,17158,17158
1501323617,8244,8244
1501324823,17131,17131
1501325778,17156,17156
1501326948,17149,17149
1501327824,17142,17142
1501328745,17170,17170
1501329652,17142,17142
1501330458,17153,17153
1501332142,17133,17133
1501332980,17144,17144
1501333607,17156,17156
1501334426,17172,17172
1501334900,17183,17183
1501335757,17030,17030
1501337428,17028,17028
1501339221,17016,17016
1501340184,17047,17047
1501341351,17013,17013
1501342223,16980,16980
1501343149,16974,16974
1501344150,16939,16939
1501345231,16978,16978
1501346593,16945,16945
1501347381,16962,16962
1501348218,8244,8244
1501348487,16943,16943
1501349423,16917,16917
1501350348,16905,16905
1501352431,16913,16913
1501353335,16841,16841
1501355677,16777,16777
1501356621,16730,16730
1501357558,16756,16756
1501359027,16698,16698
1501360424,16658,16658
1501361732,16682,16682
1501362645,16687,16687
1501363823,16669,16669
1501364732,16687,16687
1501366224,16673,16673
1501368137,16609,16609
1501369758,16595,16595
1501371944,16580,16580
1501373657,16575,16575
1501374657,16565,16565
1501375522,16581,16581
1501376335,16554,16554
1501377359,16570,16570
1501378832,16527,16527
1501379750,16551,16551
1501380628,16530,16530
1501383376,16536,16536
1501384526,16518,16518
1501385423,16496,16496
1501386350,8244,8244
1501387331,16462,16462
