DateTime,Entries,UniqueIPs
1501246221,4138,4138
1501247666,4159,4159
1501248618,4167,4167
1501250696,4277,4277
1501251631,4332,4332
1501252814,4368,4368
1501254629,4425,4425
1501256732,4522,4522
1501258220,4575,4575
1501259741,4634,4634
1501261163,4693,4693
1501263313,4814,4814
1501265425,4908,4908
1501266644,4954,4954
1501267518,4996,4996
1501268658,5044,5044
1501269615,5098,5098
1501270770,5115,5115
1501271712,5150,5150
1501272620,5168,5168
1501273718,5210,5210
1501274548,5220,5220
1501275378,5255,5255
1501277294,5293,5293
1501278323,5302,5302
1501279821,5353,5353
1501281613,5408,5408
1501282576,5446,5446
1501283667,5461,5461
1501284619,5494,5494
1501285620,5516,5516
1501286459,5528,5528
1501287254,5551,5551
1501289368,5595,5595
1501290188,5608,5608
1501291216,5643,5643
1501292418,5637,5637
1501293329,5657,5657
1501294221,5668,5668
1501294455,5676,5676
1501296135,5695,5695
1501297832,5703,5703
1501299754,5669,5669
1501301424,5677,5677
1501304376,5724,5724
1501305271,5742,5742
1501306098,5761,5761
1501307130,5766,5766
1501308273,5784,5784
1501308857,5798,5798
1501310122,5814,5814
1501311376,5839,5839
1501312237,5841,5841
1501313415,5845,5845
1501315083,5865,5865
1501316116,5877,5877
1501317027,5885,5885
1501317917,5911,5911
1501318573,5930,5930
1501319425,5928,5928
1501320316,5948,5948
1501322605,5957,5957
1501324816,5958,5958
1501325773,5973,5973
1501326936,5984,5984
1501327817,5982,5982
1501328732,6037,6037
1501329646,6182,6182
1501330454,6289,6289
1501332138,6407,6407
1501332975,6464,6464
1501333595,6478,6478
1501334418,6522,6522
1501334894,6539,6539
1501335753,6547,6547
1501337424,6593,6593
1501339215,6643,6643
1501340180,6667,6667
1501341333,6676,6676
1501342215,6678,6678
1501343137,6697,6697
1501344146,6696,6696
1501345219,6732,6732
1501346585,6759,6759
1501347375,6800,6800
1501348474,6819,6819
1501349416,6854,6854
1501350338,6927,6927
1501352419,7053,7053
1501353322,7098,7098
1501355673,7234,7234
1501356613,7274,7274
1501357544,7346,7346
1501359024,7434,7434
1501360412,7524,7524
1501361728,7616,7616
1501362640,7664,7664
1501363816,7729,7729
1501364720,7779,7779
1501366220,7861,7861
1501368133,7936,7936
1501371940,8076,8076
1501373654,8133,8133
1501374643,8144,8144
1501375513,8184,8184
1501376332,8176,8176
1501377345,8223,8223
1501378820,8251,8251
1501379737,8290,8290
1501380625,8293,8293
1501383373,8358,8358
1501384513,8387,8387
1501385416,8404,8404
1501387327,8440,8440
1501388054,8459,8459
1501389053,8459,8459
1501389915,8474,8474
1501391418,8483,8483
1501392616,8489,8489
1501393526,8507,8507
1501395023,8514,8514
1501396233,8505,8505
1501397113,8512,8512
1501397773,8521,8521
1501398647,8511,8511
1501399695,8529,8529
1501400565,8519,8519
1501402455,8514,8514
1501403263,8615,8615
1501404141,8766,8766
1501404973,8775,8775
1501406093,8761,8761
1501407017,8742,8742
1501407939,8746,8746
1501409422,8740,8740
1501411335,8724,8724
1501412176,8732,8732
1501413285,8712,8712
1501414214,8685,8685
1501415441,8689,8689
1501416620,8689,8689
1501418538,8636,8636
1501419785,8602,8602
1501420603,8617,8617
1501422165,8585,8585
1501424419,8583,8583
1501425333,8556,8556
1501426275,8535,8535
1501427320,8498,8498
1501428493,8521,8521
1501430011,8456,8456
1501431021,8429,8429
1501432816,8387,8387
1501436552,8258,8258
1501437534,8226,8226
1501438515,8235,8235
1501440142,8183,8183
1501441471,8165,8165
1501442416,8167,8167
1501444230,8152,8152
1501444598,8163,8163
1501445421,8136,8136
1501446425,8162,8162
1501447339,8122,8122
1501449035,8112,8112
1501449915,8141,8141
1501451124,8085,8085
1501452622,8075,8075
1501453539,8089,8089
1501454414,8024,8024
1501455373,8041,8041
1501456239,8027,8027
1501457295,8049,8049
1501458864,8034,8034
1501459821,8014,8014
1501461018,7980,7980
1501461913,7977,7977
1501463654,7986,7986
1501464493,8005,8005
1501465514,7944,7944
1501467021,7941,7941
1501468095,7957,7957
1501469716,7919,7919
1501470853,7915,7915
1501471700,7925,7925
1501472717,7883,7883
1501474221,7897,7897
1501476137,7879,7879
1501476981,7890,7890
1501477825,7878,7878
1501478893,7895,7895
1501480575,7866,7866
1501481424,7848,7848
1501482494,7864,7864
1501483517,7841,7841
1501485021,7833,7833
1501486093,7869,7869
1501487115,7828,7828
1501488622,7827,7827
1501490538,7813,7813
1501492453,7848,7848
1501493418,7848,7848
1501494314,7848,7848
1501495642,7875,7875
1501497617,7885,7885
1501497739,7888,7888
1501499716,7885,7885
1501500616,7861,7861
1501501516,7887,7887
1501502177,7899,7899
1501503023,7873,7873
1501504061,7892,7892
1501505957,7864,7864
1501506872,7877,7877
1501507816,7857,7857
1501509182,7863,7863
1501510220,7856,7856
1501511294,7877,7877
1501512316,7828,7828
1501514056,7837,7837
1501515017,7808,7808
1501515916,7822,7822
1501516573,7833,7833
1501517437,7793,7793
1501519218,7735,7735
1501520456,7712,7712
1501521252,7729,7729
1501522521,7681,7681
1501524854,7631,7631
1501525821,7563,7563
1501526719,7551,7551
1501528000,7512,7512
1501528813,7521,7521
1501529716,7443,7443
1501531193,7371,7371
1501533018,7309,7309
1501533920,7290,7290
1501535656,7250,7250
1501536616,7189,7189
1501537813,7197,7197
1501539021,7133,7133
1501539254,7136,7136
1501540215,7056,7056
1501540936,7039,7039
1501541773,7048,7048
1501542624,7003,7003
1501543693,7019,7019
1501546517,6896,6896
1501547293,6904,6904
1501549824,6803,6803
1501550893,6819,6819
1501551969,6745,6745
1501552909,6701,6701
1501553714,6707,6707
1501554617,6640,6640
1501555523,6631,6631
1501556509,6590,6590
