DateTime,Entries,UniqueIPs
1498315064,151,151
1498322281,150,150
1498329746,151,151
1498336788,152,152
1498360826,151,151
1498363523,149,149
1498370358,149,149
1498379513,147,147
1498383328,148,148
1498386089,149,149
1498387548,150,150
1498390536,159,159
1498400145,160,160
1498401615,158,158
1498407342,160,160
1498421200,159,159
1498422867,160,160
1498424996,161,161
1498428943,161,161
1498430335,161,161
1498437961,160,160
1498440642,159,159
1498443610,158,158
1498453834,158,158
1498458061,159,159
1498464868,158,158
1498468466,158,158
1498469759,157,157
1498473129,157,157
1498483787,156,156
1498490133,155,155
1498503572,154,154
1498507855,153,153
1498510614,152,152
1498517727,151,151
1498520583,151,151
1498524185,150,150
1498529453,149,149
1498541726,148,148
1498550579,147,147
1498552357,146,146
1498556597,147,147
1498559392,135,135
1498562387,137,137
1498567874,138,138
1498577734,139,139
1498578185,138,138
1498581029,137,137
1498585618,136,136
1498597829,137,137
1498613431,136,136
1498615833,135,135
1498617976,136,136
1498642247,135,135
1498646564,134,134
1498661182,132,132
1498663714,130,130
1498665066,132,132
1498666233,135,135
1498668373,134,134
1498698869,135,135
1498715000,136,136
1498715794,137,137
1498716872,138,138
1498728106,139,139
1498733450,138,138
1498738163,136,136
1498743825,135,135
1498749033,136,136
1498773327,137,137
1498774238,136,136
1498807836,135,135
1498809770,136,136
1498810732,137,137
1498814065,136,136
1498819267,135,135
1498833809,133,133
1498838193,132,132
1498839034,131,131
1498840239,130,130
1498852765,131,131
1498866389,134,134
1498867825,135,135
1498886131,135,135
1498920154,141,141
1498923034,140,140
1498923932,139,139
1498943433,138,138
1498957832,139,139
1498970563,138,138
1498972467,137,137
1498975385,136,136
1498987834,135,135
1498995035,134,134
1499002234,134,134
1499005867,135,135
1499017215,134,134
1499019172,133,133
1499022637,132,132
1499029816,133,133
1499038943,134,134
1499047343,135,135
1499055036,136,136
1499056241,135,135
1499076868,141,141
1499077847,144,144
1499078652,144,144
1499080226,154,154
1499081410,156,156
1499082277,158,158
1499086900,157,157
1499088639,152,152
1499091306,148,148
1499130633,146,146
1499133158,145,145
1499154332,146,146
1499158531,145,145
1499163266,146,146
1499169091,146,146
1499177437,147,147
1499200107,148,148
1499209837,149,149
1499212782,150,150
1499227839,151,151
1499247023,150,150
1499249434,145,145
1499251543,138,138
1499253036,137,137
1499269823,136,136
1499280985,137,137
1499284677,138,138
1499294556,139,139
1499329243,141,141
1499334338,140,140
1499337050,140,140
1499338530,141,141
1499351127,140,140
1499352037,139,139
1499352929,140,140
1499353843,139,139
1499372908,140,140
1499380234,139,139
1499384929,138,138
1499388983,139,139
1499397033,140,140
1499400476,139,139
1499415266,140,140
1499423441,142,142
1499430639,143,143
1499452240,141,141
1499463933,140,140
1499466638,139,139
1499491703,140,140
1499499642,139,139
1499500527,141,141
1499506237,147,147
1499507130,151,151
1499508638,158,158
1499517043,158,158
1499520943,159,159
1499525727,160,160
1499526640,159,159
1499531436,160,160
1499542949,161,161
1499546436,162,162
1499564740,163,163
1499569834,164,164
1499578238,165,165
1499585133,167,167
1499593345,166,166
1499596242,165,165
1499619568,164,164
1499623838,161,161
1499624940,162,162
1499639439,163,163
1499643748,162,162
1499656235,161,161
1499659705,162,162
1499661637,161,161
1499667039,160,160
1499670635,158,158
1499672984,157,157
1499675450,153,153
1499676468,149,149
1499677306,141,141
1499679041,138,138
1499679752,137,137
1499681386,136,136
1499682314,137,137
1499683546,136,136
1499687215,144,144
1499688148,143,143
1499695837,141,141
1499697041,140,140
1499699439,139,139
1499704831,138,138
1499712629,139,139
1499719354,138,138
1499724636,139,139
1499728531,138,138
1499751020,137,137
1499768728,138,138
1499771667,137,137
1499775041,136,136
1499782540,136,136
1499787930,137,137
1499793059,138,138
1499794235,137,137
1499795723,139,139
1499802336,137,137
1499816546,138,138
1499821835,137,137
1499823865,136,136
1499825018,135,135
1499838340,133,133
1499842586,134,134
1499856030,133,133
1499859731,132,132
1499876068,133,133
1499884953,132,132
1499901038,133,133
1499902945,140,140
1499904640,148,148
1499908238,150,150
1499913035,150,150
1499914585,151,151
1499930073,152,152
1499930883,154,154
1499931934,154,154
1499937036,157,157
1499939020,156,156
1499952639,157,157
1499953533,158,158
1499960677,159,159
1499965837,167,167
1499969445,168,168
1499974637,167,167
1499980463,168,168
1499984065,167,167
1499992536,168,168
1499994636,169,169
1500022789,170,170
1500033700,171,171
1500048640,172,172
1500059435,171,171
1500061353,173,173
1500067832,174,174
1500081335,175,175
1500086734,188,188
1500104552,186,186
1500106234,184,184
1500110905,183,183
1500114042,184,184
1500131440,184,184
1500133355,183,183
1500135042,190,190
1500140734,191,191
1500147931,191,191
1500158728,190,190
1500165745,189,189
1500168616,190,190
1500169921,189,189
1500177324,188,188
1500185435,189,189
1500192633,186,186
1500194441,194,194
1500195399,195,195
1500196477,194,194
1500197442,193,193
1500201337,196,196
1500203437,198,198
1500219275,199,199
1500221443,204,204
1500234145,206,206
1500237643,205,205
1500243925,206,206
1500248739,205,205
1500252327,206,206
1500255937,206,206
1500257200,200,200
1500261038,201,201
1500277825,202,202
1500286239,204,204
1500302556,203,203
1500304236,202,202
1500316106,203,203
1500328589,204,204
1500337833,203,203
1500363040,201,201
1500364110,198,198
1500366907,196,196
1500375338,195,195
1500376241,194,194
1500381799,193,193
1500382637,194,194
1500385384,195,195
1500386796,196,196
1500388699,189,189
1500390483,188,188
1500394246,187,187
1500405038,188,188
1500414211,186,186
1500420640,185,185
1500426636,187,187
1500427533,195,195
1500430470,194,194
1500442956,193,193
1500453050,194,194
1500455527,192,192
1500456644,191,191
1500468041,193,193
1500471822,192,192
1500475348,191,191
1500481900,190,190
1500485457,188,188
1500490942,187,187
1500492634,186,186
1500509666,185,185
1500535841,183,183
1500539488,185,185
1500541905,184,184
1500543041,185,185
1500549129,186,186
1500550242,185,185
1500551218,187,187
1500552872,186,186
1500553903,184,184
1500554735,183,183
1500556581,185,185
1500564639,186,186
1500567958,186,186
1500574235,185,185
1500576175,184,184
1500579034,183,183
1500580030,182,182
1500583667,180,180
1500585034,179,179
1500597934,170,170
1500603702,171,171
1500615041,170,170
1500624643,169,169
1500635515,164,164
1500641040,163,163
