DateTime,Entries,UniqueIPs
1501314906,13814,13814
1501315504,13819,13819
1501316104,13819,13819
1501316704,13811,13811
1501317305,13823,13823
1501317904,13817,13817
1501318504,13821,13821
1501319103,13850,13850
1501319708,13840,13840
1501320303,13836,13836
1501320605,13822,13822
1501321207,13825,13825
1501321803,13775,13775
1501322113,13740,13740
1501322703,13738,13738
1501323303,13746,13746
1501323904,13764,13764
1501324505,13752,13752
1501325105,13753,13753
1501325702,13808,13808
1501326005,13825,13825
1501326607,13816,13816
1501327203,13826,13826
1501327803,13891,13891
1501328404,13891,13891
1501329005,13902,13902
1501329604,13898,13898
1501330206,13900,13900
1501330805,13944,13944
1501331402,14042,14042
1501331704,14050,14050
1501332310,14069,14069
1501332903,14109,14109
1501333503,14111,14111
1501334103,14090,14090
1501334411,14004,14004
1501335010,13917,13917
1501335603,13973,13973
1501335907,13939,13939
1501336505,13949,13949
1501337106,13901,13901
1501337704,13931,13931
1501338006,13917,13917
1501338604,13958,13958
1501339204,13913,13913
1501339507,13895,13895
1501340106,13858,13858
1501340703,13869,13869
1501341305,13839,13839
1501341608,13802,13802
1501342203,13837,13837
1501342808,13852,13852
1501343404,13846,13846
1501344008,13914,13914
1501344603,13985,13985
1501345210,13931,13931
1501345804,13916,13916
1501346107,13844,13844
1501346704,13780,13780
1501347306,13761,13761
1501347904,13747,13747
1501348507,13873,13873
1501348812,13833,13833
1501349407,13871,13871
1501350007,13943,13943
1501350603,14167,14167
1501351210,14200,14200
1501351803,14275,14275
1501352403,14304,14304
1501352706,14488,14488
1501353311,14459,14459
1501353911,14484,14484
1501354506,14337,14337
1501355104,14510,14510
1501355407,14426,14426
1501356004,14512,14512
1501356913,14472,14472
1501357507,14556,14556
1501358104,14587,14587
1501358704,14628,14628
1501359311,14490,14490
1501359905,14542,14542
1501360504,14523,14523
1501361407,14426,14426
1501362007,14407,14407
1501362605,14411,14411
1501363204,14446,14446
1501363509,14445,14445
1501364103,14538,14538
1501364407,14622,14622
1501365006,14600,14600
1501365609,14689,14689
1501366204,14766,14766
1501366811,14797,14797
1501367403,14753,14753
1501368310,14874,14874
1501368906,14810,14810
1501369508,14777,14777
1501370108,14761,14761
1501372508,14659,14659
1501373109,14541,14541
1501373411,14382,14382
1501374004,14504,14504
1501374307,14511,14511
1501374903,14537,14537
1501375506,14599,14599
1501376104,14639,14639
1501376414,14529,14529
1501377006,14523,14523
1501377603,14508,14508
1501377906,14466,14466
1501378505,14409,14409
1501379104,14435,14435
1501379704,14522,14522
1501380304,14562,14562
1501380903,14560,14560
1501381503,14557,14557
1501382103,14550,14550
1501382705,14547,14547
1501383303,14565,14565
1501383904,14560,14560
1501384503,14554,14554
1501385105,14546,14546
1501385705,14579,14579
1501386304,14561,14561
1501386904,14559,14559
1501387505,14556,14556
1501388103,14554,14554
1501388703,14549,14549
1501389303,14549,14549
1501389904,14560,14560
1501390503,14557,14557
1501391104,14600,14600
1501391706,14564,14564
1501392303,14561,14561
1501392904,14552,14552
1501393207,14529,14529
1501393803,14561,14561
1501394405,14555,14555
1501395005,14549,14549
1501395604,14545,14545
1501396205,14537,14537
1501396805,14562,14562
1501397403,14557,14557
1501398009,14469,14469
1501398608,14397,14397
1501399205,14384,14384
1501399803,14406,14406
1501400106,14395,14395
1501400705,14375,14375
1501401305,14374,14374
1501401903,14459,14459
1501402502,14478,14478
1501403104,14489,14489
1501403705,14464,14464
1501404304,14457,14457
1501404904,14445,14445
1501405503,14422,14422
1501406107,14385,14385
1501406703,14386,14386
1501407304,14410,14410
1501407905,14402,14402
1501408506,14381,14381
1501409105,14372,14372
1501409704,14411,14411
1501410305,14395,14395
1501410904,14384,14384
1501411505,14375,14375
1501412105,14336,14336
1501412703,14375,14375
1501413306,14371,14371
1501413905,14363,14363
1501414503,14329,14329
1501415105,14295,14295
1501415704,14308,14308
1501416305,14319,14319
1501416903,14305,14305
1501417508,14184,14184
1501418104,14188,14188
1501418408,14158,14158
