DateTime,Entries,UniqueIPs
1498991763,6885,6885
1498995604,6914,6914
1498997764,6919,6919
1499003523,6951,6951
1499009284,6950,6950
1499015284,6927,6927
1499021043,6945,6945
1499027044,6933,6933
1499030884,6923,6923
1499032822,6894,6894
1499040483,6882,6882
1499046243,6852,6852
1499055843,6819,6819
1499059685,6809,6809
1499063523,6815,6815
1499067363,6819,6819
1499069284,6816,6816
1499077203,6842,6842
1499081284,6849,6849
1499087284,6846,6846
1499093043,6837,6837
1499096883,6847,6847
1499102885,6885,6885
1499108643,6910,6910
1499110563,6903,6903
1499118245,6891,6891
1499122083,6882,6882
1499125923,6869,6869
1499133610,6848,6848
1499135523,6850,6850
1499137443,6822,6822
1499143204,6834,6834
1499151124,6873,6873
1499156885,6884,6884
1499164563,6879,6879
1499168404,6877,6877
1499172483,6890,6890
1499178484,6898,6898
1499182323,6897,6897
1499184484,6906,6906
1499188325,6895,6895
1499196245,6915,6915
1499200085,6897,6897
1499205844,6870,6870
1499209923,6851,6851
1499213764,6870,6870
1499217604,6863,6863
1499223616,6829,6829
1499231523,6811,6811
1499235364,6853,6853
1499243043,6863,6863
1499246884,6852,6852
1499250725,6857,6857
1499256483,6873,6873
1499264164,6895,6895
1499268007,6896,6896
1499273765,6911,6911
1499279763,6930,6930
1499283604,6928,6928
1499285523,6943,6943
1499291284,6906,6906
1499298964,6908,6908
1499303044,6878,6878
1499306885,6885,6885
1499312643,6876,6876
1499316723,6859,6859
1499322484,6873,6873
1499324414,6876,6876
1499330164,6867,6867
1499337844,6873,6873
1499343616,6886,6886
1499347444,6881,6881
1499353217,6853,6853
1499360884,6874,6874
1499366644,6888,6888
1499368565,6891,6891
1499372405,6890,6890
1499378165,6875,6875
1499386083,6846,6846
1499391845,6781,6781
1499399523,6804,6804
1499407445,6786,6786
1499415125,6802,6802
1499420885,6809,6809
1499422804,6812,6812
1499426644,6831,6831
1499432643,6833,6833
1499438407,6847,6847
1499444164,6857,6857
1499448003,6862,6862
1499454018,6866,6866
1499461685,6864,6864
1499465525,6849,6849
1499469605,6837,6837
1499475366,6823,6823
1499481124,6812,6812
1499488805,6797,6797
1499492645,6761,6761
1499498404,6782,6782
1499504165,6798,6798
1499506083,6791,6791
1499511844,6815,6815
1499519525,6826,6826
1499525283,6844,6844
1499529124,6843,6843
1499532964,6839,6839
1499540643,6837,6837
1499546406,6836,6836
1499552164,6814,6814
1499559843,6808,6808
1499563684,6779,6779
1499573524,6774,6774
1499575443,6762,6762
1499577365,6749,6749
1499583123,6780,6780
1499585045,6782,6782
1499588884,6797,6797
1499594644,6802,6802
1499602563,6834,6834
1499610243,6842,6842
1499614084,6853,6853
1499617924,6862,6862
1499622004,6859,6859
1499627764,6869,6869
1499631605,6866,6866
1499637365,6850,6850
1499639285,6800,6800
1499648883,6796,6796
1499652724,6781,6781
1499658484,6758,6758
1499662324,6759,6759
1499668084,6787,6787
1499673846,6800,6800
1499681525,6804,6804
1499685365,6805,6805
1499691123,6818,6818
1499698814,6839,6839
1499704564,6853,6853
1499706484,6871,6871
1499712244,6860,6860
1499718003,6887,6887
1499721844,6883,6883
1499727613,6828,6828
1499733363,6835,6835
1499737204,6804,6804
1499743204,6781,6781
1499747283,6769,6769
1499753044,6784,6784
1499760246,6809,6809
1499766246,6816,6816
1499772485,6802,6802
1499778737,6834,6834
1499782566,6846,6846
1499788817,6849,6849
1499791444,6876,6876
1499793845,6872,6872
1499799125,6879,6879
1499804884,6865,6865
1499809444,6847,6847
1499817844,6818,6818
1499823605,6795,6795
1499825764,6810,6810
1499829845,6763,6763
1499839443,6794,6794
1499844006,6809,6809
1499850245,6828,6828
1499856005,6835,6835
1499859844,6861,6861
1499866085,6857,6857
1499872083,6872,6872
1499878084,6892,6892
1499887684,6892,6892
1499892005,6887,6887
1499896085,6884,6884
1499899924,6800,6800
1499907614,6816,6816
1499909524,6792,6792
1499915283,6755,6755
1499921045,6739,6739
1499924884,6732,6732
1499928724,6791,6791
1499936416,6784,6784
1499944085,6794,6794
1499948165,6806,6806
1499955844,6828,6828
1499961844,6826,6826
1499969523,6838,6838
1499975532,6845,6845
1499979620,6821,6821
1499985362,6775,6775
1499993282,6799,6799
1499997122,6783,6783
1499999043,6777,6777
1500004812,6736,6736
1500010562,6737,6737
1500016323,6782,6782
1500022082,6785,6785
1500027848,6785,6785
1500031922,6801,6801
1500035762,6801,6801
1500041524,6817,6817
1500049202,6825,6825
1500053283,6864,6864
1500063124,6842,6842
1500067203,6809,6809
1500071282,6793,6793
1500075123,6780,6780
1500079206,6762,6762
1500081123,6745,6745
1500087124,6731,6731
1500094815,6724,6724
1500102964,6752,6752
1500106803,6760,6760
1500110642,6763,6763
1500114963,6797,6797
1500122644,6801,6801
1500132485,6815,6815
1500136324,6799,6799
1500138244,6804,6804
1500144005,6808,6808
1500147844,6812,6812
1500151683,6803,6803
1500157444,6782,6782
1500161283,6765,6765
1500167284,6734,6734
1500173043,6733,6733
1500176883,6716,6716
1500184563,6716,6716
1500192243,6737,6737
1500196084,6742,6742
1500200164,6740,6740
1500204004,6769,6769
1500208085,6778,6778
1500217683,6809,6809
1500223444,6807,6807
1500229204,6805,6805
1500234965,6783,6783
1500243364,6745,6745
1500249124,6733,6733
1500254884,6718,6718
1500256817,6699,6699
1500262563,6667,6667
1500272163,6699,6699
1500277923,6706,6706
1500283924,6714,6714
1500289683,6737,6737
1500297603,6730,6730
1500303618,6759,6759
1500311284,6769,6769
1500317043,6788,6788
1500318965,6797,6797
1500324723,6779,6779
1500326645,6781,6781
1500330726,6750,6750
1500332644,6708,6708
1500340324,6704,6704
1500348004,6689,6689
1500351843,6690,6690
1500357615,6713,6713
1500363363,6714,6714
1500367204,6722,6722
1500372965,6734,6734
1500377285,6739,6739
1500383044,6748,6748
1500390724,6765,6765
1500396723,6767,6767
1500400564,6752,6752
1500405124,6764,6764
1500412804,6765,6765
1500416644,6745,6745
1500422413,6737,6737
