DateTime,Entries,UniqueIPs
1500611071,4586,4654
1500614919,4570,4637
1500616921,4576,4642
1500618769,4577,4643
1500620915,4578,4644
1500622818,4587,4653
1500625013,4588,4654
1500626923,4594,4660
1500628830,4602,4668
1500630763,4607,4673
1500632685,4617,4683
1500634588,4618,4684
1500636507,4620,4687
1500638551,4609,4676
1500640354,4608,4676
1500642272,4598,4666
1500644196,4601,4669
1500646117,4600,4669
1500648014,4598,4667
1500650209,4603,4672
1500652121,4603,4672
1500654050,4598,4667
1500655961,4603,4673
1500658122,4601,4671
1500660150,4602,4672
1500662449,4599,4669
1500664360,4610,4681
1500666273,4614,4685
1500668176,4623,4693
1500670113,4623,4694
1500672032,4636,4708
1500673954,4644,4716
1500675868,4653,4726
1500677791,4658,4731
1500679713,4662,4735
1500681664,4661,4734
1500683560,4666,4739
1500685473,4670,4743
1500687387,4670,4743
1500689319,4674,4747
1500691473,4669,4744
1500693408,4674,4750
1500695308,4667,4743
1500697242,4663,4739
1500699159,4654,4730
1500701067,4649,4725
1500702983,4651,4728
1500704906,4649,4726
1500706901,4651,4728
1500708758,4651,4728
1500710673,4658,4735
1500712601,4652,4729
1500714525,4660,4737
1500716438,4652,4729
1500718354,4646,4722
1500720261,4654,4730
1500722174,4648,4723
1500724113,4646,4722
1500726055,4623,4699
1500727952,4634,4711
1500729861,4635,4712
1500731801,4602,4679
1500733969,4601,4678
1500735885,4600,4678
1500737796,4593,4672
1500739727,4579,4660
1500741640,4576,4657
1500743810,4572,4653
1500747880,4549,4629
1500749785,4538,4618
1500751719,4543,4623
1500753732,4536,4615
1500755562,4539,4617
1500757480,4536,4611
1500759391,4537,4612
1500761306,4532,4607
1500763478,4543,4619
1500765406,4546,4622
1500767324,4547,4623
1500769240,4547,4623
1500771172,4547,4623
1500773070,4540,4616
1500774999,4542,4618
1500776912,4548,4624
1500778958,4553,4629
1500780771,4547,4623
1500782685,4541,4617
1500784586,4538,4614
1500786528,4529,4605
1500788680,4534,4610
1500790620,4531,4607
1500792500,4544,4621
1500794446,4550,4626
1500796359,4551,4627
1500798264,4558,4634
1500800174,4568,4644
1500802121,4566,4642
1500804150,4565,4641
1500805967,4566,4642
1500807875,4559,4635
1500809801,4570,4646
1500811726,4579,4655
1500813644,4568,4643
1500815559,4565,4642
1500817473,4575,4652
1500819385,4588,4665
1500821313,4570,4647
1500823498,4560,4636
1500827306,4545,4621
1500829296,4535,4611
1500831156,4534,4610
1500833072,4532,4608
1500835235,4533,4609
1500837158,4534,4610
1500839069,4530,4607
1500842918,4523,4600
1500844835,4522,4599
1500846764,4521,4598
1500848664,4518,4595
1500850586,4512,4588
1500852523,4510,4586
1500854501,4499,4576
1500856358,4493,4570
1500858275,4494,4571
1500860185,4495,4572
1500862117,4494,4573
1500865955,4472,4551
1500867876,4467,4546
1500869779,4464,4543
1500871960,4459,4539
1500873855,4449,4529
1500875783,4442,4522
1500877716,4442,4522
1500879634,4438,4518
1500881557,4440,4520
1500883471,4433,4513
1500885393,4437,4517
1500887317,4434,4514
1500889228,4436,4516
1500891156,4429,4510
1500893063,4448,4529
1500895246,4444,4526
1500897164,4441,4523
1500899310,4447,4528
1500901342,4452,4533
1500903156,4447,4527
1500905322,4447,4527
1500907224,4444,4524
1500909161,4443,4523
1500911062,4446,4525
1500912984,4440,4520
1500914918,4443,4523
1500916845,4446,4526
1500918752,4450,4530
1500920673,4445,4526
1500922580,4444,4525
1500924509,4440,4521
1500926470,4456,4537
1500928354,4449,4530
1500932191,4435,4515
1500934104,4445,4525
1500936027,4452,4533
1500937955,4464,4546
1500939864,4469,4550
1500941791,4488,4569
1500943706,4492,4574
1500945617,4488,4569
1500949454,4464,4545
1500953321,4444,4525
1500955298,4454,4536
1500959089,4451,4535
1500960998,4463,4546
1500962901,4475,4558
1500964836,4463,4546
1500966759,4472,4555
1500968667,4458,4540
1500970593,4468,4549
1500972519,4464,4546
1500974417,4476,4558
1500976597,4465,4547
1500978512,4471,4553
1500980516,4480,4562
1500982371,4482,4565
1500986248,4468,4551
1500988117,4462,4544
1500990027,4456,4538
1500992213,4473,4556
1500994117,4471,4555
1500996052,4473,4557
1500997960,4474,4558
1500999869,4476,4560
1501001803,4482,4566
1501003721,4485,4569
1501005701,4491,4575
1501007571,4501,4585
1501011637,4507,4591
1501015471,4506,4589
1501017405,4508,4591
1501019326,4509,4592
1501021347,4510,4593
1501023699,4500,4583
1501025556,4491,4574
1501027475,4495,4579
1501029373,4502,4586
1501031301,4510,4595
1501033223,4502,4587
1501035149,4503,4589
1501037060,4527,4613
1501039004,4535,4621
1501040924,4534,4620
1501042850,4536,4622
1501044772,4538,4624
1501046663,4540,4626
1501048596,4545,4631
1501050512,4542,4628
1501052491,4544,4629
1501054345,4552,4638
1501056522,4557,4643
1501058424,4555,4641
1501060614,4540,4627
1501062511,4538,4625
1501064458,4533,4620
1501066363,4542,4629
1501068274,4552,4639
1501070176,4570,4658
1501072371,4547,4634
1501074275,4552,4639
1501076203,4535,4622
1501078125,4533,4620
1501080049,4541,4628
1501082214,4536,4623
1501087956,4519,4605
1501089867,4518,4603
1501092142,4523,4607
1501093955,4516,4600
1501095878,4520,4604
1501097784,4527,4611
1501099699,4532,4616
1501101623,4544,4628
1501103811,4537,4621
1501105720,4538,4622
1501107708,4534,4618
1501110155,4534,4618
1501112179,4536,4619
1501114106,4535,4618
1501116015,4536,4619
1501117949,4542,4625
1501119861,4548,4631
1501121790,4548,4632
1501123699,4547,4632
1501125876,4552,4637
1501127788,4551,4636
1501129707,4557,4641
1501131649,4562,4646
1501133536,4563,4646
1501135473,4568,4651
1501137390,4576,4659
1501139308,4571,4654
1501141224,4566,4649
1501143151,4570,4653
1501145068,4574,4657
1501147006,4576,4659
1501148892,4578,4661
1501150832,4584,4667
1501152737,4575,4658
1501154906,4592,4675
1501156906,4600,4684
1501158755,4595,4679
1501160673,4599,4683
1501162587,4600,4684
1501164509,4600,4684
1501166669,4604,4688
1501168605,4611,4696
1501170516,4616,4699
1501172438,4619,4702
1501174365,4624,4706
1501176262,4627,4709
1501178183,4631,4714
1501180356,4633,4716
1501182274,4640,4723
1501184192,4646,4728
1501186116,4645,4726
1501188034,4647,4728
1501189954,4655,4736
1501191860,4658,4740
1501194075,4678,4760
1501195941,4675,4757
1501197859,4681,4763
1501199789,4701,4783
1501201709,4705,4787
1501203653,4703,4785
1501205531,4687,4769
1501207332,4691,4774
1501209157,4690,4773
1501211075,4679,4762
1501212997,4681,4764
1501214925,4676,4758
1501216838,4683,4765
1501218761,4697,4779
1501220660,4697,4780
1501222608,4690,4773
1501224511,4698,4780
1501226444,4698,4780
1501228354,4690,4772
1501230267,4702,4785
1501232192,4702,4786
1501234115,4707,4791
1501236120,4706,4790
1501237946,4710,4794
1501240123,4708,4792
1501244205,4701,4784
1501246111,4710,4794
1501248038,4712,4796
1501252112,4721,4805
1501254096,4726,4810
1501255957,4737,4821
1501257877,4755,4839
1501259784,4770,4855
1501261705,4785,4870
1501263637,4782,4867
1501265693,4782,4867
1501267958,4778,4862
1501269849,4780,4867
1501271794,4779,4866
1501273706,4784,4870
1501275665,4794,4880
1501277558,4790,4875
1501279489,4787,4872
1501281382,4785,4870
1501283313,4789,4874
1501285225,4796,4881
1501287150,4793,4878
1501289061,4799,4884
1501291001,4794,4879
1501292913,4794,4879
1501294829,4797,4883
1501296749,4802,4888
1501298661,4801,4888
1501300580,4802,4889
1501302501,4794,4881
1501304493,4800,4887
1501306349,4804,4891
1501308511,4801,4888
1501310434,4803,4890
1501312362,4807,4895
1501314264,4798,4886
1501316199,4795,4882
1501318105,4794,4881
1501320013,4796,4883
1501321939,4796,4885
