DateTime,AddedIPs,RemovedIPs
1496097384,6,8
1496108345,6,3
1496119441,3,4
1496130726,2,7
1496141524,3,6
1496152580,6,4
1496163540,3,4
1496174363,3,5
1496184944,6,7
1496195956,5,6
1496206886,5,8
1496217431,8,8
1496228475,8,8
1496239699,6,6
1496250523,5,3
1496261395,6,3
1496272336,4,3
1496283320,8,10
1496294412,3,6
1496305427,3,7
1496316309,1,5
1496327280,5,6
1496339481,7,4
1496352930,3,5
1496363986,7,4
1496374931,9,7
1496385584,4,15
1496396603,1,8
1496407550,8,7
1496418482,2,5
1496429212,4,6
1496440137,4,6
1496451087,10,6
1496462774,4,7
1496473704,7,7
1496484691,3,5
1496495752,5,8
1496506754,5,6
1496517801,3,8
1496528845,6,6
1496539957,3,7
1496550942,4,6
1496561920,8,5
1496572960,4,4
1496583966,11,7
1496594838,10,12
1496605641,7,8
1496616703,5,4
1496627592,15,5
1496638469,10,9
1496649674,7,1
1496660851,13,14
1496671629,6,9
1496682618,11,6
1496693471,10,5
1496704402,8,6
1496715347,8,3
1496726335,5,7
1496737439,9,6
1496748461,8,8
1496759508,9,6
1496770792,3,5
1496781789,6,6
1496792840,6,6
1496803782,10,7
1496814626,7,4
1496825305,5,6
1496836210,4,7
1496846938,7,5
1496857882,5,5
1496868930,7,3
1496880077,6,17
1496891007,6,5
1496901916,9,4
1496913144,4,8
1496924187,6,2
1496935199,9,4
1496946057,5,6
1496956843,15,11
1496967335,11,5
1496978262,8,4
1496989185,10,10
1497000257,9,7
1497011113,12,8
1497022004,7,5
1497033049,5,6
1497044051,9,6
1497055118,3,4
1497066156,9,5
1497077204,6,5
1497088195,10,4
1497099087,10,5
1497110123,6,4
1497121237,9,4
1497132102,5,7
1497142834,6,7
1497153793,4,9
1497164842,10,5
1497176419,3,6
1497187385,12,6
1497198621,4,4
1497209568,7,6
1497220558,1,6
1497231211,3,8
1497242159,5,14
1497253193,10,7
1497264098,4,10
1497275105,7,9
1497286013,9,8
1497297072,4,7
1497308060,6,11
1497318926,11,6
1497330070,4,8
1497340657,7,5
1497351406,6,8
1497362425,3,12
1497373689,4,3
1497383958,6,6
1497394924,7,7
1497405821,7,5
1497416860,7,9
1497427915,3,4
1497438929,6,8
1497450015,4,9
1497460974,9,6
1497472024,8,5
1497483102,6,5
1497494301,7,5
1497505035,3,4
1497515820,11,5
1497526771,8,7
1497537566,6,3
1497548677,5,3
1497559360,6,6
1497570348,7,1
1497581234,4,3
1497592268,2,2
1497603189,5,5
1497614032,8,6
1497624666,6,4
1497635816,6,3
1497646847,7,6
1497658018,8,3
1497669389,9,7
1497680630,8,10
1497691524,10,6
1497702463,6,4
1497713530,4,8
1497724566,3,3
1497735632,6,6
1497746630,16,6
1497757667,6,2
1497768746,5,9
1497779736,3,6
1497790916,5,8
1497801678,10,7
1497812637,10,4
1497823609,5,9
1497834691,5,6
1497845631,10,3
1497856691,3,6
1497867476,7,2
1497878380,5,7
1497889296,4,8
1497900093,3,7
1497910943,6,8
1497922048,3,7
1497932979,6,6
1497943934,6,8
1497955231,5,3
1497966252,1,3
1497977257,12,6
1497988355,7,4
1497999345,4,7
1498010432,1,5
1498021379,3,5
1498032408,5,2
1498043445,5,4
1498054160,4,4
1498064956,7,5
1498075687,5,1
1498086734,4,8
1498097705,8,7
1498108644,5,2
1498119609,3,5
1498130655,4,7
1498141504,3,2
1498152420,2,6
1498163353,5,4
1498174602,5,5
1498185634,1,10
1498196638,3,4
1498207301,3,9
1498218018,2,3
1498229025,6,3
1498239886,8,9
1498250906,5,6
1498261753,4,3
1498272718,3,5
1498283746,7,8
1498294853,10,5
1498305995,5,6
1498317039,3,6
1498328049,6,2
1498339023,3,5
1498349991,8,7
1498361013,6,7
1498372354,9,8
1498383085,4,5
1498394178,3,4
1498405456,8,7
1498416693,5,6
1498427475,2,6
1498438378,6,1
1498449387,6,0
1498460401,1,9
1498471382,4,8
1498482267,3,2
1498493279,4,6
1498504665,9,3
1498515856,3,4
1498526791,5,4
1498537703,4,5
1498548643,9,2
1498559471,2,10
1498570555,1,3
1498581498,3,5
1498592194,8,7
1498603074,1,6
1498613994,5,7
1498624976,4,6
1498635863,8,5
1498647130,9,5
1498658116,2,8
1498669201,3,8
1498680231,7,7
1498691282,4,5
1498702353,5,3
1498713587,4,5
1498724586,6,5
1498735968,3,4
1498746931,2,6
1498757948,6,4
1498769050,7,3
1498779845,9,4
1498790889,2,8
1498801962,6,1
1498812879,4,14
1498823957,7,8
1498834835,5,2
1498845861,4,6
1498856870,8,2
1498867872,4,7
