DateTime,Entries,UniqueIPs
1500961476,125481,125481
1500962470,125497,125497
1500963389,125493,125493
1500964375,125490,125490
1500965320,125480,125480
1500966772,125485,125485
1500966974,125432,125432
1500967716,125461,125461
1500967937,125463,125463
1500968670,125452,125452
1500968901,125429,125429
1500969708,125435,125435
1500970112,125442,125442
1500970825,125441,125441
1500971074,125420,125420
1500971790,125417,125417
1500972026,125388,125388
1500972729,125399,125399
1500972990,125379,125379
1500973708,125384,125384
1500973946,125363,125363
1500974674,125349,125349
1500975155,125348,125348
1500975623,125351,125351
1500976122,125336,125336
1500976600,125328,125328
1500977083,125338,125338
1500977566,125344,125344
1500978047,125330,125330
1500978515,125319,125319
1500979005,125338,125338
1500979460,125342,125342
1500979944,125307,125307
1500980532,125303,125303
1500980915,125308,125308
1500981619,125312,125312
1500981875,125306,125306
1500982589,125309,125309
1500982826,125292,125292
1500983538,125289,125289
1500983799,125289,125289
1500984773,125293,125293
1500985711,125305,125305
1500986679,125297,125297
1500987699,125312,125312
1500988837,125301,125301
1500989785,125293,125293
1500990756,125281,125281
1500991729,125278,125278
1500992667,125259,125259
1500993653,125269,125269
1500994594,125275,125275
1500995561,125221,125221
1500996517,125238,125238
1500997472,125246,125246
1500998492,125213,125213
1500999411,125208,125208
1501000355,125189,125189
1501001326,125198,125198
1501002269,125210,125210
1501003252,125208,125208
1501004197,125195,125195
1501005155,125210,125210
1501006229,125196,125196
1501007584,125182,125182
1501008510,125172,125172
1501009742,125193,125193
1501010661,125193,125193
1501011642,125196,125196
1501012594,125207,125207
1501013563,125207,125207
1501014512,125230,125230
1501015476,125220,125220
1501016507,125234,125234
1501017410,125231,125231
1501018361,125234,125234
1501019341,125228,125228
1501020274,125243,125243
1501021352,125262,125262
1501022437,125261,125261
1501023714,125253,125253
1501024817,125230,125230
1501025801,125239,125239
1501026756,125259,125259
1501027695,125262,125262
1501028663,125263,125263
1501029644,125258,125258
1501030592,125255,125255
1501031571,125255,125255
1501032503,125256,125256
1501033471,125237,125237
1501034497,125268,125268
1501035638,125289,125289
1501036588,125312,125312
1501037557,125309,125309
1501038508,125318,125318
1501039463,125302,125302
1501040440,125309,125309
1501041415,125339,125339
1501042355,125312,125312
1501043313,125330,125330
1501044275,125301,125301
1501045275,125335,125335
1501046190,125329,125329
1501047164,125342,125342
1501048118,125361,125361
1501049081,125364,125364
1501050037,125388,125388
1501051099,125372,125372
1501052193,125375,125375
1501053158,125371,125371
1501054103,125385,125385
1501055080,125373,125373
1501056115,125395,125395
1501057238,125397,125397
1501058186,125393,125393
1501059153,125422,125422
1501060121,125414,125414
1501061067,125438,125438
1501062035,125455,125455
1501063003,125459,125459
1501063963,125460,125460
1501064909,125451,125451
1501065862,125454,125454
1501066897,125445,125445
1501068028,125465,125465
1501068989,125452,125452
1501069954,125459,125459
1501070893,125463,125463
1501071865,125474,125474
1501072839,125464,125464
1501073785,125509,125509
1501074758,125459,125459
1501075705,125483,125483
1501076678,125465,125465
1501077717,125491,125491
1501078829,125446,125446
1501079773,125461,125461
1501080740,125468,125468
1501081707,125460,125460
1501082662,125447,125447
1501083625,125463,125463
1501084586,125440,125440
1501085552,125452,125452
1501086514,125407,125407
1501087468,125379,125379
1501088513,125358,125358
1501089626,125383,125383
1501090583,125348,125348
