DateTime,Entries,UniqueIPs
1500966772,2669,2669
1500966974,2664,2664
1500967716,2690,2690
1500967937,2691,2691
1500968670,2692,2692
1500968901,2690,2690
1500969708,2687,2687
1500970112,2680,2680
1500970825,2678,2678
1500971074,2662,2662
1500971790,2661,2661
1500972026,2657,2657
1500972729,2657,2657
1500972990,2670,2670
1500973708,2666,2666
1500973946,2666,2666
1500974674,2664,2664
1500975155,2681,2681
1500975623,2672,2672
1500976122,2674,2674
1500976600,2655,2655
1500977083,2648,2648
1500977566,2647,2647
1500978047,2629,2629
1500978515,2635,2635
1500979005,2649,2649
1500979460,2649,2649
1500979944,2650,2650
1500980532,2645,2645
1500980915,2644,2644
1500981619,2657,2657
1500981875,2654,2654
1500982589,2655,2655
1500982826,2653,2653
1500983538,2651,2651
1500983799,2662,2662
1500984773,2667,2667
1500985711,2662,2662
1500986679,2658,2658
1500987699,2668,2668
1500988837,2659,2659
1500989785,2659,2659
1500990756,2619,2619
1500991729,2595,2595
1500992667,2585,2585
1500993653,2573,2573
1500994594,2573,2573
1500995561,2573,2573
1500996517,2551,2551
1500997472,2542,2542
1500998492,2523,2523
1500999411,2516,2516
1501000355,2490,2490
1501001326,2491,2491
1501002269,2484,2484
1501003252,2482,2482
1501004197,2480,2480
1501005155,2481,2481
1501006229,2481,2481
1501007584,2484,2484
1501008510,2489,2489
1501009742,2490,2490
1501010661,2491,2491
1501011642,2485,2485
1501012594,2482,2482
1501013563,2483,2483
1501014512,2485,2485
1501015476,2485,2485
1501016507,2493,2493
1501017410,2498,2498
1501018361,2511,2511
1501019341,2511,2511
1501020274,2516,2516
1501021352,2520,2520
1501022437,2531,2531
1501023714,2534,2534
1501024817,2532,2532
1501025801,2529,2529
1501026756,2540,2540
1501027695,2546,2546
1501028663,2546,2546
1501029644,2546,2546
1501030592,2543,2543
1501031571,2546,2546
1501032503,2539,2539
1501033471,2542,2542
1501034497,2535,2535
1501035638,2549,2549
1501036588,2538,2538
1501037557,2530,2530
1501038508,2525,2525
1501039463,2520,2520
1501040440,2510,2510
1501041415,2507,2507
1501042355,2501,2501
1501043313,2488,2488
1501044275,2484,2484
1501045275,2484,2484
1501046190,2475,2475
1501047164,2466,2466
1501048118,2467,2467
1501049081,2477,2477
1501050037,2471,2471
1501051099,2461,2461
1501052193,2466,2466
1501053158,2471,2471
1501054103,2467,2467
1501055080,2473,2473
1501056115,2466,2466
1501057238,2466,2466
1501058186,2464,2464
1501059153,2466,2466
1501060121,2477,2477
1501061067,2481,2481
1501062035,2488,2488
