DateTime,Entries,UniqueIPs
1501151560,20525,20871
1501152511,20520,20866
1501153471,20520,20866
1501154464,20520,20866
1501155395,20520,20866
1501156366,20512,20858
1501157341,20512,20858
1501158297,20505,20851
1501159236,20514,20860
1501160204,20506,20851
1501161171,20504,20849
1501162114,20497,20842
1501163077,20493,20839
1501164163,20488,20834
1501165226,20492,20838
1501166199,20491,20837
1501167161,20485,20831
1501168132,20492,20838
1501169099,20491,20836
1501170026,20486,20830
1501171000,20482,20826
1501171977,20488,20832
1501172934,20486,20830
1501173883,20490,20834
1501174920,20500,20844
1501176018,20500,20844
1501177236,20500,20844
1501178196,20507,20851
1501179404,20504,20848
1501180368,20510,20854
1501181310,20494,20837
1501182277,20502,20845
1501183261,20503,20846
1501184195,20508,20851
1501185150,20504,20847
1501186130,20495,20838
1501187072,20496,20839
1501188036,20503,20846
1501188991,20509,20852
1501189961,20510,20853
1501190903,20515,20859
1501191873,20515,20859
1501192877,20530,20874
1501194087,20536,20880
1501195003,20538,20882
1501195944,20528,20872
1501196928,20523,20867
1501197865,20527,20872
1501198837,20524,20869
1501199802,20522,20867
1501200771,20519,20864
1501201712,20520,20866
1501202664,20513,20859
1501203666,20512,20858
1501204857,20523,20869
1501205789,20530,20876
1501206745,20535,20881
1501207724,20528,20875
1501208690,20525,20872
1501209632,20525,20872
1501210591,20529,20877
1501211560,20534,20882
1501212509,20531,20879
1501213463,20537,20885
1501214462,20530,20878
1501215394,20529,20877
1501216376,20539,20887
1501217315,20533,20881
1501218283,20539,20887
1501219236,20539,20886
1501220182,20548,20895
1501221161,20548,20895
1501222120,20545,20892
1501223059,20540,20887
1501224036,20537,20884
1501225000,20532,20879
1501225969,20525,20872
1501226903,20525,20872
1501227863,20513,20859
1501228900,20516,20862
1501230012,20515,20861
1501230989,20512,20858
1501231933,20512,20858
1501232903,20510,20856
1501233859,20508,20855
1501234813,20512,20860
1501235777,20518,20866
1501236743,20514,20862
1501237697,20518,20866
1501238648,20515,20863
1501239676,20526,20874
1501240593,20520,20868
1501241546,20521,20869
1501242525,20518,20866
1501243709,20514,20862
1501244662,20513,20861
1501245644,20502,20851
1501246581,20512,20861
1501247556,20503,20851
1501248501,20508,20856
1501249470,20485,20833
1501250505,20487,20835
1501251632,20483,20831
1501253551,20472,20820
1501254514,20474,20822
1501255460,20472,20820
1501256447,20466,20814
1501257381,20476,20826
1501258360,20459,20809
1501259314,20468,20818
1501260272,20470,20820
1501261281,20468,20818
1501262182,20472,20822
1501263147,20465,20814
1501264131,20466,20815
1501265073,20466,20815
1501266036,20457,20806
1501267496,20460,20809
1501268448,20472,20824
1501269389,20473,20829
1501270353,20480,20836
1501271319,20479,20835
1501272272,20476,20833
1501273238,20472,20829
1501274210,20473,20829
1501275147,20478,20834
1501276118,20488,20844
1501277071,20496,20852
1501278053,20516,20872
1501278995,20519,20875
1501280385,20527,20883
1501281385,20527,20882
1501282350,20531,20886
1501283316,20531,20886
1501284262,20542,20897
1501285239,20542,20897
1501286193,20551,20906
1501287178,20556,20911
1501288108,20554,20909
1501289074,20555,20910
1501290097,20559,20915
1501291005,20560,20916
1501291947,20575,20931
1501292916,20577,20933
1501293869,20579,20935
1501294842,20579,20935
1501295783,20579,20934
1501296752,20587,20942
1501297718,20575,20930
1501298663,20583,20937
1501299627,20576,20930
1501300594,20583,20937
1501301559,20577,20931
1501302503,20575,20929
1501303488,20571,20925
1501304496,20583,20937
1501305632,20594,20948
1501306581,20595,20949
1501307550,20604,20958
1501308514,20613,20967
1501309459,20617,20971
1501310446,20616,20970
1501311379,20624,20978
1501312366,20621,20975
1501313304,20630,20984
1501314277,20625,20979
1501315337,20634,20988
1501316429,20648,21004
1501317390,20648,21004
1501318341,20651,21007
1501319311,20647,21003
1501320259,20653,21009
1501321233,20661,21017
1501322191,20666,21022
1501323146,20662,21018
1501324109,20662,21018
1501325069,20664,21020
1501326063,20663,21019
1501326973,20659,21015
1501328220,20657,21014
1501329152,20651,21008
1501330111,20647,21004
1501331060,20647,21003
1501332044,20643,20999
1501332989,20644,21000
1501333950,20643,20999
1501334919,20633,20990
1501335864,20635,20992
1501336894,20636,20994
1501338026,20635,20993
1501338986,20631,20988
1501339961,20626,20984
1501340924,20620,20978
1501341860,20628,20986
1501342839,20616,20974
1501343791,20627,20985
1501344760,20622,20980
1501345701,20631,20989
1501346683,20622,20980
1501347697,20628,20986
1501348826,20630,20989
1501349770,20625,20984
1501350739,20630,20989
1501351830,20637,20996
1501352905,20640,21000
1501353858,20640,21000
1501354913,20638,20998
1501356038,20629,20989
1501357263,20635,20995
1501358190,20624,20984
1501359159,20637,20997
1501360111,20633,20993
1501361077,20642,21002
1501362097,20640,21000
1501363233,20639,20999
1501364192,20645,21005
1501365150,20644,21004
1501366101,20638,20998
1501367306,20639,20999
1501368633,20639,20999
1501369700,20644,21004
1501370658,20639,20999
1501372686,20643,21004
1501373792,20643,21004
1501374768,20639,21000
1501375715,20628,20989
1501376929,20619,20980
1501377859,20618,20980
1501378837,20616,20978
1501379804,20607,20969
1501380773,20601,20963
1501381711,20599,20961
1501382669,20598,20960
1501383699,20592,20954
1501384812,20592,20954
1501385807,20588,20950
1501386744,20591,20953
1501387700,20587,20949
1501388658,20586,20948
1501389623,20566,20928
