DateTime,Entries,UniqueIPs
1500936031,74356,86277
1500937015,74411,86340
1500937972,74455,86388
1500938905,74501,86454
1500939868,74587,86561
1500940913,74559,86531
1500942034,74555,86530
1500942990,74589,86577
1500943951,74562,86542
1500944925,74545,86513
1500945864,74483,86443
1500946826,74390,86333
1500947798,74372,86316
1500948756,74310,86238
1500949710,74303,86233
1500950675,74242,86160
1500951695,74231,86145
1500952837,74225,86133
1500953793,74230,86139
1500954752,74222,86135
1500955703,74243,86159
1500956652,74252,86142
1500957625,74229,86112
1500958613,74260,86149
1500959560,74255,86145
1500960510,74308,86217
1500961476,74289,86193
1500962470,74316,86226
1500963389,74298,86197
1500964375,74304,86228
1500965320,74289,86229
1500966974,74278,86212
1500967937,74308,86263
1500968901,74314,86266
1500970112,74336,86289
1500971074,74413,86385
1500972026,74374,86343
1500972990,74394,86377
1500973946,74358,86348
1500975155,74399,86406
1500976122,74363,86357
1500977083,74375,86377
1500978047,74384,86387
1500979005,74398,86409
1500979944,74376,86333
1500980915,74367,86328
1500981875,74394,86371
1500982826,74359,86334
1500983799,74336,86304
1500984773,74326,86297
1500985711,74314,86243
1500986679,74260,86184
1500987699,74232,86166
1500988837,74219,86142
1500989785,74197,86114
1500990756,74188,86103
1500991729,74175,86088
1500992667,74210,86138
1500993653,74183,86105
1500994594,74202,86139
1500995561,74150,86076
1500996517,74182,86104
1500997472,74144,86059
1500998492,74210,86136
1500999411,74182,86103
1501000355,74214,86141
1501001326,74089,86002
1501002269,74094,86006
1501003252,74126,86036
1501004197,74122,86025
1501005155,74177,86110
1501006229,74146,86073
1501007584,74203,86146
1501008510,74183,86131
1501009742,74214,86177
1501010661,74228,86195
1501011642,74207,86170
1501012594,74237,86205
1501013563,74177,86132
1501014512,74189,86146
1501015476,74155,86099
1501016507,74172,86123
1501017410,74117,86046
1501018361,74138,86070
1501019341,74058,85992
1501020274,74088,86015
1501021352,74090,86003
1501022437,74077,85985
1501023714,74098,86003
1501024817,74083,85984
1501025801,74085,85992
1501026756,74098,85989
1501027695,74124,86017
1501028663,74121,86020
1501029644,74088,85981
1501030592,74163,86069
1501031571,74090,85985
1501032503,74143,86043
1501033471,74123,86024
1501034497,74136,86035
1501035638,74049,85949
1501036588,74103,86011
1501037557,74089,85984
1501038508,74037,85922
1501039463,74090,85986
1501040440,74025,85908
1501041415,74014,85889
1501042355,74031,85911
1501043313,74032,85917
1501044275,74001,85889
1501045275,74063,85968
1501046190,74085,85986
1501047164,74039,85928
1501048118,74050,85934
1501049081,74098,85992
1501050037,74075,85977
1501051099,74103,86011
1501052193,74046,85949
1501053158,73948,85844
1501054103,74016,85927
1501055080,73930,85822
1501056115,73939,85828
1501057238,73943,85831
1501058186,73943,85832
1501059153,74001,85893
1501060121,73991,85882
1501061067,74018,85915
1501062035,74036,85931
1501063003,74027,85932
1501063963,74007,85905
1501064909,74040,85946
1501065862,74035,85949
1501066897,74055,85970
1501068028,74022,85942
1501068989,73984,85915
1501069954,73970,85897
1501070893,73964,85884
1501071865,74044,85983
1501072839,73950,85867
1501073785,74056,85987
1501074758,74075,86021
1501075705,74093,86039
1501076678,74074,85987
1501077717,74125,86054
1501078829,74105,86023
1501079773,74073,85985
1501080740,74146,86059
1501081707,74135,86046
1501082662,74081,85977
1501083625,74103,86005
1501084586,74143,86047
1501085552,74133,86031
1501086514,74048,85930
1501087468,74105,85995
1501088513,74030,85910
1501089626,74028,85911
1501090583,73996,85866
1501091547,74040,85918
1501092635,74079,85967
1501093703,74073,85958
1501094658,74078,85966
1501095645,74064,85946
1501096588,74064,85940
1501097544,74084,85956
1501098502,74067,85932
1501099478,74089,85947
1501100435,74105,85964
1501101384,74137,86000
1501102363,74146,85997
1501103310,74165,86015
1501104278,74121,85964
1501105234,74108,85947
1501106204,74085,85927
1501107148,74047,85888
1501108118,74045,85900
1501109061,74079,85935
1501110171,74108,85965
1501111219,74122,85990
1501112184,74138,86010
1501113146,74144,86010
1501114111,74158,86031
1501115052,74154,86038
1501116030,74151,86031
1501116987,74131,86001
1501117953,74175,86051
1501118909,74152,86029
1501119876,74157,86035
1501120897,74271,86167
1501122035,74177,86066
1501123011,74212,86103
1501123955,74225,86120
1501124932,74242,86136
1501125881,74274,86175
1501126839,74274,86170
1501127816,74306,86214
1501128760,74330,86246
1501129722,74288,86207
1501130678,74190,86092
1501131655,74225,86147
1501132585,74143,86045
1501133552,74112,86017
1501134514,74023,85918
1501135478,74055,85963
1501136426,74006,85908
1501137405,73975,85883
1501138347,73930,85845
1501140269,73889,85793
1501141237,73888,85794
1501142195,73914,85834
1501143155,73914,85846
1501144116,73921,85877
1501145071,73855,85824
1501146121,73903,85886
1501147232,73896,85899
1501148186,73922,85935
1501149151,73950,85978
1501150100,73947,85978
1501151052,73931,85958
1501152033,73907,85931
1501152991,73903,85920
1501153957,73895,85916
1501154910,73901,85929
1501155873,73903,85928
1501156909,73920,85951
1501157814,73888,85909
1501158757,73898,85916
1501159717,73855,85848
1501160676,73866,85863
1501161639,73861,85849
1501162602,73860,85858
1501163551,73869,85876
1501164512,73857,85869
1501165718,73859,85876
1501166683,73818,85844
1501167700,73826,85832
1501168608,73788,85789
1501169557,73823,85831
1501170529,73784,85782
1501171473,73813,85827
1501172440,73822,85841
1501173400,73853,85893
1501174368,73851,85890
1501175323,73842,85881
1501176265,73836,85896
1501177238,73776,85836
1501178198,73805,85879
1501179406,73798,85871
1501180371,73754,85838
1501181312,73760,85841
1501182278,73746,85819
1501183263,73740,85824
1501184197,73706,85804
1501185153,73736,85848
1501186132,73698,85823
1501187074,73753,85887
1501188038,73666,85792
1501188993,73718,85854
1501189963,73623,85747
1501190905,73693,85828
1501191875,73619,85729
1501192879,73673,85795
1501194089,73612,85723
1501195005,73596,85707
1501195946,73608,85719
1501196930,73564,85665
1501197867,73579,85672
1501198839,73519,85603
1501199804,73565,85656
1501200773,73504,85589
1501201714,73560,85661
1501202667,73537,85634
1501203668,73564,85667
1501204859,73514,85613
1501205791,73500,85598
1501206747,73577,85677
1501207726,73562,85643
1501208692,73608,85696
1501209634,73534,85612
1501210593,73547,85633
1501211562,73585,85679
1501212511,73530,85612
1501213465,73498,85578
1501214465,73473,85556
1501215396,73452,85538
1501216378,73426,85509
1501217317,73467,85559
1501218285,73419,85514
1501219239,73474,85584
1501220185,73462,85571
1501221164,73478,85593
1501222122,73441,85556
1501223060,73455,85577
1501224039,73476,85600
1501225002,73496,85626
1501225971,73452,85577
1501226904,73515,85651
1501227865,73506,85650
1501228902,73552,85702
1501230014,73537,85685
1501230991,73616,85774
1501231935,73602,85753
1501232905,73596,85746
1501233861,73567,85713
1501234814,73558,85690
1501235780,73527,85640
1501236746,73511,85619
1501237699,73494,85600
1501238650,73460,85557
1501239678,73445,85542
1501240595,73410,85507
1501241548,73422,85521
1501242527,73391,85485
1501243711,73402,85497
1501244664,73377,85465
1501245646,73400,85501
1501246584,73408,85519
1501247558,73387,85492
1501248503,73427,85550
1501249472,73464,85593
1501250507,73452,85593
1501251634,73475,85613
1501252584,73489,85613
1501253553,73452,85566
1501254516,73436,85544
1501255462,73471,85593
1501256449,73484,85607
1501257384,73555,85692
1501258362,73539,85661
1501259316,73551,85674
1501260284,73535,85646
1501261283,73577,85695
1501262184,73552,85663
1501263149,73544,85650
1501264133,73512,85609
1501265075,73430,85499
1501266038,73361,85418
1501267498,73357,85403
1501268450,73354,85399
1501269391,73340,85385
1501270355,73356,85405
1501271321,73317,85363
1501272274,73328,85378
1501273240,73300,85341
1501274212,73307,85350
1501275149,73280,85305
