DateTime,Entries,UniqueIPs
1499385643,495,495
1499389247,496,496
1499392846,495,495
1499400043,495,495
1499407234,494,494
1499410842,494,494
1499414436,494,494
1499421636,493,493
1499425239,494,494
1499428845,494,494
1499432438,491,491
1499436047,490,490
1499439637,488,488
1499450485,488,488
1499454070,486,486
1499457671,486,486
1499461291,487,487
1499472094,490,490
1499475695,487,487
1499479295,487,487
1499482894,489,489
1499486492,488,488
1499490092,489,489
1499497289,488,488
1499500894,487,487
1499508091,485,485
1499511691,486,486
1499515292,488,488
1499522489,488,488
1499526086,491,491
1499529687,495,495
1499533290,496,496
1499536888,494,494
1499540473,493,493
1499544076,494,494
1499551284,495,495
1499554891,494,494
1499558498,493,493
1499562102,496,496
1499565704,496,496
1499572901,498,498
1499580102,501,501
1499583697,499,499
1499587299,498,498
1499590897,497,497
1499594496,496,496
1499601696,495,495
1499605296,496,496
1499608895,497,497
1499612495,496,496
1499616095,495,495
1499619696,489,489
1499623293,473,473
1499626891,459,459
1499630490,447,447
1499634089,425,425
1499637686,407,407
1499641282,404,404
1499644889,404,404
1499648488,406,406
1499652088,406,406
1499655688,408,408
1499662888,409,409
1499666490,408,408
1499677289,410,410
1499680891,408,408
1499684491,406,406
1499688091,405,405
1499695291,404,404
1499698891,403,403
1499702492,405,405
1499706090,403,403
1499709693,404,404
1499720491,401,401
1499724094,402,402
1499727694,403,403
1499731298,403,403
1499734896,400,400
1499738497,401,401
1499742098,399,399
1499745691,397,397
1499756492,397,397
1499760090,398,398
1499763688,397,397
1499767292,414,414
1499770891,412,412
1499774493,410,410
1499778094,409,409
1499781692,403,403
1499785291,400,400
1499788890,384,384
1499792490,384,384
1499799689,383,383
1499803287,382,382
1499806890,380,380
1499814089,383,383
1499817686,383,383
1499821288,381,381
1499824884,383,383
1499828488,383,383
1499832085,382,382
1499835686,379,379
1499839276,379,379
1499842870,377,377
1499857266,378,378
1499868079,378,378
1499871668,377,377
1499875276,377,377
1499882487,377,377
1499886089,376,376
1499889680,377,377
1499893279,376,376
1499896881,374,374
1499900478,374,374
1499904077,372,372
1499907680,369,369
1499914877,368,368
1499918480,369,369
1499922073,367,367
1499925673,368,368
1499929266,369,369
1499932862,367,367
