DateTime,AddedIPs,RemovedIPs
1499818809,100,88
1499822416,87,95
1499826027,107,107
1499829620,99,102
1499833214,87,93
1499836799,98,107
1499840412,87,83
1499844006,118,108
1499847619,110,101
1499851196,101,125
1499854811,150,101
1499858424,285,117
1499862023,281,110
1499865725,133,114
1499869219,104,112
1499872826,109,126
1499876418,100,92
1499880042,94,111
1499883628,98,96
1499887219,106,117
1499890818,108,102
1499894432,99,104
1499898038,108,97
1499901749,110,89
1499905253,114,118
1499908837,100,89
1499912416,91,149
1499916015,86,112
1499919659,99,108
1499923235,127,92
1499926813,95,95
1499930418,106,102
1499934033,108,121
1499937646,104,105
1499941213,101,113
1499944812,155,118
1499948423,150,135
1499952052,158,104
1499955644,123,126
1499959220,124,117
1499962829,142,134
1499966436,143,123
1499970025,120,149
1499973757,123,125
1499977223,112,119
1499980814,100,122
1499984413,106,137
1499988031,118,103
1499991639,155,104
1499995215,105,166
1499998834,122,123
1500002443,105,104
1500006057,105,82
1500009637,118,115
1500023977,66,103
1500027607,330,435
1500031200,106,115
1500034886,123,135
1500038429,101,91
1500042007,134,116
1500045608,141,125
1500049211,139,110
1500052836,115,112
1500056413,113,118
1500060110,108,112
1500063612,119,120
1500067209,130,125
1500070808,110,127
1500074420,94,114
1500078026,79,116
1500081607,100,102
1500085205,121,103
1500088813,113,116
1500092425,94,132
1500096010,95,106
1500099602,115,108
1500103203,102,112
1500106817,86,118
1500110410,95,122
1500113999,99,140
1500117597,91,99
1500121205,89,145
1500124807,94,89
1500128397,87,106
1500131994,105,116
1500135598,100,106
1500139205,95,102
1500142798,133,114
1500146501,129,107
1500153590,188,209
1500157191,89,108
1500160794,70,96
1500164418,76,113
1500167994,74,102
1500171585,83,134
1500175184,80,113
1500178802,74,116
1500182392,78,105
1500185977,69,98
1500189577,89,118
1500193185,90,105
1500196787,92,113
1500200375,104,94
1500203972,99,126
1500207578,97,112
1500211185,88,113
1500214777,76,93
1500218370,88,126
1500221973,91,113
1500225585,84,109
1500229177,83,105
1500232768,107,94
1500236368,86,95
1500239979,94,98
1500243575,86,104
1500247170,94,114
1500250765,70,100
1500254370,90,118
1500257974,75,109
1500261565,61,102
1500265161,78,77
1500268761,77,96
1500272366,71,106
1500275965,87,105
1500279558,99,82
1500283157,103,98
1500286764,94,94
1500290364,90,125
1500293954,108,163
1500297548,90,240
1500301173,93,152
1500304742,102,97
1500308339,84,97
1500311946,82,105
1500315569,99,116
1500319151,77,106
1500322744,102,106
1500326342,89,115
1500329956,96,110
1500333559,94,90
1500337144,111,95
1500340741,80,104
1500344345,67,84
1500347956,73,86
1500351545,107,109
1500355138,84,89
1500358742,107,87
1500362353,91,96
1500365946,86,96
1500369539,91,111
1500373137,87,107
1500376744,99,120
1500380346,85,118
1500384028,20,127
1500387539,199,533
1500391108,94,199
1500394741,77,104
1500398302,91,118
1500401903,89,128
1500405587,97,99
1500409114,97,109
1500412699,80,121
1500416300,84,113
1500419901,88,97
1500423530,108,91
1500427106,87,90
1500430694,76,100
1500434297,96,105
1500437912,74,98
1500441501,87,98
1500445090,80,99
1500448692,80,104
1500452305,74,105
1500455904,93,105
1500459487,86,186
1500463068,77,389
1500466656,95,448
1500470260,95,189
1500473853,99,109
1500477445,106,111
1500481048,96,117
1500484657,102,101
1500488253,96,103
1500491848,89,108
1500495447,102,112
1500499054,120,96
1500502655,80,99
1500506250,87,98
1500509844,86,102
1500513499,84,95
