DateTime,Entries,UniqueIPs
1499829620,22511,22511
1499833214,22505,22505
1499836799,22496,22496
1499840412,22500,22500
1499844006,22510,22510
1499847619,22519,22519
1499851196,22495,22495
1499854811,22544,22544
1499858424,22712,22712
1499862023,22883,22883
1499865725,22902,22902
1499869219,22894,22894
1499872826,22877,22877
1499876418,22885,22885
1499880042,22868,22868
1499883628,22870,22870
1499887219,22859,22859
1499890818,22865,22865
1499894432,22860,22860
1499898038,22871,22871
1499901749,22892,22892
1499905253,22888,22888
1499908837,22899,22899
1499912416,22841,22841
1499916015,22815,22815
1499919659,22806,22806
1499923235,22841,22841
1499926813,22841,22841
1499930418,22845,22845
1499934033,22832,22832
1499937646,22831,22831
1499941213,22819,22819
1499944812,22856,22856
1499948423,22871,22871
1499952052,22925,22925
1499955644,22922,22922
1499959220,22929,22929
1499962829,22937,22937
1499966436,22957,22957
1499970025,22928,22928
1499973757,22926,22926
1499977223,22919,22919
1499980814,22897,22897
1499984413,22866,22866
1499988031,22881,22881
1499991639,22932,22932
1499995215,22871,22871
1499998834,22870,22870
1500002443,22871,22871
1500006057,22894,22894
1500009637,22897,22897
1500023977,22860,22860
1500027607,22755,22755
1500031200,22746,22746
1500034886,22734,22734
1500038429,22744,22744
1500042007,22762,22762
1500045608,22778,22778
1500049211,22807,22807
1500052836,22810,22810
1500056413,22805,22805
1500060110,22801,22801
1500063612,22800,22800
1500067209,22805,22805
1500070808,22788,22788
1500074420,22768,22768
1500078026,22731,22731
1500081607,22729,22729
1500085205,22747,22747
1500088813,22744,22744
1500092425,22706,22706
1500096010,22695,22695
1500099602,22702,22702
1500103203,22692,22692
1500106817,22660,22660
1500110410,22633,22633
1500113999,22592,22592
1500117597,22584,22584
1500121205,22528,22528
1500124807,22533,22533
1500128397,22514,22514
1500131994,22503,22503
1500135598,22497,22497
1500139205,22490,22490
1500142798,22509,22509
1500146501,22531,22531
1500153590,22510,22510
1500157191,22491,22491
1500160794,22465,22465
1500164418,22428,22428
1500167994,22400,22400
1500171585,22349,22349
1500175184,22316,22316
1500178802,22274,22274
1500182392,22247,22247
1500185977,22218,22218
1500189577,22189,22189
1500193185,22174,22174
1500196787,22153,22153
1500200375,22163,22163
1500203972,22136,22136
1500207578,22121,22121
1500211185,22096,22096
1500214777,22079,22079
1500218370,22041,22041
1500221973,22019,22019
1500225585,21994,21994
1500229177,21972,21972
1500232768,21985,21985
1500236368,21976,21976
1500239979,21972,21972
1500243575,21954,21954
1500247170,21934,21934
1500250765,21904,21904
1500254370,21876,21876
1500257974,21842,21842
1500261565,21801,21801
1500265161,21802,21802
1500268761,21783,21783
1500272366,21748,21748
1500275965,21730,21730
1500279558,21747,21747
1500283157,21752,21752
1500286764,21752,21752
1500290364,21717,21717
1500293954,21662,21662
1500297548,21512,21512
1500301173,21453,21453
1500304742,21458,21458
1500308339,21445,21445
1500311946,21422,21422
1500315569,21405,21405
1500319151,21376,21376
1500322744,21372,21372
1500326342,21346,21346
1500329956,21332,21332
1500333559,21336,21336
1500337144,21352,21352
1500340741,21328,21328
1500344345,21311,21311
1500347956,21298,21298
1500351545,21296,21296
1500355138,21291,21291
1500358742,21311,21311
1500362353,21306,21306
1500365946,21296,21296
1500369539,21276,21276
1500373137,21256,21256
1500376744,21235,21235
1500380346,21202,21202
1500384028,21095,21095
1500387539,20761,20761
1500391108,20656,20656
1500394741,20629,20629
1500398302,20602,20602
1500401903,20563,20563
1500405587,20561,20561
1500409114,20549,20549
1500412699,20508,20508
1500416300,20479,20479
1500419901,20470,20470
1500423530,20487,20487
1500427106,20484,20484
1500430694,20460,20460
1500434297,20451,20451
1500437912,20427,20427
1500441501,20416,20416
1500445090,20397,20397
1500448692,20373,20373
1500452305,20342,20342
1500455904,20330,20330
1500459487,20230,20230
1500463068,19918,19918
1500466656,19565,19565
1500470260,19471,19471
1500473853,19461,19461
1500477445,19456,19456
1500481048,19435,19435
1500484657,19436,19436
1500488253,19429,19429
1500491848,19410,19410
1500495447,19400,19400
1500499054,19424,19424
1500502655,19405,19405
1500506250,19394,19394
1500509844,19378,19378
1500513499,19367,19367
1500517041,19349,19349
1500520653,19356,19356
1500524245,19346,19346
1500527861,19325,19325
1500531445,19320,19320
1500535039,19316,19316
1500538637,19297,19297
1500542250,19287,19287
1500545850,19282,19282
1500549439,19227,19227
1500553032,19175,19175
1500556633,19121,19121
1500560266,19145,19145
1500563832,19117,19117
1500567427,19082,19082
1500571022,19026,19026
1500574643,18988,18988
1500578255,18948,18948
1500581820,18911,18911
1500585416,18891,18891
1500589017,18868,18868
1500592637,18897,18897
1500596224,18856,18856
1500599816,18887,18887
1500603417,18869,18869
1500607029,18882,18882
1500610633,18859,18859
1500614213,18834,18834
1500617811,18832,18832
1500621422,18865,18865
1500625033,18888,18888
1500628626,18911,18911
1500632217,18892,18892
1500635818,18882,18882
1500639430,18874,18874
1500643024,18868,18868
1500646616,18817,18817
1500650212,18773,18773
1500653819,18727,18727
1500657420,18716,18716
1500661010,18673,18673
1500664609,18679,18679
1500668212,18660,18660
1500671816,18636,18636
1500675410,18617,18617
1500679003,18589,18589
1500682608,18591,18591
1500686221,18597,18597
1500689807,18574,18574
1500693402,18559,18559
1500697002,18540,18540
1500700603,18515,18515
1500704206,18480,18480
1500707800,18463,18463
1500711396,18468,18468
1500715000,18459,18459
1500718607,18439,18439
1500722196,18427,18427
1500725794,18418,18418
1500729425,18401,18401
1500732990,18394,18394
1500736591,18384,18384
1500740187,18378,18378
1500743810,18344,18344
1500747393,18316,18316
1500750986,18258,18258
1500754581,18245,18245
1500758198,18259,18259
1500761802,18274,18274
1500765389,18282,18282
1500768986,18278,18278
1500772596,18282,18282
1500776200,18284,18284
1500779936,18294,18294
1500783386,18312,18312
1500786988,18311,18311
1500790604,18328,18328
1500794206,18337,18337
1500797802,18326,18326
1500801403,18337,18337
1500805014,18342,18342
1500808613,18335,18335
1500812181,18319,18319
1500815763,18316,18316
1500819401,18328,18328
1500823000,18327,18327
1500826592,18328,18328
1500830218,18332,18332
1500833819,18302,18302
1500837381,18259,18259
1500840979,18214,18214
1500844578,18185,18185
1500848218,18155,18155
1500851773,18131,18131
1500855372,18105,18105
1500858973,18056,18056
1500862586,18019,18019
1500866173,17991,17991
1500869766,17946,17946
1500873363,17911,17911
1500876972,17874,17874
1500880573,17825,17825
1500884156,17759,17759
1500887748,17685,17685
1500891354,17627,17627
1500894962,17605,17605
1500898547,17542,17542
1500902144,17480,17480
1500905742,17414,17414
1500909349,17332,17332
1500912940,17289,17289
1500916528,17231,17231
1500920125,17166,17166
1500923751,17098,17098
1500927315,17022,17022
1500930914,16958,16958
1500934510,16896,16896
1500938127,16816,16816
1500941708,16724,16724
1500945299,16653,16653
1500948896,16620,16620
1500952504,16561,16561
1500956101,16513,16513
1500959689,16452,16452
1500963284,16360,16360
1500966884,16294,16294
1500970488,16213,16213
1500974074,16141,16141
1500977668,16069,16069
1500981266,15994,15994
1500984876,15928,15928
1500988470,15859,15859
1500992055,15777,15777
1500995653,15696,15696
1500999254,15644,15644
1501002857,15593,15593
1501006446,15538,15538
1501010045,15470,15470
1501013639,15381,15381
1501017243,15328,15328
1501020832,15264,15264
1501024428,15188,15188
1501028027,15111,15111
1501031635,15039,15039
1501035218,14976,14976
1501038840,14908,14908
1501042407,14851,14851
1501046076,14788,14788
1501049630,14713,14713
1501053199,14651,14651
1501056822,14600,14600
1501060393,14529,14529
1501063989,14453,14453
1501067594,14491,14491
1501071204,14428,14428
1501074815,14377,14377
1501078382,14307,14307
1501081978,14242,14242
1501085574,14168,14168
1501089189,14099,14099
1501092776,14040,14040
1501096365,13994,13994
1501099966,13918,13918
1501103569,13838,13838
1501107167,13785,13785
1501110752,13710,13710
1501114354,13644,13644
1501117955,13571,13571
1501121555,13490,13490
1501125143,13414,13414
1501128735,13342,13342
1501132331,13278,13278
1501135935,13212,13212
1501139530,13148,13148
1501143124,13060,13060
1501146717,12988,12988
1501150320,12928,12928
1501153916,12853,12853
1501157508,12769,12769
1501161103,12678,12678
1501164699,12561,12561
1501168300,12482,12482
1501171894,12413,12413
1501175487,12344,12344
1501179086,12281,12281
1501182703,12193,12193
1501186277,12135,12135
1501189935,12090,12090
1501193469,12026,12026
1501197077,11923,11923
1501200665,11823,11823
1501204253,11720,11720
1501207848,11636,11636
1501211452,11542,11542
1501215049,11467,11467
1501218639,11398,11398
1501222233,11327,11327
1501225829,11247,11247
1501229436,11181,11181
1501233026,11125,11125
1501236621,11051,11051
1501240217,10983,10983
1501243820,10909,10909
1501247412,10847,10847
1501251012,10839,10839
1501254610,10819,10819
1501258214,10800,10800
1501261812,10770,10770
1501265406,10751,10751
1501269005,10718,10718
1501272603,10689,10689
1501276207,10645,10645
1501279801,10623,10623
1501283417,10589,10589
1501286993,10534,10534
1501290589,10479,10479
1501294190,10428,10428
1501297795,10370,10370
1501301388,10324,10324
1501304979,10280,10280
1501308576,10230,10230
1501312183,10190,10190
1501315781,10114,10114
1501319373,10052,10052
1501322969,9986,9986
1501326566,9910,9910
1501330172,9913,9913
1501333772,10016,10016
1501337367,10042,10042
1501340971,10076,10076
1501344577,10072,10072
1501348173,10065,10065
1501351774,10051,10051
1501355371,10069,10069
1501358981,10095,10095
1501362579,10129,10129
1501366179,10158,10158
1501369784,10185,10185
1501373385,10240,10240
1501376996,10308,10308
1501380591,10349,10349
1501384192,10373,10373
1501387795,10444,10444
1501391398,10447,10447
1501394998,10458,10458
1501398595,10443,10443
1501402194,10427,10427
1501405794,10386,10386
1501409391,10354,10354
1501412990,10343,10343
1501416588,10327,10327
1501420298,10307,10307
1501423793,10279,10279
1501427383,10270,10270
1501430980,10233,10233
1501434579,10205,10205
1501438194,10188,10188
1501441783,10175,10175
1501445381,10187,10187
1501448980,10188,10188
1501452589,10186,10186
1501456186,10172,10172
1501459782,10157,10157
1501463378,10124,10124
1501466982,10106,10106
1501470582,10088,10088
1501474177,10065,10065
1501477774,10053,10053
1501481376,10046,10046
1501484980,10040,10040
1501488576,10035,10035
1501492175,10040,10040
1501495774,10062,10062
1501499380,10069,10069
1501502979,10081,10081
1501506578,10089,10089
1501510178,10119,10119
1501513786,10131,10131
1501517383,10106,10106
1501520980,10082,10082
1501524576,10062,10062
1501528177,10042,10042
1501531783,10031,10031
1501535377,10020,10020
1501538975,10007,10007
1501542575,9993,9993
1501546177,9979,9979
1501549780,9967,9967
1501553373,9940,9940
1501556971,9922,9922
1501560570,9899,9899
1501564171,9892,9892
1501567769,9872,9872
1501571368,9851,9851
1501574968,9848,9848
1501578570,9876,9876
1501582169,9937,9937
1501585775,9995,9995
1501589376,10028,10028
1501592981,10071,10071
1501596581,10100,10100
1501600182,10118,10118
1501603785,10142,10142
1501607385,10169,10169
1501610990,10186,10186
1501614588,10208,10208
1501618190,10224,10224
1501621789,10232,10232
1501625392,10258,10258
1501628991,10277,10277
1501632592,10286,10286
1501636194,10300,10300
1501639792,10316,10316
