DateTime,Entries,UniqueIPs
1499786389,20123,20123
1499789990,20139,20139
1499793643,20156,20156
1499797204,20187,20187
1499800795,20164,20164
1499804393,20172,20172
1499808003,20157,20157
1499811601,20169,20169
1499815189,20165,20165
1499818786,20178,20178
1499822393,20172,20172
1499826000,20169,20169
1499829598,20181,20181
1499833192,20183,20183
1499836823,20175,20175
1499840432,20185,20185
1499844026,20194,20194
1499847597,20203,20203
1499851216,20182,20182
1499854831,20233,20233
1499858444,20405,20405
1499862044,20589,20589
1499865653,20605,20605
1499869240,20599,20599
1499872847,20579,20579
1499876444,20588,20588
1499880066,20580,20580
1499883648,20583,20583
1499887238,20573,20573
1499890838,20583,20583
1499894452,20587,20587
1499898058,20600,20600
1499901770,20619,20619
1499905230,20620,20620
1499908815,20634,20634
1499912436,20594,20594
1499916036,20571,20571
1499919639,20568,20568
1499923213,20597,20597
1499926833,20603,20603
1499930436,20609,20609
1499934054,20606,20606
1499937623,20614,20614
1499941234,20617,20617
1499944832,20649,20649
1499948444,20675,20675
1499952030,20723,20723
1499955623,20732,20732
1499959240,20744,20744
1499962850,20760,20760
1499966456,20792,20792
1499970046,20775,20775
1499973778,20784,20784
1499977244,20787,20787
1499980835,20776,20776
1499984434,20753,20753
1499988051,20769,20769
1499991659,20819,20819
1499995235,20767,20767
1499998815,20777,20777
1500002420,20785,20785
1500006035,20807,20807
1500009614,20811,20811
1500023857,20782,20782
1500027627,20625,20625
1500031220,20613,20613
1500034907,20603,20603
1500038449,20620,20620
1500042028,20645,20645
1500045628,20669,20669
1500049232,20708,20708
1500052857,20720,20720
1500056434,20726,20726
1500060131,20736,20736
1500063633,20751,20751
1500067229,20751,20751
1500070828,20743,20743
1500074441,20733,20733
1500078046,20697,20697
1500081628,20696,20696
1500085230,20718,20718
1500088836,20713,20713
1500092445,20683,20683
1500096031,20679,20679
1500099622,20690,20690
1500103224,20682,20682
1500106838,20655,20655
1500110431,20634,20634
1500114020,20593,20593
1500117618,20590,20590
1500121226,20546,20546
1500124828,20547,20547
1500128418,20527,20527
1500132017,20519,20519
1500135618,20512,20512
1500139227,20510,20510
1500142819,20497,20497
1500146521,20487,20487
1500153615,20473,20473
1500157215,20452,20452
1500160815,20433,20433
1500164438,20400,20400
1500168014,20376,20376
1500171608,20329,20329
1500175204,20293,20293
1500178822,20257,20257
1500182413,20240,20240
1500185997,20216,20216
1500189603,20190,20190
1500193209,20178,20178
1500196807,20164,20164
1500200395,20178,20178
1500203996,20168,20168
1500207601,20155,20155
1500211206,20133,20133
1500214797,20119,20119
1500218389,20088,20088
1500221997,20081,20081
1500225607,20069,20069
1500229205,20050,20050
1500232801,20060,20060
1500236403,20050,20050
1500240013,20057,20057
1500243608,20049,20049
1500247200,20043,20043
1500250793,20017,20017
1500254397,19999,19999
1500258000,19970,19970
1500261588,19937,19937
1500265186,19937,19937
1500268785,19914,19914
1500272391,19889,19889
1500275988,19875,19875
1500279579,19896,19896
1500283186,19901,19901
1500286790,19902,19902
1500290393,19876,19876
1500293982,19833,19833
1500297571,19687,19687
1500301193,19629,19629
1500304771,19639,19639
1500308360,19634,19634
1500311972,19617,19617
1500315605,19613,19613
1500319189,19596,19596
1500322783,19588,19588
1500326383,19559,19559
1500329999,19542,19542
1500333593,19539,19539
1500337187,19563,19563
1500340773,19543,19543
1500344382,19527,19527
1500347987,19522,19522
1500351577,19526,19526
1500355171,19529,19529
1500358773,19548,19548
1500362386,19544,19544
1500365981,19537,19537
1500369572,19520,19520
1500373173,19506,19506
1500376779,19497,19497
1500380377,19469,19469
1500384085,19273,19273
1500387570,19033,19033
1500391147,18938,18938
1500394790,18913,18913
1500398361,18892,18892
1500401959,18857,18857
1500405644,18861,18861
1500409167,18852,18852
1500412751,18814,18814
1500416350,18794,18794
1500419949,18791,18791
1500423572,18812,18812
1500427143,18803,18803
1500430736,18780,18780
1500434339,18769,18769
1500437958,18755,18755
1500441545,18748,18748
1500445132,18732,18732
1500448743,18711,18711
1500452354,18688,18688
1500455957,18680,18680
1500459537,18582,18582
1500463119,18273,18273
1500466690,17930,17930
1500470310,17846,17846
1500473894,17842,17842
1500477497,17830,17830
1500481100,17818,17818
1500484705,17818,17818
1500488298,17818,17818
1500491896,17806,17806
1500495492,17792,17792
1500499102,17810,17810
1500502703,17796,17796
1500506289,17779,17779
1500509889,17771,17771
1500513525,17765,17765
1500517071,17751,17751
1500520687,17758,17758
1500524275,17743,17743
1500527893,17722,17722
1500531487,17727,17727
1500535091,17730,17730
1500538687,17710,17710
1500542300,17706,17706
1500545895,17700,17700
1500549488,17649,17649
1500553081,17597,17597
1500556681,17545,17545
1500560304,17559,17559
1500563872,17535,17535
1500567464,17505,17505
1500571069,17451,17451
1500574679,17416,17416
1500578282,17381,17381
1500581873,17341,17341
1500585479,17325,17325
1500589080,17300,17300
1500592698,17332,17332
1500596282,17295,17295
1500599880,17328,17328
1500603477,17310,17310
1500607084,17329,17329
1500610675,17308,17308
1500614263,17286,17286
1500617867,17294,17294
1500621476,17354,17354
1500625083,17403,17403
1500628676,17451,17451
1500632266,17434,17434
1500635871,17434,17434
1500639484,17426,17426
1500643070,17419,17419
1500646667,17369,17369
1500650260,17320,17320
1500653872,17272,17272
1500657481,17255,17255
1500661066,17214,17214
1500664671,17213,17213
1500668267,17190,17190
1500671868,17166,17166
1500675460,17150,17150
1500679056,17120,17120
1500682657,17117,17117
1500686267,17122,17122
1500689854,17097,17097
1500693449,17083,17083
1500697053,17064,17064
1500700663,17032,17032
1500704253,16997,16997
1500707854,16981,16981
1500711451,16985,16985
1500715055,16974,16974
1500718658,16952,16952
1500722252,16932,16932
1500725848,16925,16925
1500729473,16917,16917
1500733047,16916,16916
1500736638,16898,16898
1500740238,16888,16888
1500743859,16857,16857
1500747444,16856,16856
1500751037,16827,16827
1500754639,16826,16826
1500758255,16836,16836
1500761852,16849,16849
1500765439,16853,16853
1500769040,16846,16846
1500772652,16851,16851
1500776254,16851,16851
1500779953,16857,16857
1500783442,16871,16871
1500787049,16870,16870
1500790662,16887,16887
1500794259,16897,16897
1500797856,16889,16889
1500801456,16896,16896
1500805070,16898,16898
1500808665,16882,16882
1500812242,16864,16864
1500815829,16859,16859
1500819503,16874,16874
1500823084,16877,16877
1500826653,16873,16873
1500830270,16873,16873
1500833868,16841,16841
1500837445,16806,16806
1500841043,16766,16766
1500844640,16739,16739
1500848262,16705,16705
1500851829,16680,16680
1500855427,16647,16647
1500859031,16593,16593
1500862721,16558,16558
1500866236,16528,16528
1500869822,16481,16481
1500873431,16444,16444
1500877027,16403,16403
1500880620,16357,16357
1500884208,16295,16295
1500887808,16220,16220
1500891413,16162,16162
1500895021,16132,16132
1500898604,16063,16063
1500902203,16002,16002
1500905799,15937,15937
1500909404,15856,15856
1500912985,15806,15806
1500916580,15747,15747
1500920183,15679,15679
1500923793,15612,15612
1500927369,15535,15535
1500930968,15472,15472
1500934564,15410,15410
1500938178,15338,15338
1500941761,15249,15249
1500945351,15181,15181
1500948951,15148,15148
1500952559,15084,15084
1500956153,15033,15033
1500959746,14973,14973
1500963332,14876,14876
1500966951,14811,14811
1500970553,14735,14735
1500974136,14655,14655
1500977730,14579,14579
1500981321,14503,14503
1500984941,14436,14436
1500988522,14364,14364
1500992122,14283,14283
1500995720,14208,14208
1500999326,14158,14158
1501002927,14103,14103
1501006517,14034,14034
1501010115,13957,13957
1501013716,13869,13869
