DateTime,Entries,UniqueIPs
1499684466,591,591
1499688076,594,594
1499691656,597,597
1499695268,597,597
1499698871,596,596
1499702465,596,596
1499706069,599,599
1499709664,598,598
1499713265,585,585
1499716855,553,553
1499720461,516,516
1499724057,511,511
1499727666,512,512
1499731262,513,513
1499734862,514,514
1499738488,513,513
1499742056,513,513
1499745679,513,513
1499752874,513,513
1499756476,513,513
1499760065,509,509
1499763690,515,515
1499767287,515,515
1499770859,512,512
1499774461,508,508
1499778061,507,507
1499781681,506,506
1499785256,506,506
1499788878,507,507
1499792477,503,503
1499796072,503,503
1499799663,503,503
1499803261,501,501
1499806860,501,501
1499810475,500,500
1499814069,498,498
1499817667,500,500
1499821261,497,497
1499824873,498,498
1499828457,497,497
1499832066,496,496
1499835652,495,495
1499839256,494,494
1499842854,494,494
1499846460,495,495
1499850053,494,494
1499853656,490,490
1499857257,489,489
1499860851,491,491
1499864551,487,487
1499868050,489,489
1499875264,488,488
1499878850,488,488
1499882472,492,492
1499886098,497,497
1499889690,494,494
1499893282,495,495
1499896871,495,495
1499900473,495,495
1499904055,495,495
1499907664,495,495
1499911280,498,498
1499914862,499,499
1499918486,499,499
1499925674,501,501
1499929274,500,500
1499932884,502,502
1499936497,503,503
1499940072,504,504
1499947287,508,508
1499950892,510,510
1499954495,511,511
1499958087,511,511
1499961666,506,506
1499965285,484,484
1499968868,483,483
1499972475,485,485
1499976073,485,485
1499979661,484,484
1499983275,487,487
1499986869,486,486
1499994070,487,487
1499997677,488,488
1500001297,489,489
1500008498,490,490
1500022847,487,487
1500026446,482,482
1500030051,479,479
1500033644,481,481
1500037254,482,482
1500040851,480,480
1500044445,478,478
1500048055,477,477
1500051646,476,476
1500055247,479,479
1500058847,477,477
1500062447,475,475
1500066049,474,474
1500069644,474,474
1500073244,472,472
1500076848,474,474
1500084052,474,474
1500091257,476,476
1500094847,477,477
1500098447,478,478
1500102046,479,479
1500105647,479,479
1500112848,480,480
1500116455,477,477
1500120062,474,474
1500123664,474,474
1500127262,439,439
1500130867,439,439
1500134478,433,433
1500138072,430,430
1500141689,431,431
1500145273,434,434
1500148882,433,433
1500152465,432,432
1500156070,430,430
1500163266,429,429
1500181260,429,429
1500184863,427,427
1500188458,426,426
1500192058,426,426
1500195671,428,428
1500199263,429,429
1500202879,427,427
1500206469,426,426
1500210068,428,428
1500213665,425,425
1500217286,424,424
1500220866,425,425
1500224464,425,425
1500228059,425,425
1500231666,426,426
1500235252,428,428
1500238867,430,430
1500242467,432,432
1500246064,433,433
1500249667,430,430
1500253265,432,432
1500256874,431,431
1500260471,431,431
1500264067,426,426
1500267667,428,428
1500271277,425,425
1500274869,426,426
1500278465,429,429
1500282062,428,428
1500285664,428,428
1500289261,431,431
1500292861,467,467
1500296469,475,475
1500300067,475,475
1500303672,474,474
1500310868,477,477
1500314471,475,475
1500318060,473,473
1500321668,473,473
1500325254,475,475
1500328870,474,474
1500332462,473,473
1500336067,476,476
1500339656,474,474
1500343262,475,475
1500346863,475,475
1500354082,480,480
1500357672,480,480
1500361262,482,482
1500364859,483,483
1500368473,479,479
1500372059,475,475
1500375661,476,476
1500379279,476,476
1500382862,476,476
1500386464,474,474
1500390072,473,473
1500393652,470,470
1500397260,472,472
1500400853,473,473
1500404468,473,473
1500408060,472,472
1500411664,469,469
1500415258,467,467
1500418866,467,467
1500422463,467,467
1500426057,468,468
1500429666,467,467
1500433262,467,467
1500436869,467,467
1500440469,466,466
1500444066,467,467
1500447675,467,467
1500451255,468,468
1500454854,469,469
1500462083,470,470
1500465692,471,471
1500469269,473,473
1500476464,469,469
1500480059,469,469
1500483682,467,467
1500487266,465,465
1500490861,460,460
1500494480,462,462
1500498085,463,463
1500501682,463,463
1500505297,465,465
1500508890,464,464
1500512484,463,463
1500516097,460,460
1500519692,457,457
1500523295,456,456
1500526895,457,457
1500530483,456,456
1500534081,457,457
1500537691,456,456
1500541293,451,451
1500544875,449,449
1500548494,451,451
1500552087,454,454
1500555686,453,453
1500559281,451,451
1500562896,450,450
1500566488,450,450
1500570081,454,454
1500573688,456,456
1500577293,454,454
1500580866,457,457
1500584469,456,456
1500588066,453,453
1500591662,452,452
1500595262,453,453
1500602489,451,451
1500606073,450,450
1500609674,452,452
1500613282,451,451
1500616856,451,451
1500620455,451,451
1500624064,454,454
1500627664,454,454
1500631256,458,458
1500634859,459,459
1500638468,460,460
1500642065,460,460
1500645658,459,459
1500649264,460,460
1500652864,463,463
1500656463,468,468
1500660057,470,470
1500663661,469,469
1500667269,468,468
1500670856,465,465
1500674476,465,465
1500678057,463,463
1500685267,463,463
1500688879,462,462
1500692478,465,465
1500699656,462,462
1500703262,462,462
1500706860,463,463
1500710464,463,463
1500714066,461,461
1500717664,459,459
1500721261,457,457
1500724856,456,456
1500732061,461,461
1500735668,458,458
1500739269,456,456
1500742861,455,455
1500746459,455,455
1500750056,455,455
1500753659,458,458
1500757261,459,459
1500760875,460,460
1500764456,460,460
1500768082,463,463
1500771660,464,464
1500782467,465,465
1500786058,466,466
1500789665,468,468
1500793249,470,470
1500796845,469,469
1500800449,469,469
1500804044,442,442
1500807644,442,442
1500811245,442,442
1500814847,443,443
1500818445,441,441
1500822039,440,440
1500825639,438,438
1500829259,437,437
1500832856,437,437
1500840037,434,434
1500843638,435,435
1500847238,434,434
1500850856,432,432
1500854452,431,431
1500858037,429,429
1500861645,431,431
1500865247,429,429
1500868846,431,431
1500872449,431,431
1500879657,432,432
1500883241,429,429
1500886841,429,429
1500890440,425,425
1500894047,422,422
1500897640,387,387
1500901240,380,380
1500904857,380,380
1500908440,381,381
1500912039,381,381
1500915641,377,377
1500919240,378,378
1500922855,377,377
1500926453,377,377
1500930045,373,373
1500933644,374,374
1500937241,377,377
1500940842,377,377
1500944439,378,378
1500948043,378,378
1500951639,377,377
1500958843,375,375
1500962442,374,374
1500966048,375,375
1500969654,375,375
1500973246,375,375
1500976855,378,378
1500980444,379,379
1500984042,379,379
1500987642,380,380
1500991243,380,380
1500994846,380,380
1500998443,382,382
1501002050,380,380
1501005642,378,378
1501009239,377,377
1501012840,376,376
1501016441,375,375
1501020043,378,378
1501023639,377,377
1501027238,377,377
1501030856,374,374
1501038059,376,376
1501041667,378,378
1501045257,380,380
1501048840,379,379
1501052439,378,378
1501056040,378,378
1501059657,379,379
1501063257,376,376
1501066839,373,373
1501070461,373,373
1501077653,382,382
1501081254,405,405
1501084842,419,419
1501088466,427,427
1501092043,433,433
1501095646,433,433
1501099243,436,436
1501102856,436,436
1501106456,438,438
1501110058,437,437
1501113647,436,436
1501117245,438,438
1501120858,437,437
1501124446,438,438
1501128057,440,440
1501131643,439,439
1501135244,439,439
1501138846,440,440
1501142444,441,441
1501146057,440,440
