DateTime,Entries,UniqueIPs
1499953923,6824,6824
1499957764,6819,6819
1499961843,6822,6822
1499963762,6823,6823
1499978643,6818,6818
1499982483,6801,6801
1499985126,6772,6772
1499988962,6796,6796
1499992803,6779,6779
1499998564,6773,6773
1500000483,6755,6755
1500006244,6732,6732
1500008164,6733,6733
1500012009,6751,6751
1500013924,6778,6778
1500017763,6753,6753
1500021605,6780,6780
1500025444,6780,6780
1500029285,6796,6796
1500033123,6796,6796
1500036965,6799,6799
1500040812,6812,6812
1500044644,6820,6820
1500046803,6820,6820
1500050643,6833,6833
1500054482,6859,6859
1500058322,6837,6837
1500062163,6831,6831
1500067922,3476,3476
1500070084,6789,6789
1500072005,6776,6776
1500075842,6758,6758
1500079683,6741,6741
1500083765,6741,6741
1500087609,6727,6727
1500089524,6726,6726
1500093362,6720,6720
1500099363,6732,6732
1500101283,6748,6748
1500107284,6756,6756
1500109212,6759,6759
1500111123,6773,6773
1500116882,6793,6793
1500118803,6785,6785
1500122643,6797,6797
1500126482,6810,6810
1500132484,6811,6811
1500134406,6795,6795
1500138243,6800,6800
1500140163,6804,6804
1500144004,6808,6808
1500149763,6803,6803
1500151682,6800,6800
1500155522,6779,6779
1500159366,6762,6762
1500163208,6752,6752
1500165123,6731,6731
1500169202,6730,6730
1500173042,6714,6714
1500174962,6730,6730
1500176882,6713,6713
1500180722,6692,6692
1500184562,6714,6714
1500188405,6726,6726
1500190323,6734,6734
1500194162,6739,6739
1500198004,6737,6737
1500202082,6766,6766
1500204002,6692,6692
1500205923,6766,6766
1500208084,6778,6778
1500210005,6775,6775
1500213844,6800,6800
1500215763,6805,6805
1500219602,6803,6803
1500223443,6809,6809
1500227284,6801,6801
1500231122,6793,6793
1500234964,6779,6779
1500238804,6766,6766
1500240722,6741,6741
1500245283,6716,6716
1500249123,6729,6729
1500254883,6715,6715
1500256807,6696,6696
1500258723,6678,6678
1500262562,6664,6664
1500266403,6673,6673
1500270242,6696,6696
1500274082,6687,6687
1500277922,6703,6703
1500282005,6711,6711
1500283923,6725,6725
1500287762,6734,6734
1500289682,6725,6725
1500291845,6734,6734
1500293764,6727,6727
1500297602,6754,6754
1500305522,6760,6760
1500309362,6767,6767
1500313204,6786,6786
1500317042,6795,6795
1500320882,6777,6777
1500324722,6779,6779
1500328564,6748,6748
1500330725,6706,6706
1500334562,6717,6717
1500338405,6702,6702
1500342244,6708,6708
1500344163,6702,6702
1500346084,6687,6687
1500349923,6688,6688
1500351842,6760,6760
1500353764,6685,6685
1500357612,6711,6711
1500359522,6712,6712
1500363362,6720,6720
1500367203,6736,6736
1500371042,6732,6732
1500375122,6737,6737
1500379207,6741,6741
1500381124,6745,6745
1500384963,6765,6765
1500388804,6762,6762
1500392642,6764,6764
1500398644,6749,6749
1500400563,6753,6753
1500403203,6761,6761
1500407043,6768,6768
1500410882,6762,6762
1500414722,6742,6742
1500418563,6726,6726
1500422406,6734,6734
1500426242,6717,6717
1500430082,6724,6724
1500434402,6707,6707
1500436322,6686,6686
1500442083,6697,6697
1500444006,6719,6719
1500445922,6723,6723
1500447843,6719,6719
1500449762,6745,6745
1500453603,6757,6757
1500457443,6754,6754
1500461283,6753,6753
1500467054,6754,6754
1500468964,6749,6749
1500472807,6761,6761
1500474963,6776,6776
1500478804,6764,6764
1500482643,6758,6758
1500486483,6750,6750
1500490323,6741,6741
1500494163,6750,6750
1500496082,6748,6748
1500498012,6733,6733
1500499922,6720,6720
1500504003,6678,6678
1500507842,6694,6694
1500511682,6678,6678
1500517443,6678,6678
1500519363,6694,6694
1500521523,6720,6720
1500523443,6658,6658
1500527283,6638,6638
1500529202,6660,6660
1500533042,6654,6654
1500536882,6663,6663
1500538802,6677,6677
1500544563,6678,6678
1500548405,6702,6702
1500550322,6711,6711
1500554162,6709,6709
1500558004,6705,6705
1500561842,6698,6698
1500565683,6722,6722
1500569523,6728,6728
1500571443,6698,6698
1500573608,6736,6736
1500576243,6707,6707
1500580083,6710,6710
1500583922,6706,6706
1500587763,6693,6693
1500591609,6669,6669
1500593522,6667,6667
1500597603,6669,6669
1500603363,6680,6680
1500605283,6662,6662
1500607202,6680,6680
1500609123,6662,6662
1500611043,6643,6643
1500612963,6653,6653
