DateTime,Entries,UniqueIPs
1497816009,302288,311878
1497824709,302287,311877
1497826209,302286,311876
1497841511,302285,311875
1497871515,302284,311874
1497878714,302283,311873
1497879009,302282,311872
1497897309,302281,311871
1497900609,302285,311875
1497901212,302293,311883
1497901510,302296,311886
1497901809,302302,311892
1497902711,302304,311894
1497903309,302305,311895
1497903610,302324,311914
1497907811,302336,311926
1497908409,302345,311935
1497909609,302354,311944
1497909913,302356,311946
1497911709,302358,311948
1497912010,302359,311949
1497924910,302358,311948
1497937210,302357,311947
1497968409,302355,311945
1497974709,302354,311944
1497982508,302353,311943
1497984009,302352,311942
1497987009,302351,311941
1498014909,302351,311940
1498027810,302350,311939
1498031710,302349,311938
1498032010,302347,311936
1498032310,302346,311935
1498056610,302345,311934
1498068311,302344,311933
1498089309,302343,311932
1498096509,302343,311931
1498107609,302341,311929
1498108209,302340,311928
1498113308,302339,311927
1498153211,302338,311926
1498165810,302337,311925
1498167608,302336,311924
1498170909,302335,311923
1498177809,302334,311922
1498197609,302333,311921
1498210208,302332,311920
1498220410,302331,311919
1498233609,302330,311918
1498242312,302329,311917
1498249809,302328,311916
1498270809,302327,311915
1498276209,302326,311914
1498278909,302326,311913
1498311609,302325,311912
1498315209,302324,311911
1498315509,302322,311909
1498316109,302321,311908
1498316709,302320,311907
1498341009,302319,311906
1498370109,302318,311905
1498370410,302317,311904
1498419609,302344,311931
1498420809,302359,311946
1498421410,302360,311947
1498422314,302384,311971
1498423209,302385,311972
1498424409,302384,311971
1498424709,302385,311972
1498425309,302386,311973
1498425916,302387,311974
1498426209,302386,311973
1498428609,302386,311972
1498450210,302385,311971
1498478709,302384,311970
1498491010,302383,311969
1498496409,302382,311968
1498500009,302381,311967
1498506609,302379,311965
1498507809,302378,311964
1498509309,302377,311963
1498514409,302376,311962
1498545909,302375,311961
1498546208,302374,311960
1498547109,302373,311959
1498553409,302372,311958
1498557310,302371,311957
1498572309,302370,311956
1498578609,302369,311955
1498581610,302368,311954
1498589110,302367,311953
1498593609,302366,311952
1498596310,302365,311951
1498602009,302411,311997
1498602609,302436,312024
1498602909,302461,312049
1498603209,302484,312074
1498603809,302491,312083
1498657809,302490,312082
1498671911,302489,312081
1498685112,302488,312080
1498707610,302487,312079
1498725009,302486,312078
1498726810,302485,312077
1498733710,302484,312076
1498750208,302483,312075
1498771809,302482,312074
1498813209,302481,312073
1498824610,302480,312072
1498831509,302479,312071
1498836010,302478,312070
1498862409,302477,312069
1498863609,302476,312068
1498866310,302475,312067
1498867209,302476,312068
1498867509,302493,312086
1498868410,302494,312087
1498893010,302493,312086
1498898110,302492,312085
1498906509,302491,312084
1498910109,302490,312083
1498910409,302486,312079
1498910709,302483,312076
1498931409,302482,312075
1498977909,302481,312074
1498986611,302481,312073
1498992910,302480,312072
1499003709,302479,312071
1499044209,302515,312107
1499061909,302514,312106
1499065809,302514,312105
1499073610,302513,312104
1499101509,302512,312103
1499102409,302520,312111
1499103910,302530,312121
1499104209,302538,312129
1499105109,302537,312128
1499107809,302539,312130
1499108109,302540,312131
1499108409,302539,312130
1499111110,302538,312129
1499112309,302579,312172
1499118309,302580,312173
1499118609,302601,312194
1499144109,302604,312197
1499144410,302607,312200
1499144709,302608,312201
1499145010,302615,312208
1499160009,302614,312207
1499190310,302611,312204
1499190611,302609,312202
1499190909,302607,312200
1499191209,302605,312198
1499191810,302604,312197
1499192709,302603,312196
1499194809,302624,312217
1499195410,302636,312229
1499196610,302664,312257
1499199013,302676,312270
1499199609,302675,312269
1499200510,302676,312270
1499201409,302673,312267
1499233810,302672,312266
1499237110,302671,312265
1499250609,302671,312264
1499255409,302670,312263
1499270709,302669,312262
1499282715,302668,312261
1499285410,302667,312260
1499307011,302666,312259
1499313610,302665,312258
1499335510,302664,312257
1499346009,302663,312256
1499354109,302662,312255
1499354718,302661,312254
1499358010,302660,312253
1499360409,302659,312252
1499360709,302658,312251
1499363409,302657,312250
1499401810,302656,312249
1499415309,302655,312248
1499418009,302654,312247
1499430311,302653,312246
1499453409,302650,312243
1499459410,302648,312241
1499459710,302647,312240
1499477410,302646,312239
1499505010,302645,312238
1499524811,302644,312237
1499529011,302643,312236
1499530209,302642,312235
1499545210,302640,312233
1499545512,302637,312230
1499545810,302635,312228
1499546110,302633,312226
1499563513,302632,312225
1499573709,302631,312224
1499608810,302630,312223
1499676010,302648,312241
1499678109,302647,312240
1499678409,302662,312255
1499678713,302661,312254
1499682910,302671,312264
1499706010,302670,312263
1499710209,302669,312262
1499715610,302668,312261
1499725210,302667,312260
1499725510,302666,312259
1499725810,302665,312258
1499726410,302664,312257
1499726709,302663,312256
1499729111,302662,312255
1499729710,302662,312254
1499730610,302661,312253
1499732409,302660,312252
1499735710,302659,312251
1499736610,302658,312250
1499736910,302657,312249
1499737510,302656,312248
1499738413,302655,312247
1499738710,302653,312245
1499739609,302652,312244
1499740510,302650,312242
1499741110,302649,312241
1499742010,302648,312240
1499742310,302647,312239
1499743810,302646,312238
1499745610,302645,312237
1499746209,302644,312236
1499746810,302643,312235
1499747114,302642,312234
1499747709,302641,312233
1499749210,302640,312232
1499750410,302639,312231
1499750719,302638,312230
1499751010,302637,312229
1499751309,302636,312228
1499751910,302635,312227
1499765709,302634,312226
1499778009,302633,312225
1499785509,302632,312224
1499790009,302631,312223
1499793310,302630,312222
1499793910,302629,312221
1499804711,302628,312220
1499805310,302625,312217
1499806509,302623,312215
1499807110,302622,312214
1499807709,302621,312213
1499809210,302618,312210
1499809509,302617,312209
1499810109,302616,312208
1499810410,302615,312207
1499811910,302612,312204
1499812509,302611,312203
1499813111,302609,312201
1499813409,302608,312200
1499814009,302605,312197
1499814311,302603,312195
1499814610,302602,312194
1499814909,302601,312193
1499815210,302600,312192
1499815519,302599,312191
1499815810,302597,312189
1499816109,302595,312187
1499816410,302594,312186
1499816711,302593,312185
1499817010,302592,312184
1499823310,302591,312183
1499824810,302637,312229
1499830509,302636,312228
1499833512,302635,312227
1499835011,302634,312226
1499837710,302633,312225
1499838009,302631,312223
1499853009,302630,312222
1499855111,302629,312221
1499856010,302628,312220
1499861410,302627,312219
1499870109,302626,312218
1499870410,302624,312216
1499870710,302622,312214
1499871310,302621,312213
1499871911,302620,312212
1499872509,302618,312210
1499873410,302617,312209
1499873709,302616,312208
1499874309,302615,312207
1499874610,302614,312206
1499875209,302613,312205
1499875811,302612,312204
1499876110,302611,312203
1499877011,302610,312202
1499877910,302609,312201
1499878209,302608,312200
1499879412,302607,312199
1499880610,302603,312195
1499880909,302601,312193
1499881210,302598,312190
1499881511,302597,312189
1499881810,302595,312187
1499882109,302594,312186
1499882409,302593,312185
1499882710,302591,312183
1499883010,302590,312182
1499883610,302588,312180
1499883915,302586,312178
1499884211,302585,312177
1499884509,302582,312174
1499884809,302580,312172
1499885409,302579,312171
1499885710,302578,312170
1499893810,302577,312169
1499895310,302576,312168
1499895610,302575,312167
1499895911,302574,312166
1499896510,302572,312164
1499896810,302570,312162
1499898010,302569,312161
1499898310,302568,312160
1499899211,302567,312159
1499899510,302566,312158
1499905811,302565,312157
1499939411,302564,312156
1499940009,302563,312155
1499940310,302562,312154
1499940611,302561,312153
1499941210,302559,312151
1499942110,302557,312149
1499942410,302556,312148
1499943010,302555,312147
1499964609,302554,312146
1499964910,302553,312145
1499965809,302552,312144
1499966109,302551,312143
1499969710,302550,312142
1499970010,302549,312141
1499970313,302548,312140
1499973010,302547,312139
1499975109,302556,312148
1499975409,302583,312175
1499976609,302588,312180
1499977809,302587,312179
1499980210,302594,312186
1500001209,302593,312185
1500003310,302592,312184
1500028509,302607,312199
1500028811,302616,312208
1500029710,302627,312219
1500052210,302626,312218
1500094509,302625,312217
1500137109,302624,312216
1500157810,302623,312215
1500158410,302622,312214
1500160509,302621,312213
1500161710,302620,312212
1500162311,302619,312211
1500162609,302617,312209
1500162909,302615,312207
1500163210,302614,312206
1500164410,302613,312205
1500164710,302612,312204
1500165011,302611,312203
1500175519,302610,312202
1500178510,302609,312201
1500190210,302608,312200
1500206710,302607,312199
1500238209,302606,312198
1500273910,302605,312197
1500275410,302604,312196
1500279309,302603,312195
1500286811,302603,312194
1500291309,302602,312193
1500293109,302601,312192
1500316210,302661,312254
1500316510,302776,312370
1500319513,302787,312381
1500320110,302789,312383
1500322810,302788,312382
1500323710,302804,312398
1500325510,302802,312396
1500327311,302801,312395
1500366310,302800,312394
1500382510,302799,312393
1500384009,302798,312392
1500414310,302797,312391
1500415212,302796,312390
1500416718,302795,312389
1500442210,302794,312387
1500442810,302792,312385
1500447610,302791,312384
1500454809,302790,312383
1500467112,302789,312382
1500474911,302788,312381
1500490211,302786,312379
1500491411,302785,312378
1500500710,302784,312377
1500501010,302783,312376
1500501609,302782,312375
1500501909,302781,312374
1500503111,302780,312373
1500510609,302779,312372
1500526210,302778,312371
1500542109,302777,312370
1500581110,302776,312369
1500587709,302775,312368
1500588013,302774,312367
1500588310,302773,312366
1500589510,302772,312365
1500589810,302770,312363
1500593410,302769,312362
1500595210,302768,312361
1500614714,302767,312360
1500630609,302763,312356
1500633910,302762,312355
1500634209,302761,312354
1500660909,302760,312353
1500661210,302759,312352
1500662110,302757,312350
1500662410,302756,312349
1500663610,302764,312358
1500664209,302774,312368
1500666311,302773,312367
1500667209,302772,312366
1500684310,302771,312365
1500702611,302770,312364
1500711610,302770,312363
1500717310,302769,312362
1500729912,302768,312361
1500751210,302767,312360
1500762610,302766,312359
1500763211,302765,312358
1500765310,302764,312357
1500768013,302763,312356
1500768909,302762,312355
1500770110,302761,312354
1500771610,302760,312353
1500774009,302759,312352
1500774310,302758,312351
1500774610,302757,312350
1500774910,302756,312349
1500777611,302755,312348
1500836109,302754,312347
1500890410,302753,312346
1500894610,302752,312345
1500926111,302751,312344
1500950111,302750,312343
1500952511,302749,312342
1500957310,302748,312341
1500985811,302747,312340
1500986411,302746,312339
1500993612,302745,312338
1501008612,302744,312337
1501053920,302743,312336
1501075517,302742,312335
1501083311,302741,312334
1501116012,302740,312333
1501149012,302739,312332
1501152012,302738,312331
1501205413,302737,312330
1501210812,302736,312329
1501243213,302735,312328
1501249812,302734,312327
1501277412,302733,312326
1501278613,302732,312325
1501282213,302731,312324
1501294513,302730,312323
1501347613,302740,312333
1501348213,302741,312334
1501348512,302740,312333
1501349413,302755,312348
1501349713,302768,312361
1501350313,302784,312377
1501351212,302788,312381
1501351814,302801,312394
1501352413,302812,312405
1501354513,302811,312404
1501363213,302812,312405
1501364113,302813,312406
1501368614,302811,312404
1501368913,302810,312403
1501369512,302809,312402
1501373713,302808,312401
1501375212,302807,312400
1501376412,302806,312399
1501412414,302805,312398
1501473312,302804,312397
1501485917,302803,312396
1501489513,302802,312395
1501498812,302801,312394
1501501213,302800,312393
1501509013,302799,312392
1501532412,302798,312391
1501537512,302808,312401
1501547713,302807,312400
1501558813,302806,312399
1501561213,302805,312398
1501592713,302804,312397
1501615212,302803,312396
1501620613,302802,312395
