DateTime,AddedIPs,RemovedIPs
1501020610,156,0
1501021211,271,0
1501021514,283,0
1501021811,278,0
1501022111,277,0
1501022411,279,0
1501023311,819,0
1501023611,277,0
1501023912,279,0
1501024211,264,0
1501024511,277,0
1501024811,274,0
1501025115,271,0
1501025411,277,0
1501025710,278,0
1501026011,276,0
1501026312,266,0
1501026611,288,0
1501026910,272,0
1501027210,279,0
1501027510,273,2
1501027811,281,0
1501028111,269,0
1501028411,282,0
1501029010,545,0
1501029311,267,0
1501029610,278,0
1501029910,282,0
1501030210,277,0
1501030510,264,0
1501030810,268,0
1501031112,273,0
1501031410,286,0
1501032011,549,0
1501032314,290,0
1501032611,273,0
1501032911,270,0
1501033210,280,0
1501033511,264,0
1501033811,278,0
1501034111,272,0
1501034414,274,0
1501034711,272,0
1501035012,264,0
1501035311,275,0
1501035611,274,0
1501035910,275,0
1501036211,265,0
1501036510,272,0
1501036811,263,0
1501037111,273,0
1501037411,274,0
1501038011,549,0
1501038314,272,0
1501038611,278,0
1501038911,270,0
1501039211,278,0
1501039512,264,0
1501039811,281,0
1501040111,281,0
1501040411,256,0
1501040711,270,0
1501041012,278,0
1501041311,265,0
1501041611,264,0
1501041911,278,0
1501042210,270,0
1501042811,539,0
1501043119,266,0
1501043412,253,0
1501043711,274,0
1501044011,259,0
1501044611,545,0
1501044911,266,0
1501045211,274,0
1501045511,269,0
1501045812,269,0
1501046110,255,0
1501046410,263,0
1501046719,254,0
1501047011,262,0
1501047610,520,0
1501047911,267,0
1501048212,263,0
1501048510,265,0
1501048811,270,0
1501049411,545,0
1501049711,266,0
1501050012,267,0
1501050313,268,0
1501050612,262,1
1501050911,272,0
1501051213,271,0
1501051511,269,0
1501051811,274,0
1501052110,268,0
1501052411,266,0
1501052711,271,0
1501053011,256,0
1501053612,537,0
1501053920,266,0
1501054212,272,0
1501054511,267,0
1501054811,274,0
1501055411,537,0
1501055710,271,0
1501056013,271,0
1501056311,259,0
1501056910,423,0
1501057211,273,0
1501057511,255,0
1501057810,270,0
1501058111,252,0
1501058411,268,0
1501058711,238,0
1501059011,263,0
1501059311,257,0
1501059611,262,0
1501059912,255,0
1501060511,543,0
1501060811,261,0
1501061412,526,0
1501061711,254,0
1501062011,256,0
1501062311,254,0
1501062611,268,0
1501062910,260,0
1501063211,258,0
1501063511,260,0
1501063811,268,0
1501064411,512,0
1501064712,259,0
1501065311,523,0
1501065612,243,0
1501065912,246,0
1501066211,260,0
1501066511,256,0
1501066811,247,0
1501067110,249,0
1501067411,234,0
1501067711,237,0
1501068010,312,0
1501068311,335,0
1501068611,320,1
1501068911,329,0
1501069212,346,0
1501069511,338,0
1501069812,351,0
1501070112,357,0
1501070411,351,0
1501070711,342,0
1501071011,354,0
1501071312,345,0
1501071612,311,0
1501072211,676,2
1501072511,337,0
1501072811,357,0
1501073113,345,0
1501073412,350,0
1501073711,354,0
1501074012,343,0
1501074311,353,0
1501074611,348,0
1501075211,693,0
1501075517,342,0
1501075812,345,0
1501076111,347,0
1501076412,352,0
1501077011,685,0
1501077312,331,0
1501077611,321,0
1501077911,202,0
1501078212,299,0
1501078510,336,0
1501078811,346,0
1501079120,332,0
1501079411,230,0
1501079712,174,0
1501080313,365,0
1501080611,338,0
1501080912,318,0
1501081211,305,0
1501081512,256,0
1501082111,370,0
1501082413,172,0
1501083016,357,0
1501083311,169,0
1501083612,185,0
1501083912,178,0
1501084212,163,0
1501084512,193,0
1501084811,210,0
1501085111,206,0
1501085413,193,0
1501086012,361,0
1501086315,148,0
1501086613,183,0
1501086911,183,0
1501087211,179,0
1501087512,174,0
1501087812,165,0
1501088111,175,0
1501088412,171,0
1501088712,183,0
1501089011,181,0
1501089311,179,0
1501089611,168,0
1501089918,167,0
1501090212,184,0
1501090513,166,0
1501090812,160,0
1501091112,157,0
1501091412,133,0
1501092012,314,0
1501092612,338,0
1501092912,166,0
1501093212,162,0
1501093522,139,1
1501093814,162,0
1501094111,173,0
1501094412,194,0
1501094712,174,0
1501095012,179,0
1501095311,185,0
1501095611,189,0
1501095913,182,0
1501096212,194,0
1501096511,174,0
1501096811,188,0
1501097117,179,0
1501097412,187,0
1501097713,184,0
1501098011,180,0
1501098312,247,0
1501098612,254,0
1501098912,264,0
1501099211,258,0
1501099512,260,0
1501099812,252,0
1501100112,260,0
1501100411,257,0
1501100719,257,0
1501101012,257,0
1501101312,253,0
1501101611,257,0
1501101912,257,0
1501102212,258,0
1501102811,512,0
1501103112,260,0
1501103711,514,0
1501104013,266,0
1501104611,563,0
1501104912,270,0
1501105212,242,0
1501105513,305,0
1501105812,307,0
1501106112,301,0
1501106713,489,0
1501107313,125,0
1501107612,331,0
1501107912,331,0
1501108512,616,0
1501108812,306,0
1501109412,597,0
1501110012,605,0
1501110313,317,0
1501110612,334,0
1501110912,303,0
1501111212,328,0
1501111517,328,0
1501111812,320,0
1501112111,331,0
1501112411,326,0
1501112712,327,0
1501113012,320,1
1501113313,329,0
1501113612,324,1
1501113912,317,0
1501114213,332,0
1501114511,329,0
1501114812,261,0
1501115114,251,0
1501115412,277,0
1501115712,300,0
1501116012,312,0
1501116312,319,0
1501116612,317,0
1501116912,323,0
1501117212,324,0
1501117512,330,0
1501117812,323,0
1501118412,639,0
1501118718,308,0
1501119013,324,0
1501119312,285,0
1501119612,300,0
1501120213,602,0
1501120512,295,0
1501120812,332,0
1501121112,316,0
1501121413,293,1
1501121712,298,0
1501122011,283,0
1501122313,296,0
1501122912,578,0
1501123212,277,0
1501123513,283,0
1501123812,281,0
1501124411,568,0
1501124712,285,0
1501125311,581,0
1501125612,288,0
1501126212,575,0
1501126812,564,0
1501127111,291,0
1501127412,288,0
1501127712,277,0
1501128313,579,0
1501128612,273,0
1501128912,282,0
1501129212,306,0
1501129519,285,0
1501130112,509,0
1501130412,293,1
1501131011,563,0
1501131311,279,0
1501131611,298,0
1501131912,284,0
1501132212,294,0
1501132512,293,0
