DateTime,Entries,UniqueIPs
1499273777,31408,31509
1499277375,31407,31508
1499277863,31408,31509
1499278815,31406,31507
1499279297,31406,31507
1499284094,31408,31508
1499290124,31478,31578
1499303061,31479,31579
1499303533,31480,31580
1499304023,31478,31578
1499304500,31480,31580
1499305459,31479,31579
1499306653,31480,31580
1499310741,31479,31579
1499311215,31480,31580
1499318898,31480,31580
1499322502,31479,31579
1499333802,31524,31624
1499345539,31522,31622
1499349378,31521,31621
1499349855,31522,31622
1499355617,31524,31624
1499358493,31523,31623
1499359933,31524,31624
1499363776,31521,31621
1499364255,31522,31622
1499370500,31520,31621
1499377456,31578,31679
1499384183,31580,31681
1499389456,31578,31679
1499390417,31577,31678
1499390897,31578,31679
1499391860,31577,31678
1499393295,31578,31679
1499393777,31577,31678
1499394973,31579,31680
1499403134,31576,31677
1499411774,31578,31679
1499421137,31634,31735
1499427615,31635,31736
1499428098,31636,31737
1499453533,31634,31735
1499456899,31634,31735
1499458818,31634,31735
1499464099,31635,31736
1499464862,31707,31808
1499475381,31709,31810
1499476334,31708,31809
1499476816,31707,31808
1499477300,31709,31810
1499478253,31708,31809
1499479695,31709,31810
1499482105,31707,31808
1499496973,31709,31810
1499498422,31710,31811
1499499937,31711,31812
1499507142,31712,31813
1499508507,31762,31865
1499510419,31761,31864
1499512821,31760,31863
1499515453,31761,31864
1499520497,31762,31865
1499520976,31761,31864
1499522896,31762,31865
1499529139,31761,31864
1499530097,31762,31865
1499537295,31760,31863
1499543297,31762,31865
1499543774,31763,31866
1499549053,31762,31865
1499552333,31822,31925
1499555534,31824,31927
1499555738,31825,31928
1499559377,31826,31929
1499562255,31825,31928
1499562734,31827,31930
1499563218,31826,31929
1499563700,31826,31929
1499564658,31826,31929
1499565856,31827,31930
1499566336,31827,31930
1499588175,31828,31931
1499589616,31828,31931
1499596368,31879,31982
1499604501,31878,31981
1499604974,31879,31982
1499615143,31880,31983
1499622736,31878,31981
1499629457,31877,31980
1499635220,31878,31981
1499638095,31877,31980
1499639059,31878,31981
1499640039,31952,32055
1499642104,31953,32056
