DateTime,Entries,UniqueIPs
1500625014,2289,2289
1500626924,2293,2293
1500628831,2293,2293
1500630764,2286,2286
1500632686,1151,1151
1500634589,1140,1140
1500636508,1724,1724
1500638552,1732,1732
1500640355,1724,1724
1500642273,1736,1736
1500644196,1781,1781
1500646118,1780,1780
1500648015,1787,1787
1500650210,1783,1783
1500652122,1773,1773
1500654051,1778,1778
1500655962,1767,1767
1500658123,1789,1789
1500660151,1796,1796
1500662449,1781,1781
1500664361,1781,1781
1500666274,1774,1774
1500668178,1775,1775
1500670114,1781,1781
1500672033,1779,1779
1500673955,1778,1778
1500675869,1775,1775
1500677792,1778,1778
1500679714,2300,2300
1500681665,2301,2301
1500683561,2295,2295
1500685474,2308,2308
1500689320,2310,2310
1500691474,2307,2307
1500693410,2299,2299
1500695309,2323,2323
1500697243,2324,2324
1500699160,2316,2316
1500701068,2319,2319
1500702984,2312,2312
1500704907,2316,2316
1500706902,2310,2310
1500708759,2300,2300
1500710674,2287,2287
1500712601,2294,2294
1500714526,2285,2285
1500716439,2278,2278
1500718355,1265,1265
1500720262,1271,1271
1500722175,1695,1695
1500724114,1705,1705
1500726056,1716,1716
1500727953,1728,1728
1500729862,1742,1742
1500731801,1744,1744
1500733970,1754,1754
1500735886,1766,1766
1500737797,1776,1776
1500739728,1793,1793
1500741641,1806,1806
1500743811,1809,1809
1500745720,1844,1844
1500747881,1848,1848
1500749785,1869,1869
1500751720,1883,1883
1500753733,1891,1891
1500755563,1889,1889
1500757481,1872,1872
1500761307,1867,1867
1500763479,1882,1882
1500765407,2256,2256
1500767325,2250,2250
1500769241,2265,2265
1500771173,2271,2271
1500773071,2274,2274
1500775000,2279,2279
1500776913,2278,2278
1500778959,2276,2276
1500780772,2276,2276
1500784587,2290,2290
1500786529,2287,2287
1500788681,2269,2269
1500790621,2272,2272
1500792501,2276,2276
1500794447,2282,2282
1500796360,2289,2289
1500798265,2287,2287
1500800175,2270,2270
1500802122,2264,2264
1500804151,1157,1157
1500807876,1171,1171
1500809802,1764,1764
1500811727,1778,1778
1500815560,1775,1775
1500817474,1772,1772
1500819386,1770,1770
1500821314,1768,1768
1500823500,1780,1780
1500825389,1784,1784
1500827307,1786,1786
1500829297,1842,1842
1500831157,1854,1854
1500833073,1861,1861
1500835236,1844,1844
1500837159,1837,1837
1500839070,1820,1820
1500841001,1809,1809
1500842919,1802,1802
1500844835,1792,1792
1500846765,1787,1787
1500848665,1753,1753
1500850587,1741,1741
1500852524,2262,2262
1500854503,2249,2249
1500856359,2239,2239
1500860186,2224,2224
1500862118,2227,2227
1500864021,2222,2222
1500865957,2229,2229
1500867877,2221,2221
1500869781,2214,2214
1500871961,2222,2222
1500873856,2221,2221
1500875784,2220,2220
1500877717,2205,2205
1500879635,2198,2198
1500881558,2177,2177
1500885394,2155,2155
1500887318,2144,2144
1500891157,1096,1096
1500893064,1090,1090
1500895247,1525,1525
1500897165,1535,1535
1500899311,1543,1543
1500901343,1540,1540
1500905323,1548,1548
1500907225,1554,1554
1500909162,1551,1551
1500911063,1554,1554
1500912985,1548,1548
1500914919,1544,1544
1500916846,1538,1538
1500918753,1551,1551
1500920674,1559,1559
1500922581,1560,1560
1500924510,1554,1554
1500926471,1557,1557
1500928355,1580,1580
1500930278,1594,1594
1500932193,1591,1591
1500936028,1620,1620
1500937956,2012,2012
1500939865,2023,2023
1500941792,2018,2018
1500943707,2008,2008
1500945618,2036,2036
1500947539,2034,2034
1500949456,2027,2027
1500951379,2031,2031
1500953322,2023,2023
1500955299,2031,2031
1500957141,2025,2025
1500959090,2017,2017
1500962902,2023,2023
1500964837,2013,2013
1500966760,2013,2013
1500968668,1999,1999
1500970594,2015,2015
1500972520,2026,2026
1500974418,2029,2029
1500976598,2042,2042
1500978514,1087,1087
1500980517,1082,1082
1500982372,1514,1514
1500984418,1520,1520
1500986249,1532,1532
1500990028,1540,1540
1500992214,1560,1560
1500994119,1576,1576
1500997961,1586,1586
1500999870,1589,1589
1501001804,1592,1592
1501003722,1598,1598
1501005702,1621,1621
1501009728,1629,1629
1501011638,1643,1643
1501013548,1648,1648
1501015472,1646,1646
1501017406,1648,1648
1501019327,1648,1648
1501021348,1641,1641
1501023700,1636,1636
1501025558,2010,2010
1501027476,2024,2024
1501029374,2026,2026
1501031302,2027,2027
1501033224,2020,2020
1501035150,2018,2018
1501037061,2026,2026
1501039005,2012,2012
1501040926,2009,2009
1501042851,2006,2006
1501044773,1990,1990
1501046664,1990,1990
1501048597,1984,1984
1501050513,2022,2022
1501052492,2022,2022
1501054346,2028,2028
1501056523,2030,2030
1501058425,2081,2081
1501060615,2080,2080
1501062512,2072,2072
1501064459,1160,1160
1501066365,1198,1198
1501068275,1620,1620
1501070177,1640,1640
1501072372,1651,1651
1501074276,1621,1621
1501078126,1627,1627
1501080050,1629,1629
1501082215,1642,1642
1501084104,1661,1661
1501086046,1687,1687
1501087957,1708,1708
1501089868,1710,1710
1501092143,1711,1711
1501093956,1703,1703
1501095879,1690,1690
1501097785,1695,1695
1501099700,1702,1702
1501101624,1704,1704
1501103812,1707,1707
1501105722,1699,1699
1501107709,1696,1696
1501110156,2084,2084
1501112180,2122,2122
1501114107,2146,2146
1501116016,2173,2173
1501117950,2153,2153
1501119862,2158,2158
1501121791,2162,2162
1501123700,2157,2157
1501125877,2165,2165
1501127789,2172,2172
1501129708,2177,2177
1501131650,2190,2190
1501133537,2191,2191
1501135475,2199,2199
1501139309,2196,2196
1501141225,2185,2185
1501143152,2186,2186
1501145069,2184,2184
1501147007,2196,2196
1501148893,2235,2235
1501150833,1221,1221
1501152738,1200,1200
1501154907,1697,1697
1501156907,1716,1716
1501158756,1726,1726
1501160674,1766,1766
1501162588,1790,1790
1501164510,1796,1796
1501166670,1813,1813
1501168606,1818,1818
1501170517,1825,1825
1501172439,1829,1829
1501174366,1834,1834
1501176263,1877,1877
1501178184,1880,1880
1501180357,1851,1851
1501182275,1862,1862
1501184193,1888,1888
1501186117,1861,1861
1501188035,1849,1849
1501189955,1883,1883
1501191861,1914,1914
1501194076,1910,1910
1501195942,1910,1910
1501197860,2366,2366
1501199790,2365,2365
1501201710,2386,2386
1501203654,2391,2391
1501205532,2394,2394
1501209158,2415,2415
1501211076,2439,2439
1501212998,2445,2445
1501214926,2449,2449
1501216838,2464,2464
1501218762,2477,2477
1501220660,2493,2493
1501222609,2482,2482
1501224512,2489,2489
1501226445,2490,2490
1501228355,2509,2509
1501230268,2522,2522
1501232193,2503,2503
1501234116,2506,2506
1501236121,2521,2521
1501237947,1478,1478
1501240124,2061,2061
1501242024,2016,2016
1501244206,1995,1995
1501246112,1980,1980
1501248039,1983,1983
1501249962,1972,1972
1501252113,1975,1975
1501254097,1991,1991
1501255958,2019,2019
1501257878,2067,2067
1501259785,2105,2105
1501261706,2126,2126
1501263638,2122,2122
1501265694,2152,2152
1501267959,2178,2178
1501269850,2186,2186
1501271795,2211,2211
1501273707,2208,2208
1501275666,2218,2218
1501277559,2206,2206
1501279490,2191,2191
1501281383,2204,2204
1501283314,2773,2773
1501285226,2799,2799
1501287151,2815,2815
1501289062,2850,2850
1501291003,2861,2861
1501292914,2852,2852
1501294830,2857,2857
1501296750,2867,2867
1501298662,2888,2888
1501300582,2897,2897
1501302502,2914,2914
1501304494,2938,2938
1501306350,2960,2960
1501308512,2984,2984
1501310435,3025,3025
1501312363,3041,3041
1501314265,3045,3045
1501316200,3049,3049
1501318106,3068,3068
1501320014,3073,3073
1501321941,3036,3036
1501323850,1698,1698
1501325780,1705,1705
1501327730,2347,2347
1501329753,2346,2346
1501331565,2340,2340
1501333470,2336,2336
1501335405,2342,2342
1501337305,2373,2373
1501341412,2378,2378
1501343313,2374,2374
1501345248,2383,2383
1501347169,2414,2414
1501349067,2438,2438
1501350985,2463,2463
1501352904,2491,2491
1501354912,2490,2490
1501357250,2473,2473
1501359157,2443,2443
1501361065,2446,2446
1501362984,2590,2590
1501364907,2674,2674
1501366958,2648,2648
1501368995,2644,2644
1501372673,3236,3236
1501374503,3228,3228
1501376521,3224,3224
1501378364,3222,3222
1501380284,3227,3227
1501382200,3220,3220
1501384135,3207,3207
1501386272,3203,3203
1501388188,3207,3207
1501390127,3201,3201
1501392055,3214,3214
1501393963,3209,3209
1501395920,3192,3192
1501397788,3200,3200
1501399737,3207,3207
1501401672,3203,3203
1501403547,3195,3195
1501407647,3207,3207
1501409561,1574,1574
1501411473,1567,1567
1501413411,2421,2421
1501415328,2371,2371
1501417238,2343,2343
1501419166,2332,2332
1501421052,2323,2323
1501423003,2321,2321
1501425161,2314,2314
1501427075,2292,2292
1501429002,2280,2280
1501430954,2263,2263
1501432840,2260,2260
1501434774,2225,2225
1501436682,2232,2232
1501438487,2237,2237
1501440512,2197,2197
1501442427,2179,2179
1501444343,2179,2179
1501446249,2252,2252
1501448189,2253,2253
1501450103,2253,2253
1501452102,2246,2246
1501453953,2239,2239
1501456109,2983,2983
1501458033,2944,2944
1501459960,2925,2925
1501461864,2889,2889
1501463792,2883,2883
1501465707,2902,2902
1501467626,2935,2935
1501469542,2958,2958
1501471464,2938,2938
1501473389,2938,2938
1501475311,2921,2921
1501477287,2917,2917
1501479152,2897,2897
