DateTime,AddedIPs,RemovedIPs
1481142903,0,10485760
1500084853,0,93952
1500171305,93952,27136
1500257887,27136,167680
1500344343,167680,284416
1500430869,284416,36096
1500517326,36096,118528
1500603966,118528,43520
1500690570,43520,8448
1500777070,8448,16794880
1500863529,16794880,34816
1500950032,34816,21145600
1501036448,21144576,16782336
1501123019,16783360,23552
1501209696,23552,16817152
1501296148,16817152,11008
1501382630,11008,36096
1501469102,36096,39424
1501555566,39424,281344
1501642064,281344,325632
