DateTime,Entries,UniqueIPs
1440181803,20,5120
1440616892,20,5120
1442530802,20,5120
1453056602,20,5120
1453143602,20,5120
1453230603,20,5120
1453317603,20,5120
1453404602,20,5120
1453491603,20,5120
1453578607,20,5120
1453665603,20,5120
1500094656,15,2565
1500181088,15,2820
1500267543,18,3843
1500354003,20,2570
1500440463,20,3845
1500526924,17,3587
1500613383,18,3843
1500699900,15,3075
1500786302,18,2823
1500872771,16,2821
1500959290,18,3588
1501045789,16,3076
1501132216,18,3333
1501218678,16,3586
1501305148,19,2824
1501391602,18,3333
1501478044,17,3332
1501564502,18,3588
1501650963,19,3079
