DateTime,AddedIPs,RemovedIPs
1461123002,0,32768
1500071471,0,278528
1500157923,278528,348416
1500244473,347392,341248
1500330903,342272,363008
1500417382,363008,166400
1500503825,84480,311040
1500590290,327424,245504
1500676768,245504,217856
1500763202,152320,301568
1500849672,367104,232960
1500936148,232960,356864
1501022584,356864,166400
1501109101,231936,241920
1501195565,241920,111616
1501282107,111616,105984
1501368558,104704,559872
1501455002,561152,229120
1501541469,229120,243200
1501627989,243200,93184
