DateTime,AddedIPs,RemovedIPs
1442182267,0,346758059
1442269230,346758059,0
1453534814,0,2097152
1495482316,0,233907652
1495568795,233907652,0
1500066089,0,456
1500152550,456,448
1500238995,448,1944
1500325466,1944,71648
1500411930,71648,66281
1500498376,66281,913
1500585017,913,920
1500671589,920,1113
1500758090,1113,84233
1500844514,84233,65737
1500931014,65737,912
1501017434,912,5345
1501103910,5345,547
1501190489,547,672
1501276961,672,857
1501363410,857,432
1501449860,432,634
1501536381,634,5920
1501622844,5920,117576
