DateTime,Entries,UniqueIPs
1440182406,515,4346058
1440618913,515,4346058
1442533833,515,4346058
1453126251,515,4346058
1453213330,515,4346058
1453300633,515,4346058
1453387232,515,4346058
1453474283,515,4346058
1453624201,515,4346058
1453711211,515,4346058
1500078543,496,3932060
1500165009,494,4268814
1500251744,494,4320327
1500338163,501,4184743
1500425163,486,4125283
1500511796,486,4326689
1500598805,497,4243876
1500685318,492,3981762
1500771746,493,4238138
1500858229,487,4030603
1500945253,501,4320712
1501031704,491,4223664
1501118172,478,4024647
1501205121,502,4179363
1501291570,475,4213028
1501378202,494,4292004
1501464678,492,4199798
1501551148,476,4293836
1501637632,504,3843267
