DateTime,AddedIPs,RemovedIPs
1494468018,289,344
1494482421,322,313
1494496818,349,317
1494511219,331,294
1494525619,312,322
1494540018,325,317
1494554419,335,324
1494568821,360,339
1494583219,317,320
1494597619,351,340
1494612021,325,326
1494626422,335,293
1494640820,327,355
1494655222,324,357
1494669620,343,319
1494684019,353,327
1494698420,350,315
1494712819,299,326
1494727218,299,351
1494741623,304,318
1494756019,300,344
1494770418,267,512
1494784818,534,316
1494799219,294,320
1494813618,304,363
1494828021,325,343
1494842419,351,362
1494856817,334,341
1494871218,307,307
1494885618,337,304
1494900018,277,291
1494914424,354,293
1494928818,307,295
1494943218,326,342
1494957651,331,271
1494972018,374,304
1494986420,350,327
1495000825,340,331
1495015219,332,319
1495029618,347,322
1495044021,346,336
1495058420,330,299
1495072819,361,345
1495087224,312,317
1495101620,363,309
1495116017,357,348
1495130420,353,364
1495144819,348,358
1495159219,356,341
1495173624,341,327
1495188019,348,341
1495202424,362,347
1495216822,371,363
1495231222,361,322
1495245621,330,337
1495260022,380,359
1495274421,341,356
1495288820,346,376
1495303221,342,324
1495317620,326,375
1495332018,337,345
1495346423,339,339
1495360820,382,366
1495375220,304,367
1495389619,358,366
1495404020,356,306
1495418419,312,387
1495432819,365,334
1495447219,360,356
1495461619,356,346
1495476023,369,335
1495490420,343,344
1495504821,360,367
1495519227,360,366
1495533619,333,313
1495546332,277,267
1495559413,316,358
1495573813,318,313
1495588213,305,358
1495602613,362,365
1495617013,378,344
1495631418,401,361
1495645813,375,356
1495660213,392,349
1495674613,381,338
1495689014,422,451
1495703413,487,348
1495717819,353,311
1495732215,397,315
1495746615,302,330
1495761014,328,370
1495775413,335,372
1495789814,392,406
1495804220,351,355
1495818613,363,374
1495833013,369,392
1495847429,330,403
1495861813,368,373
1495876213,346,327
1495897815,531,541
1495912214,361,303
1495926613,313,343
1495941013,308,371
1495955414,355,366
1495969813,301,372
1495984213,316,408
1495998613,320,348
1496013012,311,361
1496027412,305,351
1496041813,335,353
1496056213,366,328
1496070612,330,341
1496085013,362,310
1496099416,351,304
1496113813,296,350
1496128212,365,314
1496142613,291,311
1496157110,356,326
1496171413,296,312
1496185813,297,329
1496200213,323,359
1496214613,331,352
1496229013,316,342
1496243412,308,378
1496257812,290,329
1496272212,282,308
1496286612,286,346
1496301012,310,322
1496315411,329,329
1496329812,316,303
1496344213,301,286
1496358613,258,342
1496373012,275,349
1496387416,271,301
1496401812,277,286
1496416212,310,291
1496430612,308,275
1496445012,302,302
1496459412,266,304
1496473812,270,321
1496488212,308,312
1496502612,291,285
1496517013,319,272
1496531413,316,285
1496545813,342,286
1496560213,317,259
1496574613,298,325
1496589012,321,301
1496603413,335,299
1496617813,285,276
1496632212,275,275
1496646612,312,294
1496661013,311,296
1496675415,370,314
1496689813,278,308
1496704213,294,333
1496718613,306,324
1496733013,317,303
1496747413,302,310
1496761814,775,321
1496776214,317,315
1496790614,400,251
1496805014,427,320
1496819414,480,322
1496833815,364,337
1496848214,399,287
1496862617,376,296
1496877015,350,303
1496891416,375,335
1496905815,415,314
1496920215,360,773
1496934615,375,298
1496949014,320,403
1496963414,321,466
1496977814,332,404
1496992213,319,386
1497006614,364,380
1497021013,330,352
1497035413,318,354
1497049814,300,400
1497064213,314,415
1497078613,358,351
1497093013,382,350
1497107413,375,343
1497121813,338,310
1497136213,300,311
1497150613,300,327
1497165013,339,367
1497179413,306,325
1497193816,340,316
1497208213,301,320
1497222613,282,312
1497237013,309,372
1497251412,316,395
1497265812,315,384
1497280222,322,339
1497294612,259,306
1497309012,325,298
1497323412,298,360
1497337812,337,297
1497352243,299,312
1497366614,286,306
1497381119,0,2508
1497395413,2753,318
1497409812,253,331
1497424216,278,314
1497438613,270,311
1497453012,317,246
1497467413,310,328
1497481813,345,315
1497496212,299,333
1497510613,313,301
1497525013,347,306
1497539413,312,287
1497553813,311,247
1497568213,266,247
1497582612,308,279
1497597013,323,286
1497611413,263,347
1497625812,259,308
1497640212,256,335
1497654612,295,293
1497669015,269,308
1497683415,261,327
1497697812,256,301
1497712212,260,308
1497726611,213,268
1497741012,215,305
1497755411,228,316
1497769810,261,272
1497784211,248,242
1497798610,242,304
1497813012,273,298
1497827411,257,278
1497841811,302,268
1497856210,307,245
