DateTime,Entries,UniqueIPs
1495906836,2875,2906
1495912836,2919,2951
1495917638,2912,2940
1495921232,2925,2953
1495924836,2900,2926
1495930235,2902,2928
1495933833,2912,2939
1495939836,2866,2892
1495944636,2869,2897
1495949435,2875,2904
1495953033,2899,2928
1495956635,2864,2892
1495960232,2870,2898
1495963236,2803,2831
1495967456,2784,2811
1495971032,2789,2816
1495974636,2785,2813
1495978836,2753,2781
1495983636,2784,2812
1495987233,2830,2860
1495990835,2818,2848
1495994433,2774,2802
1495998036,2704,2733
1496001636,2687,2716
1496005236,2700,2731
1496008833,2683,2714
1496011835,2701,2732
1496016036,2691,2721
1496019633,2744,2775
1496023835,2669,2698
1496029235,2699,2728
1496034635,2670,2698
1496039436,2656,2683
1496043032,2658,2685
1496046635,2654,2681
1496050233,2659,2686
1496053837,2699,2729
1496057433,2702,2730
1496061036,2726,2753
1496064632,2766,2793
1496068836,2736,2762
1496073636,2727,2754
1496077836,2730,2757
1496082636,2751,2778
1496086232,2763,2790
1496089836,2782,2809
1496093434,2813,2840
1496097636,2873,2902
1496101232,2902,2931
1496108436,2827,2854
1496115036,2832,2859
1496119836,2818,2845
1496124636,2808,2833
1496130035,2814,2839
1496134836,2808,2834
1496138433,2825,2851
1496142036,2813,2840
1496145633,2791,2819
1496149236,2784,2812
1496152833,2784,2813
1496156435,2794,2825
1496160033,2768,2799
1496163635,2788,2820
1496167233,2859,2891
1496174434,2846,2874
1496178637,2769,2796
1496182233,2788,2816
1496187036,2786,2813
1496191235,2799,2826
1496197235,2751,2779
1496202635,2743,2774
1496207435,2770,2801
1496210432,2781,2812
1496213435,2716,2745
1496217034,2732,2762
1496220636,2698,2727
1496224835,2702,2730
1496228433,2720,2749
1496232036,2712,2742
1496236235,2697,2727
1496241635,2718,2747
1496246436,2702,2732
1496250032,2705,2735
1496253635,2644,2674
1496257233,2668,2698
1496260837,2685,2715
1496264433,2685,2714
1496268036,2695,2724
1496271634,2679,2708
1496275236,2733,2764
1496279435,2745,2775
1496285436,2687,2715
1496290836,2645,2671
1496295636,2641,2666
1496298633,2658,2683
1496302836,2646,2671
1496306433,2658,2684
1496309435,2690,2716
1496313034,2757,2785
1496317237,2733,2763
1496323236,2759,2789
1496328036,2706,2735
1496333435,2721,2753
1496335832,2721,2752
1496343633,2716,2748
1496347236,2762,2795
1496350833,2806,2840
1496354436,2823,2856
1496358636,2744,2775
1496364635,2769,2800
1496370635,2765,2796
1496375435,2750,2781
1496380835,2741,2772
1496385036,2756,2786
1496388633,2800,2832
1496392237,2826,2859
1496395852,2787,2819
1496399434,2766,2798
1496403636,2745,2775
1496407835,2730,2760
1496412635,2710,2739
1496418035,2712,2741
1496420432,2731,2760
1496424636,2755,2785
1496428233,2791,2821
1496432436,2734,2761
1499845236,1283,1304
1499852436,1388,1409
1499857235,1500,1521
1499862037,1644,1667
1499867435,1707,1730
1499873436,1744,1767
1499878237,1839,1862
1499883636,1980,2004
1499888436,2063,2087
1499894437,2184,2210
1499900437,2233,2261
1499905835,2298,2326
1499911236,2352,2382
1499916636,2389,2419
1499921435,2420,2450
1499926840,2503,2533
1499932253,2498,2529
1499937636,2429,2460
1499943036,2468,2500
1499948435,2458,2490
1499953836,2450,2482
1499959236,2449,2481
1499964636,2443,2473
1499970036,2412,2441
1499975454,2466,2494
1499980236,2502,2531
1499986237,2497,2524
1499991636,2506,2535
1499997636,2477,2507
1500003036,2482,2512
1500007836,2407,2435
1500013236,2416,2444
1500018035,2500,2531
1500024036,2516,2549
1500029436,2480,2513
1500034836,2468,2499
1500040237,2499,2530
1500045636,2414,2444
1500051036,2436,2466
1500056436,2505,2536
1500061236,2514,2545
1500067237,2584,2619
1500073237,2492,2526
1500078036,2511,2546
1500083437,2508,2542
1500089436,2530,2565
1500094836,2456,2489
1500099636,2442,2474
1500105638,2450,2482
1500111036,2495,2528
1500115836,2470,2502
1500120636,2496,2528
1500126636,2540,2573
1500132036,2526,2557
1500137438,2460,2490
1500142837,2500,2530
1500148236,2457,2486
1500153636,2494,2521
1500159036,2561,2592
1500165036,2547,2578
1500170436,2509,2539
1500175837,2513,2543
1500181237,2525,2556
1500186636,2482,2513
1500192035,2396,2426
1500196836,2395,2425
1500202837,2475,2510
1500208236,2417,2452
1500213636,2429,2464
1500219040,2430,2465
1500223836,2397,2431
1500228637,2423,2458
1500234637,2401,2438
1500240036,2333,2370
1500245438,2368,2406
1500250837,2444,2482
1500256236,2413,2451
1500261638,2419,2454
1500267035,2449,2485
1500272436,2405,2440
1500277236,2347,2379
1500283836,2348,2381
1500289236,2292,2325
1500294036,2388,2422
1500300045,2360,2393
1500304836,2360,2395
1500309636,2394,2428
