DateTime,AddedIPs,RemovedIPs
1495584635,1,2
1495590636,2,4
1495596036,0,11
1495601435,2,3
1495609232,2,3
1495612836,1,16
1495617035,3,2
1495623036,6,8
1495628436,3,5
1495639836,0,14
1495644636,1,0
1495649436,1,5
1495653033,4,0
1495658436,3,10
1495663836,0,3
1495667432,74,0
1495672835,0,5
1495678835,1,13
1495683635,4,4
1495687233,2,0
1495692635,3,3
1495698036,2,6
1495704035,3,5
1495708835,2,6
1495714235,4,1
1495719635,1,2
1495724435,0,8
1495728032,2,0
1495731636,1,0
1495735233,1,0
1495738836,2,4
1495742433,1,0
1495746035,2,5
1495749633,0,4
1495757432,0,1
1495761035,2,2
1495767036,3,10
1495771836,3,1
1495776636,0,6
1495780835,0,2
1495784433,1,0
1495790436,0,6
1495795836,18,2
1495800636,2,5
1495806036,2,5
1495811436,3,5
1495816836,1,5
1495821635,3,4
1495825232,1,0
1495828835,2,1
1495836032,6,3
1495840235,3,13
1495845635,3,4
1495851637,0,8
1495857035,0,3
1495862435,1,3
1495867836,9,6
1495872035,0,3
1495875633,1,0
1495879237,6,4
1495882833,0,5
1495886435,2,0
1495890033,0,1
1495893636,0,3
1495897836,1,1
1495902635,2,1
1495906836,1,4
1495912836,5,0
1495917638,1,3
1495924836,0,3
1495930235,2,9
1495939836,0,3
1495944636,0,2
1495949435,3,2
1495953033,0,3
1495956635,1,0
1495960232,0,4
1495963236,0,6
1495967456,0,5
1495971032,1,0
1495974636,0,5
1495978836,1,5
1495983636,1,10
1495987233,2,0
1495990835,0,6
1495994433,1,0
1496001636,0,1
1496008833,10,10
1496011835,34,0
1496016036,0,3
1496023835,0,3
1496029235,2,0
1496034635,3,4
1496039436,4,4
1496043032,1,1
1496046635,1,0
1496050233,1,1
1496053837,2,3
1496057433,1,0
1496061036,1,1
1496064632,4,0
1496068836,0,3
1496073636,0,1
1496077836,3,0
1496082636,1,2
1496086232,3,0
1496089836,0,2
1496093434,1,0
1496097636,6,3
1496101232,1,0
1496108436,0,5
1496115036,2,11
1496119836,0,4
1496124636,1,0
1496130035,1,3
1496134836,1,5
1496138433,1,0
1496145633,0,3
1496149236,0,3
1496152833,2,0
1496156435,0,1
1496160033,0,8
1496163635,2,0
1496167233,3,4
1496174434,3,2
1496178637,1,4
1496187036,0,1
1496191235,1,1
1496197235,0,5
1496202635,0,3
1496207435,1,4
1496210432,2,0
1496213435,1,0
1496217034,0,5
1496220636,0,3
1496224835,3,2
1496232036,0,4
1496236235,1,7
1496241635,5,3
1496246436,0,2
1496253635,1,2
