DateTime,Entries,UniqueIPs
1495917638,1775,1775
1495921232,1796,1796
1495924836,1813,1813
1495930235,1823,1823
1495933833,1810,1810
1495939836,1746,1746
1495944636,1681,1681
1495949435,1648,1648
1495953033,1619,1619
1495956635,1599,1599
1495960232,1609,1609
1495963236,1619,1619
1495967456,1610,1610
1495971032,1588,1588
1495974636,1590,1590
1495978836,1532,1532
1495983636,1520,1520
1495987233,1553,1553
1495990835,1544,1544
1495994433,1571,1571
1495998036,1596,1596
1496001636,1618,1618
1496005236,1631,1631
1496008833,1637,1637
1496011835,1671,1671
1496016036,1691,1691
1496019633,1724,1724
1496023835,1715,1715
1496029235,1697,1697
1496034635,1663,1663
1496039436,1670,1670
1496043032,1641,1641
1496046635,1614,1614
1496050233,1615,1615
1496053837,1607,1607
1496057433,1639,1639
1496061036,1659,1659
1496064632,1682,1682
1496068836,1668,1668
1496073636,1668,1668
1496077836,1674,1674
1496082636,1689,1689
1496086232,1709,1709
1496089836,1743,1743
1496093434,1795,1795
1496097636,1865,1865
1496101232,1895,1895
1496108436,1886,1886
1496115036,1763,1763
1496119836,1690,1690
1496124636,1676,1676
1496130035,1620,1620
1496134836,1586,1586
1496138433,1581,1581
1496142036,1580,1580
1496145633,1578,1578
1496149236,1575,1575
1496152833,1563,1563
1496156435,1552,1552
1496160033,1551,1551
1496163635,1555,1555
1496167233,1647,1647
1496174434,1694,1694
1496178637,1693,1693
1496182233,1672,1672
1496187036,1686,1686
1496191235,1691,1691
1496197235,1685,1685
1496202635,1560,1560
1496207435,1519,1519
1496210432,1496,1496
1496213435,1485,1485
1496217034,1476,1476
1496220636,1485,1485
1496224835,1525,1525
1496228433,1557,1557
1496232036,1564,1564
1496236235,1519,1519
1496241635,1535,1535
1496246436,1526,1526
1496250032,1546,1546
1496253635,1545,1545
1496257233,1585,1585
1496260837,1588,1588
1496264433,1601,1601
1496268036,1605,1605
1496271634,1649,1649
1496275236,1682,1682
1496279435,1710,1710
1496285436,1679,1679
1496290836,1639,1639
1496295636,1560,1560
1496298633,1567,1567
1496302836,1576,1576
1496306433,1564,1564
1496309435,1605,1605
1496313034,1638,1638
1496317237,1623,1623
1496323236,1596,1596
1496328036,1552,1552
1496333435,1537,1537
1496335832,1548,1548
1496343633,1639,1639
1496347236,1727,1727
1496350833,1783,1783
1496354436,1821,1821
1496358636,1840,1840
1496364635,1814,1814
1496370635,1739,1739
1496375435,1668,1668
1496380835,1605,1605
1496385036,1572,1572
1496388633,1539,1539
1496392237,1567,1567
1496395852,1571,1571
1496399434,1577,1577
1496403636,1556,1556
1496407835,1515,1515
1496412635,1465,1465
1496418035,1420,1420
1496420432,1449,1449
1496424636,1518,1518
1496428233,1581,1581
1496432436,1611,1611
1499845236,1304,1304
1499852436,1245,1245
1499857235,1134,1134
1499862037,1170,1170
1499867435,1195,1195
1499873436,1141,1141
1499878237,1127,1127
1499883636,1150,1150
1499888436,1227,1227
1499894437,1322,1322
1499900437,1332,1332
1499905835,1306,1306
1499911236,1285,1285
1499916636,1224,1224
1499921435,1205,1205
1499926840,1211,1211
1499932253,1239,1239
1499937636,1202,1202
1499943036,1145,1145
1499948435,1140,1140
1499953836,1152,1152
1499959236,1127,1127
1499964636,1107,1107
1499970036,1144,1144
1499975454,1210,1210
1499980236,1247,1247
1499986237,1240,1240
1499991636,1254,1254
1499997636,1249,1249
1500003036,1184,1184
1500007836,1149,1149
1500013236,1155,1155
1500018035,1179,1179
1500024036,1162,1162
1500029436,1151,1151
1500034836,1124,1124
1500040237,1125,1125
1500045636,1112,1112
1500051036,1106,1106
1500056436,1167,1167
1500061236,1233,1233
1500067237,1318,1318
1500073237,1323,1323
1500078036,1324,1324
1500083437,1315,1315
1500089436,1271,1271
1500094836,1228,1228
1500099636,1227,1227
1500105638,1215,1215
1500111036,1187,1187
1500115836,1150,1150
1500120636,1158,1158
1500126636,1132,1132
1500132036,1137,1137
1500137438,1122,1122
1500142837,1146,1146
1500148236,1195,1195
1500153636,1253,1253
1500159036,1281,1281
1500165036,1284,1284
1500170436,1297,1297
1500175837,1283,1283
1500181237,1254,1254
1500186636,1202,1202
1500192035,1180,1180
1500196836,1184,1184
1500202837,1176,1176
1500208236,1152,1152
1500213636,1073,1073
1500219040,1004,1004
1500223836,1023,1023
1500228637,1061,1061
1500234637,1097,1097
1500240036,1082,1082
1500245438,1124,1124
1500250837,1173,1173
1500256236,1165,1165
1500261638,1125,1125
1500267035,1122,1122
1500272436,1103,1103
1500277236,1116,1116
1500283836,1137,1137
1500289236,1116,1116
1500294036,1116,1116
1500300045,1080,1080
1500304836,1071,1071
1500309636,1092,1092
1500315637,1151,1151
1500321038,1125,1125
1500326437,1138,1138
1500331236,1136,1136
1500336636,1273,1273
1500343236,1270,1270
1500348635,1190,1190
1500354036,1138,1138
1500358836,1122,1122
1500364237,1135,1135
1500370237,1131,1131
1500375037,1128,1128
1500380436,1079,1079
1500386436,1047,1047
1500391235,1032,1032
1500396039,1034,1034
1500401436,1028,1028
1500406836,1084,1084
1500412237,1103,1103
1500418236,1094,1094
1500423636,1055,1055
1500428436,1059,1059
1500433836,1045,1045
1500439836,1022,1022
1500444635,985,985
1500450036,1002,1002
1500455435,1017,1017
1500461436,990,990
1500466836,932,932
1500472235,903,903
1500477037,904,904
1500480033,910,910
1500484236,909,909
1500489636,910,910
1500494436,925,925
1500498636,938,938
1500502234,960,960
1500507036,967,967
1500511236,955,955
1500516636,992,992
1500522635,976,976
1500526836,975,975
1500530434,981,981
1500534636,970,970
1500540036,972,972
1500545435,964,964
1500550236,965,965
1500554436,961,961
1500558033,951,951
1500562837,913,913
1500570633,959,959
1500575436,966,966
1500579034,981,981
1500583236,992,992
1500594035,988,988
1500599435,989,989
1500604835,971,971
1500610235,941,941
1500615636,928,928
1500619233,891,891
1500622835,875,875
1500626433,859,859
1500630036,870,870
1500633633,877,877
1500637235,877,877
1500643236,866,866
1500651033,840,840
1500654635,834,834
1500658233,833,833
1500661235,838,838
1500669033,867,867
1500672636,875,875
1500676233,898,898
1500679836,912,912
1500683433,921,921
1500690632,879,879
1500694835,859,859
1500699635,856,856
1500703234,872,872
1500706835,853,853
1500710433,858,858
1500714036,855,855
1500717634,862,862
1500721236,862,862
1500724833,856,856
1500728435,850,850
1500735634,849,849
1500739235,853,853
1500746447,872,872
1500750036,939,939
1500753634,964,964
1500757836,983,983
1500761433,1002,1002
1500767435,1007,1007
1500773436,973,973
1500777635,938,938
1500783036,915,915
1500788436,938,938
1500793835,941,941
1500799835,957,957
1500805236,951,951
1500810635,928,928
1500816036,912,912
1500821440,902,902
1500826836,894,894
1500831636,921,921
1500837036,945,945
1500842456,972,972
1500847836,982,982
1500853835,968,968
1500858635,933,933
1500864635,903,903
1500869435,903,903
1500873033,882,882
1500877836,882,882
1500881433,903,903
1500885036,916,916
1500889235,916,916
1500894636,899,899
1500900035,857,857
1500903633,847,847
1500912034,834,834
