DateTime,AddedIPs,RemovedIPs
1495390252,12,0
1495393230,4,6
1495397441,4,6
1495401030,3,0
1495405833,5,10
1495410032,4,0
1495416033,14,10
1495422033,1,9
1495427432,5,0
1495431632,3,10
1495436432,6,0
1495440030,3,4
1495443632,5,0
1495450830,6,9
1495455033,5,4
1495460433,4,5
1495465833,5,3
1495471232,6,6
1495474830,4,0
1495478432,3,5
1495483832,5,7
1495488632,6,3
1495492230,3,4
1495495832,5,0
1495499429,9,11
1495504233,5,7
1495509032,1,7
1495514433,4,4
1495519833,2,4
1495522830,8,0
1495526432,8,8
1495530031,4,7
1495534234,6,8
1495537830,5,0
1495540832,4,9
1495544430,5,0
1495548033,8,6
1495551637,6,0
1495555228,4,12
1495558830,4,6
1495563030,6,7
1495568430,5,1
1495573232,5,6
1495576830,2,0
1495580433,3,4
1495584632,5,5
1495590633,3,3
1495596033,3,7
1495601432,4,2
1495609230,4,5
1495612833,7,8
1495617032,6,3
1495623033,5,0
1496149233,10,763
1496152830,15,13
1496156433,9,0
1496160030,16,15
1496163632,9,23
1496167230,17,0
1496174431,12,7
1496178633,10,34
1496182230,8,0
1496187033,12,10
1496191232,9,12
1496197232,10,14
1496202632,15,14
1496207432,8,15
1496210430,7,0
1496213432,8,12
1496217030,12,0
1496220632,8,10
1496224833,5,16
1496228430,7,0
1496232033,13,15
1496236233,14,0
1496241633,11,0
1496246434,15,0
1496250029,7,0
1496253633,12,0
1496257230,10,0
1496260834,13,0
1496264431,8,0
1496268033,5,0
1496271631,8,0
1496275233,11,0
1496279432,14,0
1496285433,12,0
1496290833,6,0
1496295633,9,0
1496298630,8,0
1496302832,6,0
1496306430,5,0
1496309433,6,0
1496313030,8,0
1496317234,13,0
1496323233,3,0
1496328033,7,0
1496333432,9,0
1496335829,11,0
1496343630,8,0
1496347233,11,0
1496350831,5,0
1496354433,6,0
1496358633,7,0
1496364633,9,0
1496370632,10,0
1496375433,6,0
1496380832,8,0
1496385033,11,0
1496388630,11,0
1496392234,7,0
1496395843,7,0
1496399432,4,0
1496403634,7,0
1496407832,5,0
1496412632,6,0
1496418033,5,0
1496420430,7,0
1496424633,8,0
1496428230,6,0
1496432433,10,0
1499845233,11,683
1499852434,24,0
1499857233,23,0
1499862034,21,0
1499867433,15,0
1499873433,18,0
1499878234,16,0
1499883634,18,0
1499888433,11,0
1499894434,16,0
1499900434,15,0
1499905833,17,0
1499911233,14,0
1499916633,15,0
1499921433,8,0
1499926836,10,0
1499932241,18,0
1499937634,10,0
1499943033,11,0
1499948432,10,0
1499953833,8,0
1499959234,9,0
1499964633,9,0
1499970034,11,0
1499975451,11,0
1499980233,14,0
1499986235,13,0
1499991633,8,0
1499997633,10,0
1500003034,8,0
1500007833,7,0
1500013233,7,0
1500018033,9,0
1500024033,11,0
1500029434,10,0
1500034833,14,0
1500040233,11,0
1500045633,9,0
1500051034,8,0
1500056433,12,0
1500061234,8,0
1500067235,9,0
1500073235,9,0
1500078033,3,0
1500083434,10,0
1500089433,10,0
1500094833,5,0
1500099634,5,0
1500105636,11,0
1500111033,4,0
1500115834,4,0
1500120633,10,0
1500126633,11,0
1500132034,8,0
1500137436,7,0
1500142834,9,0
1500148234,3,0
1500153634,5,0
1500159033,10,0
1500165034,8,0
1500170433,8,0
1500175834,9,0
1500181234,6,0
1500186634,6,0
1500192033,3,0
1500196833,8,0
1500202834,9,0
1500208233,4,0
1500213634,4,0
1500219037,7,0
1500223833,10,0
1500228634,7,0
1500234635,5,0
1500240034,6,0
1500245435,5,0
1500250835,5,0
1500256234,4,0
1500261636,6,0
1500267033,3,0
1500272433,7,0
1500277233,5,0
1500283834,6,0
1500289234,8,0
1500294034,9,0
1500300042,8,0
1500304833,6,0
1500309633,7,0
1500315634,6,0
1500321035,5,0
1500326434,2,0
1500331233,6,0
1500336634,9,0
1500343233,8,0
1500348633,8,0
1500354034,6,0
1500358834,4,0
1500364235,5,0
1500370234,5,0
1500375034,5,0
1500380433,4,0
1500386433,4,0
1500391233,4,0
1500396037,5,0
1500401434,4,0
1500406833,4,0
1500412234,7,0
1500418234,6,0
1500423633,5,0
1500428433,6,0
1500433833,9,0
1500439833,5,0
1500444632,3,0
1500450033,5,3
1500455432,3,0
1500461433,6,6
1500466833,4,9
1500472233,5,5
1500477034,4,10
1500480031,4,0
1500484233,3,3
1500489634,3,8
1500494434,8,4
1500498634,2,4
1500502231,4,0
1500507033,4,7
1500511233,3,4
1500516633,8,8
1500522633,4,6
1500526834,6,9
1500530432,4,0
1500534633,5,8
1500540034,2,8
1500545433,2,3
1500550233,7,7
1500554433,3,3
1500558030,2,0
1500562834,4,4
1500570631,3,5
1500575433,6,13
1500579031,6,0
1500583233,10,6
1500588634,3,5
1500594033,9,3
1500599432,5,2
1500604833,3,4
1500610233,2,4
1500615634,7,3
1500619230,3,0
1500622833,7,6
1500626431,2,7
1500630034,2,0
1500633630,3,3
1500637233,4,5
1500643233,4,9
1500651031,4,8
1500654633,4,6
1500658231,2,7
1500661233,4,0
1500669031,6,13
1500672633,5,0
1500676231,2,5
1500679833,4,4
1500683431,5,0
1500690630,5,6
1500694833,1,6
1500699633,5,3
1500703232,4,0
1500706833,3,0
1500710430,3,6
1500714033,3,4
1500721233,0,3
1500724831,7,4
1500728433,5,5
1500735631,4,8
1500739233,6,5
1500746444,4,3
1500750034,3,8
1500753631,4,0
1500757834,2,9
1500761430,1,0
1500767433,7,7
1500773433,6,7
1500777632,2,6
1500783034,4,8
1500788433,2,3
1500793833,3,5
1500799833,4,3
1500805234,7,5
1500810633,1,10
1500816033,5,3
1500821438,4,4
1500826834,4,6
1500831634,3,6
1500837033,7,5
1500842437,3,5
1500847834,4,3
1500853833,5,4
1500858633,2,6
1500864633,4,5
1500869433,6,6
1500873031,2,0
1500877833,5,5
1500881430,7,0
1500885034,4,7
1500889232,6,3
1500894633,2,8
1500900033,2,6
1500903631,3,0
1500912032,3,8
1500915632,3,0
1500919231,4,5
1500926431,5,4
1500930034,3,5
1500933631,5,4
1500938433,6,4
1500943232,7,3
1500948633,2,7
1500954033,8,5
1500959433,5,4
1500962431,6,0
1500966033,4,0
1500970234,3,7
1500975633,3,3
1500981034,4,5
1500986433,3,3
1500989430,4,0
1500993033,5,6
1500996630,4,0
1501000233,4,4
1501003830,7,0
1501007433,4,6
1501011030,6,5
1501014633,2,4
1501018231,4,0
1501021834,5,5
1501025430,5,7
1501029032,3,0
1501032630,4,6
1501036833,4,5
1501041032,4,9
1501045233,2,4
1501052431,6,4
1501057233,6,4
1501062032,2,4
1501068033,2,5
1501072832,5,5
1501076430,3,0
1501081233,3,5
1501084831,2,5
1501092030,5,5
1501099230,5,10
1501102832,4,2
1501110031,6,5
1501113633,3,0
1501117230,6,2
1501124430,2,9
1501127432,4,0
1501131632,4,9
1501135231,8,0
1501139433,5,4
1501144833,3,7
1501147831,2,3
1501151436,4,0
1501155632,2,7
1501160433,3,9
1501163430,5,0
1501170630,8,8
1501174233,6,0
1501177831,5,2
1501182633,2,10
1501185632,2,0
1501189233,3,0
1501192832,3,4
1501196433,6,5
1501200030,3,0
1501203632,7,3
1501210830,2,4
1501218030,4,7
1501221633,1,0
1501225230,7,8
1501228232,8,3
1501231831,4,2
1501236033,3,10
1501239631,1,0
1501243233,4,5
1501246830,4,0
1501250432,3,4
1501254030,4,0
1501257633,5,4
1501261231,3,5
1501264233,4,5
1501268432,2,5
1501275630,5,4
1501279232,6,8
1501282230,6,2
1501287032,3,6
1501291832,3,0
1501295431,4,0
1501299032,3,6
1501302630,6,0
1501306233,5,4
1501309830,2,10
1501313432,3,3
1501317033,1,3
1501320032,5,5
1501324232,4,6
1501327830,3,0
1501331432,7,3
1501334430,4,0
1501341630,3,2
1501345233,4,5
1501349433,5,4
1501353031,3,0
1501356632,4,7
1501360231,6,2
1501363835,4,0
1501367430,1,5
1501370431,2,0
1501374633,3,4
1501382430,5,4
1501387232,4,7
1501390831,5,0
1501394437,5,0
1501398032,3,5
1501401633,6,4
1501405230,1,0
1501408834,2,4
1501412430,3,5
1501416033,3,0
1501420232,1,7
1501428029,2,0
1501432233,7,9
1501435831,2,0
1501440033,4,6
1501445432,4,8
1501450233,4,7
1501454433,4,2
1501458030,5,0
1501463432,5,3
1501468833,5,4
1501474232,4,0
1501479032,3,8
1501482630,3,0
1501486833,3,12
1501492232,1,0
1501497633,7,3
1501501230,1,0
1501506632,2,10
1501510230,2,0
1501515032,4,0
1501519233,2,5
1501522831,3,0
1501526432,4,5
1501530633,2,4
1501535432,5,9
1501540832,5,0
1501544429,5,0
1501550433,3,4
1501555832,7,4
1501560632,4,10
1501565432,4,12
1501569030,5,0
1501573232,7,4
1501578633,3,5
1501583433,4,4
1501587030,2,0
1501590632,3,4
1501594230,2,3
1501597833,2,2
1501605030,3,17
1501608635,6,4
1501615833,3,5
1501619431,4,10
1501623032,1,0
1501626630,4,10
1501630832,4,11
1501636234,5,4
1501641632,1,0
1501645238,3,4
