DateTime,Entries,UniqueIPs
1499822160,4664,4664
1499825760,4772,4772
1499829360,4909,4909
1499832960,5040,5040
1499836560,5185,5185
1499840160,5376,5376
1499843760,5555,5555
1499847360,5704,5704
1499850960,5871,5871
1499854560,6078,6078
1499858160,6255,6255
1499861760,6447,6447
1499865360,6626,6626
1499868960,6784,6784
1499872560,6922,6922
1499876160,7082,7082
1499879760,7255,7255
1499883360,7373,7373
1499886960,7494,7494
1499890560,7621,7621
1499894160,7734,7734
1499897760,7858,7858
1499901360,7972,7972
1499904960,5163,5163
1499908560,5277,5277
1499912160,5386,5386
1499915760,5497,5497
1499919360,5632,5632
1499922960,5788,5788
1499926560,5970,5970
1499930160,6154,6154
1499933760,6340,6340
1499937360,6503,6503
1499940960,6668,6668
1499944560,6825,6825
1499948161,6973,6973
1499951760,7115,7115
1499955361,7263,7263
1499958961,7393,7393
1499962560,7531,7531
1499966160,7656,7656
1499969760,7775,7775
1499973360,7877,7877
1499976961,8013,8013
1499980561,8138,8138
1499985061,8287,8287
1499988660,8419,8419
1499992260,5042,5042
1499995860,5172,5172
1499999460,5338,5338
1500003060,5465,5465
1500006660,5594,5594
1500010261,5693,5693
1500013860,5836,5836
1500017461,6029,6029
1500021061,6184,6184
1500024661,6306,6306
1500028261,6483,6483
1500031861,6728,6728
1500035461,6886,6886
1500039061,6996,6996
1500042661,7100,7100
1500046261,7226,7226
1500049861,7362,7362
1500053461,7533,7533
1500057061,7635,7635
1500060661,7737,7737
1500064261,7905,7905
1500067861,8023,8023
1500071461,8104,8104
1500075061,8194,8194
1500078661,4954,4954
1500082261,5047,5047
1500085860,5106,5106
1500089461,5153,5153
1500093061,5228,5228
1500096661,5294,5294
1500100261,5435,5435
1500103860,5570,5570
1500107461,5702,5702
1500111061,5844,5844
1500114661,5948,5948
1500118261,6065,6065
1500121861,6202,6202
1500125461,6305,6305
1500129061,6511,6511
1500132661,6745,6745
1500136261,6839,6839
1500139861,6941,6941
1500143461,7098,7098
1500147061,7310,7310
1500150661,7411,7411
1500154261,7528,7528
1500157861,7598,7598
1500161461,7678,7678
1500165061,4310,4310
1500168661,4409,4409
1500172261,4490,4490
1500177661,4590,4590
1500181261,4655,4655
1500184861,4740,4740
1500188461,4819,4819
1500192061,4920,4920
1500195661,5016,5016
1500199262,5163,5163
1500202862,5235,5235
1500206462,5324,5324
1500210061,5388,5388
1500213662,5459,5459
1500217262,5551,5551
1500220862,5648,5648
1500224462,5721,5721
1500228061,5787,5787
1500231661,5855,5855
1500235261,5911,5911
1500238862,5960,5960
1500243362,6055,6055
1500246962,6115,6115
1500250562,3195,3195
1500254161,3287,3287
1500257762,3383,3383
1500261362,3455,3455
1500264962,3534,3534
1500268561,3631,3631
1500272162,3727,3727
1500275761,3858,3858
1500279362,3957,3957
1500282961,4079,4079
1500286562,4141,4141
1500290161,4249,4249
1500293762,4337,4337
1500297362,4443,4443
1500300961,4525,4525
1500304561,4613,4613
1500308162,4739,4739
1500311762,4881,4881
1500315362,4985,4985
1500318962,5063,5063
1500322562,5129,5129
1500326162,5195,5195
1500329762,5285,5285
1500333362,5381,5381
1500336962,3469,3469
1500340562,3573,3573
1500344162,3675,3675
1500347762,3782,3782
1500351361,3866,3866
1500354961,3959,3959
1500358562,4101,4101
1500362162,4231,4231
1500365762,4355,4355
1500369362,4465,4465
1500372961,4598,4598
1500376563,4745,4745
1500380162,4895,4895
1500383762,5040,5040
1500387362,5153,5153
1500390962,5297,5297
1500394562,5475,5475
1500398162,5567,5567
1500401762,5643,5643
1500405362,5739,5739
1500408962,5849,5849
1500412562,5925,5925
1500416162,6072,6072
1500419762,6168,6168
1500423362,4160,4160
1500426962,4265,4265
1500430562,4332,4332
1500434162,4413,4413
1500437762,4522,4522
1500441362,4619,4619
1500444962,4753,4753
1500448562,4879,4879
1500452162,5027,5027
1500455762,5160,5160
1500459362,5315,5315
1500462962,5435,5435
1500466562,5565,5565
1500470162,5668,5668
1500473762,5772,5772
1500477362,5883,5883
1500480962,5961,5961
1500484562,6081,6081
1500488163,6179,6179
1500491763,6292,6292
1500495362,6377,6377
1500498963,6448,6448
1500502563,6545,6545
1500506163,6622,6622
1500509762,3955,3955
1500513362,4030,4030
1500516962,4119,4119
1500520563,4208,4208
1500524163,4299,4299
1500527762,4398,4398
1500531363,4515,4515
1500534962,4663,4663
1500538563,4801,4801
1500542163,4931,4931
1500545763,5076,5076
1500549363,5216,5216
1500552963,5356,5356
1500556562,5494,5494
1500560163,5641,5641
1500563762,5789,5789
1500567362,5972,5972
1500570963,6098,6098
1500574563,6229,6229
1500578163,6308,6308
1500581762,6391,6391
1500585363,6476,6476
1500588962,6557,6557
1500592563,6627,6627
1500596163,4161,4161
1500599763,4252,4252
1500603362,4357,4357
1500606963,4463,4463
1500610563,4573,4573
1500614163,4701,4701
1500617763,4845,4845
1500621363,4946,4946
1500624963,5060,5060
1500628563,5172,5172
1500632163,5296,5296
1500635763,5423,5423
1500639363,5545,5545
1500642963,5713,5713
1500646563,5851,5851
1500650163,5943,5943
1500653763,6054,6054
1500657363,6225,6225
1500660963,6300,6300
1500664563,6386,6386
1500668163,6487,6487
1500671763,7472,7472
1500675363,7564,7564
1500678963,7673,7673
1500682563,5088,5088
1500686163,5178,5178
1500689763,5286,5286
1500693363,5366,5366
1500696963,5460,5460
1500700563,5563,5563
1500704163,5671,5671
1500707763,5774,5774
1500711363,5903,5903
1500714963,6025,6025
1500718563,6126,6126
1500722164,6248,6248
1500725764,6336,6336
1500729363,6444,6444
1500732963,6524,6524
1500736563,6619,6619
1500740164,6718,6718
1500743763,6792,6792
1500747363,6865,6865
1500750963,6943,6943
1500754564,7015,7015
1500758164,7112,7112
1500761764,7184,7184
1500765363,7287,7287
1500768963,3745,3745
1500772564,3825,3825
1500776163,3916,3916
1500779763,3984,3984
1500783364,4050,4050
1500786963,4123,4123
1500790564,4228,4228
1500794164,4294,4294
1500797763,4386,4386
