DateTime,Entries,UniqueIPs
1499069813,18371,18371
1499077001,18373,18373
1499080612,18374,18374
1499084209,18381,18381
1499091410,18769,18769
1499095004,18763,18763
1499098603,18764,18764
1499105806,18906,18906
1499106702,18907,18907
1499112999,18910,18910
1499120206,18909,18909
1499127411,18912,18912
1499129205,19136,19136
1499134603,19134,19134
1499141835,19134,19134
1499149003,19135,19135
1499156205,19134,19134
1499163405,19130,19130
1499170617,19129,19129
1499177804,19128,19128
1499180517,19127,19127
1499181404,19652,19652
1499185004,19658,19658
1499188602,19659,19659
1499192206,19659,19659
1499196706,19658,19658
1499199410,19657,19657
1499206603,19660,19660
1499213805,19660,19660
1499215603,20018,20018
1499221005,20011,20011
1499226407,20010,20010
1499228228,20010,20010
1499235409,20015,20015
1499242600,20016,20016
1499249802,20014,20014
1499257010,20011,20011
1499264209,20009,20009
1499266925,20008,20008
1499271408,20011,20011
1499275912,20637,20637
1499278602,20641,20641
1499279502,20642,20642
1499285802,20638,20638
1499293010,20640,20640
1499296610,18110,18110
1499300210,18108,18108
1499307414,18106,18106
1499314640,18109,18109
1499321805,18107,18107
1499329009,18105,18105
1499332603,18106,18106
1499336209,18108,18108
1499343407,18111,18111
1499346126,16898,16898
1499350609,16896,16896
1499356012,16894,16894
1499357803,16896,16896
1499358712,18172,18172
1499365015,18186,18186
1499372210,18183,18183
1499379404,18184,18184
1499386610,18183,18183
1499393810,18174,18174
1499401033,18174,18174
1499408208,18170,18170
1499415405,18172,18172
1499419004,18173,18173
1499422603,18171,18171
1499429804,18174,18174
1499437006,18171,18171
1499440607,17583,17583
1499443324,17560,17560
1499444212,17556,17556
1499447807,17557,17557
1499451408,17562,17562
1499455911,18052,18052
1499458603,18052,18052
1499462200,18053,18053
1499465803,18051,18051
1499473003,18053,18053
1499480204,18048,18048
1499487439,18046,18046
1499494608,18048,18048
1499501800,18050,18050
1499509008,18047,18047
1499516203,18042,18042
1499523406,18043,18043
1499526126,18915,18915
1499527908,18916,18916
1499529724,17064,17064
1499530611,17069,17069
1499536922,17070,17070
1499537805,17067,17067
1499545000,17068,17068
1499552215,17069,17069
1499555805,17070,17070
1499559421,17075,17075
1499566621,17070,17070
1499573854,17069,17069
1499581023,17067,17067
1499588219,17068,17068
1499595420,17068,17068
1499602622,17070,17070
1499609819,17064,17064
1499617021,17062,17062
1499619737,15610,15610
1499624218,15609,15609
1499631422,15608,15608
1499638620,15612,15612
1499642220,15613,15613
1499645821,15618,15618
1499653014,15615,15615
1499660264,15619,15619
1499667419,15613,15613
1499674621,15613,15613
1499681819,15614,15614
1499689021,15612,15612
1499696218,15608,15608
1499699820,15609,15609
1499703422,15590,15590
1499709740,14453,14453
1499710623,14453,14453
1499717820,14454,14454
1499725020,14455,14455
1499732228,14461,14461
1499739417,14458,14458
1499743026,14459,14459
1499746646,14461,14461
1499752948,14462,14462
1499753821,15584,15584
1499754724,15861,15861
1499756542,15862,15862
1499760147,15863,15863
1499762840,15865,15865
1499769141,15858,15858
1499771827,15857,15857
1499778154,15858,15858
1499785361,15860,15860
1499788959,14837,14837
1499789834,14781,14781
1499793435,14782,14782
1499797038,14785,14785
1499804235,14787,14787
1499806049,16279,16279
1499811436,16277,16277
1499818645,16281,16281
1499825835,16278,16278
1499833074,16282,16282
1499840245,16281,16281
1499847436,16282,16282
1499854635,16290,16290
1499861847,16294,16294
1499869037,16292,16292
1499869939,16289,16289
1499870842,16288,16288
1499875365,14741,14741
1499876245,14741,14741
1499878036,14725,14725
1499878962,14714,14714
1499879843,14458,14458
1499880744,14456,14456
1499881634,14455,14455
1499883439,14458,14458
1499886162,14460,14460
1499887048,15252,15252
1499888832,15253,15253
1499890645,15249,15249
1499897838,15249,15249
1499905043,15247,15247
1499912240,15244,15244
1499919470,15247,15247
1499922160,15248,15248
1499926639,15248,15248
1499933833,15248,15248
1499941045,15248,15248
1499948227,15247,15247
1499955435,15254,15254
1499956339,15252,15252
1499962636,15252,15252
1499963536,15177,15177
1499969830,15176,15176
1499977037,15173,15173
1499978828,15135,15135
1499984234,15132,15132
1499987840,15131,15131
1499991434,15130,15130
1499998648,15133,15133
1500005870,15132,15132
1500013036,15126,15126
1500014836,15123,15123
1500020225,15124,15124
1500027433,15124,15124
1500034635,15120,15120
1500041833,15119,15119
1500043637,13296,13296
1500049028,13297,13297
1500055355,13268,13268
1500056230,13261,13261
1500059834,13262,13262
1500063425,13262,13262
1500070626,13261,13261
1500077836,13261,13261
1500085032,13256,13256
1500089536,12669,12669
1500092266,12666,12666
1500096737,12913,12913
1500097643,13956,13956
1500099442,13951,13951
1500106638,13948,13948
1500113844,13948,13948
1500121037,13939,13939
1500128240,13942,13942
1500135444,13939,13939
1500142642,13940,13940
1500146243,13941,13941
1500149838,13938,13938
1500157034,13940,13940
1500164233,13940,13940
1500166045,13108,13108
1500167836,13109,13109
1500171443,13107,13107
1500175037,13106,13106
1500178676,13105,13105
1500185837,13100,13100
1500193043,13097,13097
1500200236,13093,13093
1500207444,13092,13092
1500214636,13093,13093
1500221842,13092,13092
1500229040,13089,13089
1500236242,13087,13087
1500243434,13089,13089
1500248836,12321,12321
1500250641,12322,12322
1500257842,12320,12320
1500265072,12322,12322
1500272243,12322,12322
1500279434,12319,12319
1500286635,12323,12323
1500293836,12323,12323
1500297432,12322,12322
1500301038,12320,12320
1500308245,12320,12320
1500315434,12304,12304
1500316337,12299,12299
1500322639,12300,12300
1500329842,12305,12305
1500337038,12308,12308
1500338834,11576,11576
1500344237,11574,11574
1500351470,11576,11576
1500358639,11579,11579
1500365839,11573,11573
1500367636,11574,11574
1500373038,11573,11573
1500376646,11574,11574
1500380243,11576,11576
1500385638,11577,11577
1500387444,11577,11577
1500393763,11578,11578
1500394644,11577,11577
1500401834,11580,11580
1500409041,11573,11573
1500416238,11575,11575
1500423438,11573,11573
1500425232,10691,10691
1500430643,10693,10693
1500437870,10693,10693
1500445041,10697,10697
1500452234,10692,10692
1500459436,10688,10688
1500463033,10687,10687
1500466638,10690,10690
1500467539,10691,10691
1500468440,10692,10692
1500473838,10696,10696
1500481041,10695,10695
1500485537,10070,10070
1500488246,10073,10073
1500495439,10076,10076
1500501788,11089,11089
1500502644,11091,11091
1500509843,11096,11096
1500517035,11094,11094
1500524277,11097,11097
1500531440,11097,11097
1500538645,11095,11095
1500545838,11094,11094
1500553042,11098,11098
1500554843,11097,11097
1500560244,11096,11096
1500567739,11091,11091
1500578253,9814,9814
1500580050,9813,9813
1500581847,9811,9811
1500584582,9812,9812
1500585458,9811,9811
1500589057,9813,9813
1500592647,9812,9812
1500596251,9811,9811
1500598039,9812,9812
1500601651,9813,9813
1500603452,9813,9813
1500610686,9810,9810
1500617846,9812,9812
1500625048,9813,9813
1500632252,9815,9815
1500639453,9812,9812
1500643050,9811,9811
1500646652,9813,9813
1500650248,8772,8772
1500653845,8772,8772
1500661062,8768,8768
1500665551,8738,8738
1500666453,8739,8739
1500668250,8734,8734
1500671853,8734,8734
1500675450,8736,8736
1500679050,8695,8695
1500682652,8696,8696
1500688047,8697,8697
1500689847,8693,8693
1500697952,8693,8693
1500704248,8694,8694
1500711448,8694,8694
1500718649,8692,8692
1500719556,8693,8693
1500721378,8694,8694
1500725859,8691,8691
1500728572,8685,8685
1500729455,8684,8684
1500733055,8691,8691
1500735781,7957,7957
1500740259,7955,7955
1500743847,7957,7957
1500747444,7957,7957
1500754649,7959,7959
1500761846,7955,7955
1500762744,7360,7360
1500769055,7360,7360
1500776252,7358,7358
1500783495,7356,7356
1500790646,7358,7358
1500797861,7361,7361
1500803247,7360,7360
1500805054,7362,7362
1500808654,7361,7361
1500812246,7360,7360
1500815851,7359,7359
1500819459,7357,7357
1500822177,7345,7345
1500826651,7346,7346
1500830248,7345,7345
1500833852,7344,7344
1500837453,7343,7343
1500841057,7343,7343
1500848252,7343,7343
1500855452,7345,7345
1500862638,7344,7344
1500866251,7345,7345
1500869888,7339,7339
1500877045,7342,7342
1500884239,7345,7345
1500887843,7346,7346
1500891442,7345,7345
1500898642,7344,7344
1500905849,7344,7344
1500912146,7343,7343
1500913053,7348,7348
1500920242,7347,7347
1500927442,7349,7349
1500928344,7350,7350
1500934639,7348,7348
1500941839,7348,7348
1500949031,7350,7350
1500956274,7344,7344
1500963438,6614,6614
1500964338,5943,5943
1500970624,5942,5942
1500977822,5942,5942
1500981420,5941,5941
1500985025,5948,5948
1500992233,5946,5946
1500999425,5946,5946
1501003024,5937,5937
1501006620,5938,5938
1501013832,5938,5938
1501015619,4447,4447
1501021018,4449,4449
1501028226,4447,4447
1501035430,4447,4447
1501042660,4443,4443
1501046225,4442,4442
1501049826,4442,4442
1501057023,4440,4440
1501064231,4442,4442
1501071406,4443,4443
1501078611,4440,4440
1501085812,4436,4436
1501092105,4429,4429
1501093006,4425,4425
1501096603,3633,3633
1501100204,3634,3634
1501107409,3633,3633
1501114608,3632,3632
1501121811,3631,3631
1501129039,3631,3631
1501136203,3629,3629
1501143405,3631,3631
1501150602,3636,3636
1501157802,3636,3636
1501165007,3642,3642
1501172210,3643,3643
1501175820,3646,3646
1501179409,3646,3646
1501186606,3646,3646
1501190203,3647,3647
1501193804,3646,3646
1501201006,3647,3647
1501204610,3646,3646
1501208207,3644,3644
1501215436,3647,3647
1501222615,3651,3651
1501229805,3647,3647
1501237006,3650,3650
1501244210,3653,3653
1501251413,3655,3655
1501255008,3653,3653
1501257723,3641,3641
1501258606,3640,3640
1501265814,3651,3651
1501269407,3652,3652
1501273009,3654,3654
1501276601,3653,3653
1501280200,3657,3657
1501287411,3658,3658
1501294608,3659,3659
1501301832,3662,3662
1501305411,3659,3659
1501307208,2655,2655
1501309006,2654,2654
1501316207,2652,2652
1501319805,2651,2651
1501323400,2655,2655
1501330601,2653,2653
1501337814,2656,2656
1501341409,2657,2657
1501345003,2653,2653
1501352204,2655,2655
1501359410,2652,2652
1501366599,2652,2652
1501373801,2653,2653
1501381007,2645,2645
1501388234,2648,2648
1501391811,2647,2647
1501395405,2649,2649
1501397203,2650,2650
1501402602,2646,2646
1501409801,2648,2648
1501417010,2643,2643
1501424206,2643,2643
1501426004,2629,2629
1501427799,2628,2628
1501431400,2623,2623
1501435001,2624,2624
1501438602,2621,2621
1501445807,2619,2619
1501452996,2621,2621
1501460200,2622,2622
1501467404,2620,2620
1501471902,2614,2614
1501474631,2616,2616
1501481806,2612,2612
1501488999,2605,2605
1501492599,2605,2605
1501496198,2607,2607
1501503401,2603,2603
1501510597,2603,2603
1501514205,2604,2604
1501517799,2602,2602
1501525002,2598,2598
1501528597,2599,2599
1501532203,2600,2600
1501539402,2603,2603
1501546604,2607,2607
1501548403,2603,2603
1501553806,2612,2612
1501561027,2612,2612
1501568203,2609,2609
1501575399,2608,2608
1501582605,2610,2610
1501589804,2610,2610
1501597003,2609,2609
1501602404,2608,2608
1501604206,2607,2607
1501612304,2608,2608
1501618614,2608,2608
1501625806,2611,2611
1501632127,2610,2610
