DateTime,Entries,UniqueIPs
1499637802,1940,2009
1499641341,1940,2009
1499645002,1941,2010
1499648602,1939,2008
1499655742,1937,2006
1499659342,1938,2007
1499663001,1936,2005
1499670202,1935,2004
1499673802,1934,2002
1499677402,1934,2002
1499684542,1935,2003
1499691743,1935,2003
1499695404,1936,2004
1499699003,1938,2006
1499702543,1936,2004
1499706202,1937,2005
1499709743,1938,2006
1499720604,1938,2006
1499724202,1937,2005
1499727742,1939,2007
1499731342,1941,2009
1499735004,1941,2009
1499738543,1941,2009
1499742204,1943,2011
1499745803,1941,2009
1499753003,1940,2008
1499756544,1937,2005
1499760204,1938,2006
1499764369,1939,2007
1499767403,1938,2006
1499770946,1937,2005
1499774603,1939,2007
1499778204,1941,2009
1499781744,1939,2007
1499785399,1940,2008
1499789598,1938,2007
1499792598,1940,2009
1499796140,1941,2010
1499799739,1938,2007
1499803401,1939,2008
1499807000,1940,2009
1499810602,1937,2006
1499814199,1938,2007
1499817801,1939,2008
1499824999,1936,2005
1499828599,1938,2007
1499832199,1937,2006
1499839399,1938,2007
1499843000,1937,2006
1499846600,1936,2005
1499850139,1941,2010
1499853739,1948,2017
1499857407,1950,2019
1499860945,1947,2016
1499864568,1948,2017
1499868201,1950,2019
1499871800,1950,2019
1499879017,1951,2021
1499882602,1952,2022
1499886200,1947,2017
1499889800,1947,2017
1499893400,1948,2018
1499896940,1949,2019
1499900600,1945,2015
1499904201,1945,2015
1499907740,1945,2015
1499911401,1945,2015
1499915000,1946,2016
1499918600,1944,2014
1499922202,1943,2013
1499925741,1942,2012
1499929403,1944,2014
1499933012,1940,2010
1499936618,1941,2011
1499940204,1939,2009
1499943803,1939,2009
1499947344,1940,2010
1499950980,1944,2014
1499954603,1945,2015
1499961750,1945,2014
1499965343,1947,2016
1499969003,1947,2016
1499972544,1948,2017
1499976145,1945,2014
1499979803,1946,2015
1499983403,1947,2016
1499987003,1944,2013
1499990543,1944,2013
1499994157,1947,2016
1499997803,1944,2013
1500001344,1945,2014
1500005003,1942,2011
1500008603,1943,2012
1500012205,1941,2009
1500012949,1943,2011
1500019417,1942,2010
1500022944,1943,2011
1500026604,1945,2013
1500030204,1946,2014
1500033804,1946,2014
1500037346,1948,2016
1500041006,1948,2015
1500044604,1950,2017
1500048144,1951,2018
1500051804,1950,2017
1500055344,1947,2014
1500058944,1945,2012
1500066146,1943,2010
1500069804,1943,2010
1500073345,1943,2010
1500084205,1942,2009
1500087745,1940,2007
1500091345,1942,2009
1500094945,1940,2007
1500098545,1940,2007
1500102205,1942,2009
1500105805,1942,2009
1500113005,1945,2012
1500116545,1944,2011
1500123745,1941,2000
1500130945,1938,1997
1500134545,1940,1999
1500138145,1940,1999
1500141805,1942,2001
1500145405,1939,1998
1500148946,1940,1999
1500150852,1940,1999
1500159732,1939,1998
1500163391,1939,1998
1500166998,1936,1995
1500170593,1937,1996
1500174195,1934,1993
1500177791,1935,1994
1500184993,1935,1993
1500188601,1933,1991
1500192192,1932,1990
1500195792,1933,1991
1500199338,1933,1991
1500206594,1930,1988
1500210208,1932,1990
1500213738,1930,1988
1500217398,1932,1990
1500220995,1928,1986
1500221535,1926,1984
1500224542,1924,1982
1500228195,1921,1979
1500231800,1922,1980
1500239006,1923,1981
1500242595,1924,1982
1500249744,1925,1983
1500256995,1924,1982
1500258734,1924,1983
1500264194,1922,1981
1500267796,1924,1983
1500271396,1924,1983
1500274996,1923,1982
1500278595,1926,1985
1500282215,1924,1983
1500285795,1925,1984
1500289395,1923,1982
1500292965,1926,1985
1500296607,1924,1983
1500300195,1925,1984
1500307336,1923,1982
1500310995,1925,1984
1500314596,1924,1983
1500318195,1926,1985
1500321795,1927,1986
1500325337,1925,1984
1500328996,1926,1985
1500332596,1929,1988
1500336196,1924,1983
1500343395,1921,1980
1500346995,1922,1981
1500350595,1921,1980
1500354135,1921,1980
1500357796,1920,1979
1500361396,1920,1979
1500364937,1919,1978
1500368596,1920,1979
1500372196,1921,1980
1500375796,1917,1976
1500379336,1919,1978
1500382996,1919,1978
1500386536,1917,1976
1500397396,1918,1977
1500404597,1919,1978
1500408196,1919,1978
1500411796,1922,1981
1500415397,1923,1982
1500418996,1917,1976
1500422596,1919,1978
1500426197,1920,1979
1500429797,1916,1975
1500433397,1917,1976
1500433963,1917,1976
1500436998,1918,1977
1500440537,1916,1975
1500444197,1918,1977
1500447797,1917,1976
1500458597,1914,1973
1500462197,1913,1972
1500465798,1912,1971
1500469397,1914,1973
1500472998,1917,1976
1500476598,1915,1974
1500483738,1916,1975
1500487398,1917,1976
1500490998,1914,1973
1500494599,1914,1973
1500498198,1916,1975
1500501798,1914,1973
1500505398,1916,1975
1500508998,1917,1976
1500512598,1918,1977
1500516198,1917,1976
1500519738,1914,1973
1500523398,1915,1974
1500526998,1912,1971
1500530598,1914,1973
1500534198,1912,1971
1500537798,1913,1972
1500545000,1912,1971
1500548598,1913,1972
1500552198,1913,1972
1500555738,1915,1974
1500566600,1916,1975
1500570199,1918,1977
1500573739,1910,1969
1500577399,1912,1971
1500580999,1910,1969
1500584600,1912,1971
1500588199,1912,1971
1500591800,1911,1970
1500595399,1908,1967
1500598999,1909,1968
1500602599,1907,1966
1500606139,1908,1967
1500609739,1908,1967
1500613400,1909,1968
1500616999,1908,1967
1500620599,1905,1964
1500624199,1907,1966
1500627739,1909,1968
1500631339,1908,1967
1500634940,1908,1967
1500638601,1907,1966
1500642199,1908,1967
1500645740,1908,1967
1500649400,1909,1968
1500652940,1910,1969
1500660200,1910,1969
1500663740,1911,1970
1500667400,1907,1966
1500670940,1909,1968
1500674540,1910,1969
1500678140,1907,1966
1500688940,1906,1965
1500692600,1907,1966
1500696201,1908,1967
1500699800,1910,1969
1500703341,1912,1971
1500706941,1912,1971
1500710541,1913,1972
1500714142,1911,1970
1500721401,1910,1969
1500724941,1909,1968
1500728601,1909,1968
1500732201,1911,1970
1500735780,1912,1971
1500739421,1911,1970
1500743112,1913,1972
1500746586,1915,1974
1500750222,1916,1975
1500753975,1915,1974
1500757423,1916,1975
1500760973,1913,1972
1500764618,1914,1973
1500768219,1915,1974
1500771781,1912,1971
1500775384,1915,1974
1500779038,1913,1972
1500782578,1913,1972
1500786179,1912,1971
1500789778,1915,1974
1500793378,1913,1972
1500796756,1914,1973
1500800595,1913,1972
1500803295,1917,1976
1500804195,1914,1973
1500807736,1915,1974
1500811344,1914,1973
1500814995,1915,1974
1500818596,1914,1973
1500822196,1915,1974
1500825797,1914,1973
1500829401,1915,1974
1500832936,1915,1974
1500836596,1918,1977
1500840137,1915,1974
1500843797,1918,1977
1500847397,1913,1972
1500851009,1915,1974
1500854604,1917,1976
1500861799,1917,1976
1500865398,1916,1975
1500868997,1916,1975
1500872558,1918,1977
1500876215,1919,1978
1500879737,1919,1978
1500883401,1920,1979
1500886952,1919,1979
1500890608,1919,1979
1500894143,1917,1977
1500897805,1917,1977
1500905006,1916,1976
1500908606,1917,1977
1500912145,1920,1980
1500919405,1919,1978
1500922945,1920,1979
1500926545,1917,1976
1500933745,1916,1976
1500937346,1917,1977
1500941006,1916,1976
1500944547,1915,1975
