DateTime,AddedIPs,RemovedIPs
1499673802,2,0
1499677402,2,0
1499684542,2,3
1499688203,0,2
1499691743,3,2
1499695404,1,6
1499699003,3,0
1499702543,3,2
1499706202,2,1
1499709743,1,0
1499713403,0,4
1499716943,1,0
1499720604,1,3
1499724202,5,2
1499727742,4,3
1499731342,2,0
1499735004,1,2
1499738543,1,0
1499742204,2,4
1499749403,1,1
1499753003,0,3
1499756544,1,0
1499760204,2,1
1499764369,3,2
1499774603,2,0
1499778204,3,0
1499781744,0,4
1499785399,1,1
1499789598,4,2
1499792598,3,4
1499796140,1,0
1499799739,0,1
1499803401,1,0
1499807000,1,1
1499810602,4,8
1499814199,2,0
1499817801,1,0
1499821399,0,1
1499824999,0,3
1499828599,2,0
1499832199,1,6
1499835799,0,2
1499839399,2,0
1499843000,2,3
1499846600,0,2
1499850139,5,0
1499853739,7,3
1499857407,2,0
1499860945,1,3
1499864568,1,1
1499868201,3,5
1499871800,1,5
1499879017,2,4
1499882602,2,1
1499886200,0,2
1499889800,1,0
1499893400,2,1
1499896940,1,3
1499900600,1,0
1499904201,1,1
1499907740,1,2
1499911401,1,0
1499915000,1,5
1499918600,2,2
1499922202,2,0
1499925741,1,3
1499929403,2,0
1499933012,1,1
1499936618,2,0
1499940204,0,3
1499943803,1,2
1499947344,1,0
1499950980,5,1
1499954603,3,5
1499961750,3,2
1499965343,2,1
1499969003,3,0
1499972544,2,5
1499976145,0,1
1499979803,2,2
1499983403,1,2
1499987003,1,0
1499990543,1,2
1499994157,3,0
1499997803,1,3
1500001344,1,0
1500005003,0,3
1500008603,1,0
1500012205,1,6
1500012949,2,0
1500019417,0,1
1500022944,1,0
1500026604,3,1
1500030204,1,0
1500033804,1,2
1500037346,2,0
1500041006,1,1
1500044604,4,6
1500048144,3,0
1500051804,1,4
1500055344,0,1
1500062606,0,4
1500066146,2,0
1500069804,4,2
1500073345,1,0
1500084205,1,0
1500087745,1,2
1500091345,2,0
1500094945,0,1
1500098545,1,3
1500102205,2,0
1500105805,1,0
1500109405,0,2
1500113005,3,5
1500120145,0,1
1500123745,2,3
1500127345,0,1
1500130945,1,6
1500134545,3,3
1500138145,3,20
1500141805,2,0
1500145405,0,2
1500148946,1,1
1500150852,1,0
1500152591,0,3
1500156191,2,0
1500159732,2,3
1500163391,3,0
1500170593,1,0
1500174195,0,2
1500177791,1,2
1500184993,1,0
1500188601,0,2
1500195792,1,2
1500199338,1,2
1500203001,0,7
1500206594,1,1
1500210208,2,0
1500213738,2,0
1500217398,2,1
1500220995,1,0
1500221535,0,2
1500228195,0,1
1500231800,1,1
1500235341,0,2
1500239006,4,0
1500242595,3,2
1500246201,0,3
1500249744,1,0
1500253404,0,2
1500256995,0,1
1500258734,1,0
1500264194,1,4
1500267796,2,0
1500271396,3,7
1500274996,2,0
1500278595,3,1
1500282215,1,0
1500285795,1,2
1500289395,0,1
1500292965,3,2
1500296607,1,0
1500300195,2,4
1500303735,0,1
1500310995,2,0
1500314596,1,3
1500318195,3,0
1500321795,1,1
1500325337,2,6
1500328996,3,1
1500332596,3,0
1500336196,2,4
1500343395,1,4
1500346995,1,0
1500350595,2,2
1500354135,1,0
1500357796,1,1
1500361396,1,0
1500364937,0,5
1500368596,1,0
1500372196,1,3
1500375796,1,1
1500379336,2,2
1500382996,1,3
1500393796,0,2
1500397396,2,0
1500400937,1,1
1500404597,2,2
1500408196,2,4
1500411796,3,0
1500415397,3,3
1500418996,0,6
1500422596,3,0
1500426197,1,2
1500429797,1,2
1500433397,1,0
1500433963,1,0
1500436998,1,0
1500440537,3,2
1500444197,2,4
1500447797,2,0
1500454937,0,1
1500462197,1,5
1500465798,3,3
1500469397,3,0
1500472998,4,5
1500476598,2,0
1500483738,3,3
1500487398,1,0
1500490998,2,0
1500494599,1,0
1500498198,2,0
1500501798,0,4
1500505398,3,0
1500508998,4,4
1500512598,1,0
1500516198,0,1
1500519738,2,3
