DateTime,Entries,UniqueIPs
1499745803,930,930
1499749403,930,930
1499756544,930,930
1499760204,927,927
1499764369,928,928
1499767403,923,923
1499770946,921,921
1499774603,922,922
1499778204,922,922
1499785399,931,931
1499789598,932,932
1499792598,935,935
1499796140,936,936
1499799739,936,936
1499803401,933,933
1499807000,934,934
1499810602,935,935
1499814199,933,933
1499817801,934,934
1499824999,932,932
1499828599,933,933
1499832199,933,933
1499835799,932,932
1499839399,933,933
1499843000,929,929
1499846600,928,928
1499850139,931,931
1499853739,938,938
1499857407,936,936
1499860945,938,938
1499864568,936,936
1499868201,936,936
1499871800,932,932
1499879017,932,932
1499882602,932,932
1499886200,933,933
1499889800,934,934
1499893400,936,936
1499896940,935,935
1499900600,934,934
1499904201,932,932
1499907740,931,931
1499911401,932,932
1499915000,931,931
1499918600,930,930
1499922202,927,927
1499925741,928,928
1499929403,924,924
1499933012,924,924
1499936618,923,923
1499940204,920,920
1499943803,920,920
1499947344,920,920
1499950980,921,921
1499954603,922,922
1499961750,924,924
1499965343,923,923
1499969003,920,920
1499972544,919,919
1499976145,919,919
1499979803,915,915
1499983403,918,918
1499987003,916,916
1499990543,915,915
1499994157,917,917
1499997803,917,917
1500001344,916,916
1500005003,912,912
1500008603,911,911
1500012205,913,913
1500012949,914,914
1500019417,910,910
1500022944,910,910
1500026604,910,910
1500030204,907,907
1500033804,904,904
1500037346,905,905
1500041006,903,903
1500044604,907,907
1500048144,911,911
1500051804,906,906
1500058944,905,905
1500062606,905,905
1500066146,906,906
1500069804,906,906
1500073345,907,907
1500077006,906,906
1500080545,906,906
1500084205,906,906
1500087745,906,906
1500091345,907,907
1500098545,908,908
1500102205,906,906
1500105805,906,906
1500109405,900,900
1500113005,903,903
1500116545,906,906
1500123745,907,907
1500127345,906,906
1500130945,906,906
1500134545,904,904
1500138145,905,905
1500141805,904,904
1500145405,905,905
1500148946,906,906
1500150852,906,906
1500152591,911,911
1500156191,914,914
1500159732,916,916
1500163391,919,919
1500166998,917,917
1500170593,918,918
1500174195,917,917
1500177791,917,917
1500181392,918,918
1500184993,916,916
1500188601,915,915
1500195792,915,915
1500199338,911,911
1500203001,910,910
1500206594,909,909
1500210208,911,911
1500213738,911,911
1500217398,911,911
1500220995,912,912
1500231800,912,912
1500235341,911,911
1500239006,909,909
1500242595,907,907
1500246201,904,904
1500249744,905,905
1500253404,901,901
1500256995,899,899
1500258734,900,900
1500264194,900,900
1500267796,900,900
1500271396,902,902
1500274996,904,904
1500278595,905,905
1500282215,905,905
1500285795,903,903
1500292965,901,901
1500296607,902,902
1500300195,904,904
1500303735,909,909
1500307336,906,906
1500310995,904,904
1500314596,907,907
1500318195,909,909
1500321795,909,909
1500325337,912,912
1500328996,914,914
1500332596,917,917
1500336196,919,919
1500343395,919,919
1500346995,919,919
1500350595,921,921
1500354135,922,922
1500357796,922,922
1500361396,920,920
1500364937,921,921
1500368596,919,919
1500372196,918,918
1500375796,918,918
1500379336,917,917
1500382996,916,916
1500386536,917,917
1500390197,914,914
1500393796,912,912
1500397396,910,910
1500400937,912,912
1500404597,912,912
1500408196,913,913
1500411796,913,913
1500415397,915,915
1500418996,913,913
1500422596,917,917
1500426197,917,917
1500429797,918,918
1500433397,918,918
1500433963,918,918
1500436998,919,919
1500440537,920,920
1500444197,918,918
1500447797,919,919
1500451397,919,919
1500458597,915,915
1500462197,913,913
1500465798,916,916
1500469397,914,914
1500472998,917,917
1500476598,919,919
1500480199,917,917
1500483738,919,919
1500487398,917,917
1500490998,917,917
1500494599,915,915
1500498198,915,915
1500501798,915,915
1500505398,917,917
1500508998,919,919
1500512598,919,919
1500516198,916,916
1500519738,917,917
1500523398,911,911
1500526998,909,909
1500530598,910,910
1500534198,909,909
1500537798,907,907
1500541398,907,907
1500545000,906,906
1500548598,908,908
1500552198,908,908
1500555738,909,909
1500559399,906,906
1500562999,905,905
1500566600,906,906
1500570199,908,908
1500573739,907,907
1500577399,905,905
1500580999,907,907
1500584600,908,908
1500588199,904,904
1500591800,902,902
1500595399,900,900
1500598999,900,900
1500602599,894,894
1500606139,893,893
1500609739,893,893
1500613400,890,890
1500616999,889,889
1500620599,890,890
1500624199,892,892
1500627739,894,894
1500631339,894,894
1500634940,895,895
1500638601,893,893
1500642199,891,891
1500645740,892,892
1500649400,891,891
1500652940,891,891
1500656540,892,892
1500660200,892,892
1500663740,892,892
1500667400,889,889
1500670940,890,890
1500674540,889,889
1500678140,890,890
1500681802,887,887
1500688940,888,888
1500692600,886,886
1500696201,884,884
1500699800,884,884
1500703341,885,885
1500706941,885,885
1500710541,886,886
1500714142,885,885
1500717801,884,884
1500721401,884,884
1500724941,886,886
1500728601,888,888
1500732201,887,887
1500735780,889,889
1500739421,888,888
1500743112,888,888
1500746586,889,889
1500750222,890,890
1500753975,889,889
1500757423,889,889
1500760973,890,890
1500764618,891,891
1500768219,891,891
1500775384,894,894
1500779038,894,894
1500782578,896,896
1500786179,895,895
1500789778,891,891
1500793378,891,891
1500796756,890,890
1500797004,895,895
1500800595,901,901
1500803295,905,905
1500807736,903,903
1500811344,903,903
1500814995,903,903
1500818596,901,901
1500822196,900,900
1500825797,900,900
1500829401,903,903
1500832936,903,903
1500836596,905,905
1500840137,902,902
1500843797,904,904
1500847397,904,904
1500851009,905,905
1500854604,906,906
1500858197,904,904
1500861799,904,904
1500868997,903,903
1500872558,903,903
1500876215,901,901
1500879737,901,901
1500883401,897,897
1500886952,895,895
1500890608,893,893
1500894143,892,892
1500897805,894,894
1500901408,896,896
1500905006,897,897
1500908606,901,901
1500912145,901,901
1500919405,900,900
1500922945,901,901
1500926545,897,897
1500930145,898,898
1500933745,897,897
1500937346,893,893
1500941006,892,892
1500948147,891,891
1500951747,891,891
1500955346,889,889
1500958947,888,888
1500959697,889,889
1500962606,888,888
1500966206,886,886
1500969747,887,887
1500973408,889,889
1500977007,891,891
1500980569,893,893
1500984228,893,893
1500987825,894,894
1500991359,893,893
1500995007,888,888
1500998551,886,886
1501002147,884,884
1501005834,886,886
1501009370,889,889
1501016562,890,890
1501020147,890,890
1501023808,889,889
1501027407,891,891
1501030947,888,888
1501034635,888,888
1501038147,888,888
1501041828,889,889
1501042390,890,890
1501045423,889,889
1501049007,890,890
1501052553,891,891
1501056148,893,893
1501059749,894,894
1501063348,891,891
1501066948,892,892
1501070549,894,894
1501074208,893,893
1501077809,895,895
1501081349,895,895
1501085008,892,892
1501088608,890,890
1501092148,891,891
1501095830,889,889
1501099425,890,890
1501103008,894,894
1501106608,893,893
1501113809,892,892
1501117349,890,890
1501120948,889,889
1501124608,889,889
1501128149,891,891
1501131758,889,889
1501135349,891,891
1501138949,891,891
1501142609,889,889
1501146149,893,893
1501149810,888,888
1501153409,889,889
1501158094,891,891
1501160553,900,900
1501164213,904,904
1501167753,904,904
1501171413,905,905
1501174953,905,905
1501178554,901,901
1501182154,902,902
1501185814,902,902
1501189354,899,899
1501192954,902,902
1501196614,901,901
1501200214,899,899
1501203754,897,897
1501207354,896,896
1501211014,896,896
1501214554,894,894
1501218154,894,894
1501221814,893,893
1501225414,892,892
1501228954,894,894
1501232614,893,893
1501236154,894,894
1501239814,895,895
1501243414,894,894
1501247014,895,895
1501250555,893,893
1501254215,890,890
1501257755,890,890
1501261415,893,893
1501265015,902,902
1501268555,902,902
1501272155,903,903
1501275815,901,901
1501279355,898,898
1501283015,899,899
1501290155,898,898
1501293815,898,898
1501297355,900,900
1501301015,898,898
1501304615,896,896
1501308155,896,896
1501311768,892,892
1501315369,892,892
1501318969,891,891
1501322569,890,890
1501326169,892,892
1501329769,892,892
1501333429,893,893
1501336969,893,893
1501340569,893,893
1501344169,890,890
1501347829,888,888
1501351429,888,888
1501354969,885,885
1501358569,883,883
1501362169,885,885
1501365769,884,884
1501369369,885,885
1501372969,885,885
1501376569,882,882
1501380170,883,883
1501383769,883,883
1501387369,883,883
1501390970,884,884
1501394570,882,882
1501398170,883,883
1501401770,883,883
1501405370,881,881
1501409030,880,880
1501416170,879,879
1501419770,880,880
1501423370,880,880
1501430570,880,880
1501434170,881,881
1501437770,880,880
1501441370,878,878
1501448570,879,879
1501452170,881,881
1501455771,881,881
1501459431,883,883
1501463031,884,884
1501470171,884,884
1501473771,883,883
1501477371,883,883
1501480971,883,883
1501484571,883,883
1501488171,883,883
1501491771,881,881
1501495371,882,882
1501498971,879,879
1501502571,880,880
1501506171,881,881
1501509831,881,881
1501513371,881,881
1501516971,880,880
1501520571,879,879
1501524171,880,880
1501527771,881,881
1501531371,880,880
1501534971,883,883
1501538571,882,882
1501542171,881,881
1501545051,886,886
1501549372,887,887
1501553031,900,900
1501556572,899,899
1501560233,898,898
1501563832,899,899
1501567372,900,900
1501574572,898,898
1501578232,899,899
1501581773,899,899
1501585372,900,900
1501588972,899,899
1501592632,900,900
1501596173,901,901
1501599772,900,900
1501606972,901,901
1501610573,902,902
1501614174,901,901
1501617774,899,899
1501621372,899,899
1501625032,902,902
