DateTime,Entries,UniqueIPs
1499319686,240,240
1499323485,242,242
1499327347,240,240
1499335272,242,242
1499338943,242,242
1499342952,244,244
1499346770,239,239
1499350875,239,239
1499354676,238,238
1499370066,237,237
1499373878,238,238
1499377728,238,238
1499381581,238,238
1499389489,238,238
1499393327,239,239
1499397181,241,241
1499400995,243,243
1499408941,243,243
1499412770,239,239
1499416618,236,236
1499424276,237,237
1499439694,6,6
1499447295,9,9
1499451149,10,10
1499455009,14,14
1499458858,18,18
1499462669,22,22
1499466529,23,23
1499470629,24,24
1499474451,26,26
1499478269,29,29
1499489809,35,35
1499501327,40,40
1499505174,43,43
1499508983,46,46
1499516659,50,50
1499520526,52,52
1499528194,54,54
1499532032,62,62
1499535881,64,64
1499539722,68,68
1499543544,70,70
1499547379,73,73
1499562755,89,89
1499566593,103,103
1499570448,117,117
1499574261,129,129
1499578128,142,142
1499581973,158,158
1499585847,166,166
1499589643,166,166
1499593463,157,157
1499597329,153,153
1499601164,152,152
1499605002,146,146
1499608903,142,142
1499612688,141,141
1499616539,142,142
1499624185,138,138
1499628053,138,138
1499631868,140,140
1499635711,143,143
1499639565,147,147
1499643395,149,149
1499647217,149,149
1499651063,152,152
1499654897,150,150
1499658765,151,151
1499662590,155,155
1499666486,158,158
1499670273,161,161
1499674114,161,161
1499677956,161,161
1499685628,163,163
1499689454,166,166
1499693309,167,167
1499697168,171,171
1499704758,171,171
1499708462,171,171
1499712283,175,175
1499716130,176,176
1499719962,182,182
1499723800,182,182
1499727769,179,179
1499731475,176,176
1499735329,173,173
1499739416,173,173
1499743261,172,172
1499747070,173,173
1499750909,166,166
1499918938,166,166
1499922740,167,167
1499926580,167,167
1499930456,161,161
1499934268,157,157
1499938119,148,148
1499941955,151,151
1499945791,151,151
1499949633,155,155
1499953482,155,155
1499957324,153,153
1499961134,147,147
1499964991,148,148
1499968860,145,145
1499972846,145,145
1499976527,142,142
1499980344,149,149
1499984585,149,149
1499988258,156,156
1499992093,158,158
1499995962,161,161
1499999797,170,170
1500003628,170,170
1500007455,167,167
1500011310,160,160
1500015142,161,161
1500018973,157,157
1500026680,155,155
1500030515,155,155
1500034367,157,157
1500038447,158,158
1500042282,159,159
1500046436,161,161
1500054265,159,159
1500058111,154,154
1500061939,152,152
1500065789,150,150
1500069679,150,150
1500073491,147,147
1500077332,135,135
1500081158,131,131
1500089092,133,133
1500096713,131,131
1500100599,132,132
1500108276,132,132
1500112593,133,133
1500116481,136,136
1500127968,138,138
1500131778,139,139
1500135639,139,139
1500139473,142,142
1500143310,146,146
1500147164,160,160
1500151015,174,174
1500154833,183,183
1500158674,193,193
1500162761,200,200
1500166936,204,204
1500170677,209,209
1500174524,209,209
1500178366,216,216
1500182453,221,221
1500186269,225,225
1500190369,232,232
1500194215,236,236
1500198041,240,240
1500201860,242,242
1500206144,247,247
1500210135,259,259
1500213884,264,264
1500217887,270,270
1500225405,282,282
1500229261,290,290
1500233075,297,297
1500236920,300,300
1500240775,308,308
1500244605,315,315
1500248439,323,323
1500252289,331,331
1500256102,339,339
1500263796,349,349
1500267687,362,362
1500271479,366,366
1500275310,372,372
1500279150,374,374
1500283007,360,360
1500286859,325,325
