DateTime,Entries,UniqueIPs
1499405091,390,390
1499408945,376,376
1499412775,337,337
1499416622,338,338
1499420483,315,315
1499424281,315,315
1499439696,112,112
1499447296,224,224
1499451151,261,261
1499455010,304,304
1499458860,362,362
1499462672,389,389
1499466532,394,394
1499470632,370,370
1499474453,370,370
1499478271,346,346
1499489811,311,311
1499497478,292,292
1499501328,309,309
1499505176,363,363
1499508985,422,422
1499516661,399,399
1499520529,358,358
1499524375,364,364
1499528197,334,334
1499532033,312,312
1499535883,378,378
1499539725,445,445
1499543546,444,444
1499547381,417,417
1499555079,400,400
1499558948,385,385
1499562759,347,347
1499566595,285,285
1499570452,266,266
1499574264,263,263
1499578132,269,269
1499581977,223,223
1499585851,221,221
1499589648,210,210
1499593468,240,240
1499597335,241,241
1499601171,184,184
1499605006,212,212
1499608905,142,142
1499612691,196,196
1499616544,131,131
1499620446,140,140
1499624189,135,135
1499628057,143,143
1499631872,127,127
1499635716,136,136
1499639571,134,134
1499643399,152,152
1499647220,131,131
1499651065,131,131
1499654902,163,163
1499658769,205,205
1499662595,250,250
1499666492,205,205
1499670277,143,143
1499674118,136,136
1499677960,158,158
1499681788,130,130
1499685631,183,183
1499689459,140,140
1499693318,140,140
1499697171,158,158
1499700995,132,132
1499704763,170,170
1499708465,216,216
1499712287,242,242
1499716137,271,271
1499719965,308,308
1499723804,259,259
1499727774,199,199
1499731477,188,188
1499735333,241,241
1499739420,235,235
1499743266,217,217
1499747076,254,254
1499750913,210,210
1499919143,130,130
1499923007,159,159
1499926854,177,177
1499930669,228,228
1499934511,228,228
1499938355,229,229
1499942192,252,252
1499946037,151,151
1499949861,177,177
1499953972,150,150
1499958207,196,196
1499961892,232,232
1499965878,235,235
1499969579,168,168
1499973664,158,158
1499977497,238,238
1499981579,274,274
1499985385,296,296
1499989224,317,317
1499993053,287,287
1499996906,244,244
1500000754,202,202
1500004571,255,255
1500008471,280,280
1500012272,280,280
1500016105,240,240
1500019962,202,202
1500023792,171,171
1500027645,170,170
1500031480,151,151
1500035568,171,171
1500039393,152,152
1500043229,193,193
1500047504,154,154
1500051382,135,135
1500055350,224,224
1500059333,252,252
1500063156,174,174
1500067262,182,182
1500071332,174,174
1500075166,194,194
1500078995,196,196
1500082836,193,193
1500086678,214,214
1500090522,229,229
1500102052,242,242
1500105895,244,244
1500109738,223,223
1500117382,211,211
1500125069,238,238
1500128903,239,239
1500136830,233,233
1500140661,223,223
1500144773,280,280
1500148608,303,303
1500152479,330,330
1500156288,343,343
1500160133,337,337
1500163945,347,347
1500167820,358,358
1500171648,357,357
1500175481,334,334
1500179317,329,329
1500183428,323,323
1500187488,319,319
1500191330,299,299
1500195155,280,280
1500199055,287,287
1500202895,267,267
1500206928,282,282
1500211012,295,295
1500214871,303,303
1500218712,304,304
1500222537,303,303
1500226358,305,305
1500230196,316,316
1500234045,342,342
1500237881,350,350
1500241727,383,383
1500245564,380,380
1500249402,367,367
1500253329,360,360
1500257340,358,358
1500261164,331,331
1500265014,308,308
1500268856,308,308
1500272667,297,297
1500276529,307,307
1500280367,251,251
1500284183,245,245
1500288025,222,222
1500291900,238,238
1500295739,246,246
1500299583,241,241
1500303397,207,207
1500307508,200,200
1500311336,245,245
1500315180,137,137
1500319011,188,188
1500322863,130,130
1500326678,154,154
1500330777,164,164
1500334620,176,176
1500338440,166,166
1500342283,156,156
1500346137,179,179
1500349964,185,185
1500353908,174,174
1500357769,129,129
1500361497,201,201
1500365340,212,212
1500369168,245,245
1500372992,199,199
1500376859,185,185
1500380667,141,141
1500384535,151,151
1500388362,174,174
1500392193,160,160
1500396024,160,160
1500399860,157,157
1500403730,155,155
1500407577,176,176
1500411763,196,196
1500415500,224,224
1500419340,239,239
1500423422,252,252
1500427267,255,255
1500431330,235,235
1500435174,208,208
1500439025,246,246
1500442865,264,264
1500446672,284,284
1500450786,281,281
1500454651,225,225
1500458563,244,244
1500462295,243,243
1500466148,246,246
1500469980,278,278
1500473798,146,146
1500477645,187,187
1500481468,148,148
1500485331,202,202
1500489162,274,274
1500493005,287,287
1500496862,242,242
1500500694,230,230
1500504540,158,158
1500508375,160,160
1500512229,167,167
1500516157,167,167
1500519885,207,207
1500523707,258,258
1500527562,248,248
1500531664,169,169
1500535463,151,151
1500539326,207,207
1500543184,214,214
1500547029,229,229
1500550853,236,236
1500554676,238,238
1500558508,257,257
1500562364,220,220
1500566199,148,148
1500570095,140,140
1500573784,208,208
1500577733,253,253
1500581819,277,277
1500585664,243,243
1500589490,173,173
1500593311,174,174
1500597158,188,188
1500600999,184,184
1500604848,175,175
1500608692,190,190
1500612541,180,180
1500616357,182,182
1500620196,210,210
1500624143,218,218
1500627886,271,271
1500631749,229,229
1500635579,229,229
1500639432,234,234
1500643263,238,238
1500647345,235,235
1500651178,234,234
1500655006,239,239
1500658837,246,246
1500662936,266,266
1500666779,269,269
1500670614,270,270
1500674507,287,287
1500678289,306,306
1500682121,321,321
1500685975,338,338
1500689812,339,339
1500693672,340,340
1500697471,345,345
1500701309,346,346
1500705154,365,365
1500708982,341,341
1500712835,342,342
1500716676,332,332
1500720524,349,349
1500724356,324,324
1500728185,329,329
1500732128,300,300
1500743832,266,266
1500747907,294,294
1500751734,357,357
1500755570,391,391
1500759401,409,409
1500763134,401,401
1500770673,375,375
1500774513,370,370
1500778387,360,360
1500782207,380,380
1500786110,376,376
1500790135,357,357
1500793958,361,361
1500797786,368,368
1500801644,365,365
1500805471,342,342
1500813163,332,332
1500817002,308,308
1500820836,328,328
1500824657,313,313
1500828510,346,346
1500836202,358,358
1500843890,394,394
1500847726,396,396
1500855414,385,385
1500859262,372,372
1500863317,349,349
1500867159,340,340
1500870996,335,335
1500878676,351,351
1500882526,360,360
1500890185,326,326
1500894114,335,335
1500898138,333,333
1500902221,336,336
1500909874,342,342
1500913719,357,357
1500917557,379,379
1500921410,381,381
1500925227,413,413
1500929063,407,407
1500932913,395,395
1500936740,393,393
1500944527,369,369
1500948283,388,388
1500952123,404,404
1500955972,382,382
1500960072,372,372
1500963968,349,349
1500967727,318,318
1500971572,275,275
1500975406,259,259
1500979233,261,261
1500983064,249,249
1500987189,252,252
1500991305,245,245
1500995098,259,259
1500998954,246,246
1501002826,257,257
1501006627,274,274
1501010438,282,282
1501014276,297,297
1501018141,295,295
1501021955,182,182
1501025813,154,154
1501029658,190,190
1501033485,138,138
1501037313,194,194
1501041154,184,184
1501045006,143,143
1501048905,202,202
1501052702,162,162
1501056541,164,164
1501060626,190,190
1501064480,147,147
1501068297,179,179
1501072381,159,159
1501076225,156,156
1501080066,251,251
1501083874,262,262
1501087720,278,278
1501091560,285,285
1501095398,310,310
1501099315,319,319
1501102988,311,311
1501106697,295,295
1501110534,153,153
1501114390,165,165
1501118463,155,155
1501122528,158,158
1501126388,176,176
1501130223,152,152
1501134075,153,153
1501137887,179,179
1501141739,149,149
1501145595,202,202
1501149396,243,243
1501153306,286,286
1501157355,301,301
1501161183,315,315
1501165043,314,314
1501169113,310,310
1501172947,329,329
1501176786,282,282
1501180858,298,298
1501184701,342,342
1501188530,351,351
1501192379,322,322
1501196211,303,303
1501200301,279,279
1501204446,279,279
1501208228,285,285
1501212062,299,299
