DateTime,Entries,UniqueIPs
1499377735,409,409
1499381588,414,414
1499385733,413,413
1499412780,410,410
1499416627,408,408
1499424285,408,408
1499439697,36,36
1499447297,129,129
1499451152,148,148
1499455013,174,174
1499458861,199,199
1499462674,239,239
1499466534,268,268
1499470633,311,311
1499474456,357,357
1499478273,384,384
1499489813,402,402
1499497480,427,427
1499501330,423,423
1499505179,424,424
1499508987,419,419
1499516663,420,420
1499520530,420,420
1499524378,418,418
1499528199,420,420
1499532035,405,405
1499535886,405,405
1499539727,407,407
1499543549,421,421
1499547383,421,421
1499555081,422,422
1499558952,422,422
1499562761,211,211
1499566599,147,147
1499570456,151,151
1499574267,134,134
1499578136,123,123
1499581980,128,128
1499585856,135,135
1499589652,123,123
1499593472,140,140
1499597339,148,148
1499601175,161,161
1499605009,160,160
1499608909,149,149
1499612695,143,143
1499616548,128,128
1499620449,128,128
1499624192,123,123
1499628060,150,150
1499631875,162,162
1499635721,177,177
1499639577,168,168
1499643401,123,123
1499647224,130,130
1499651068,123,123
1499654906,127,127
1499658774,144,144
1499662598,181,181
1499666496,162,162
1499670281,129,129
1499674120,130,130
1499677962,129,129
1499681790,126,126
1499685635,155,155
1499689465,152,152
1499693325,153,153
1499697175,130,130
1499701002,131,131
1499704767,129,129
1499708467,125,125
1499712290,157,157
1499716142,176,176
1499719968,217,217
1499723809,169,169
1499727781,129,129
1499731480,128,128
1499735335,130,130
1499739424,128,128
1499743269,121,121
1499747083,156,156
1499750917,165,165
1499919406,127,127
1499923239,123,123
1499927062,123,123
1499930914,128,128
1499934773,124,124
1499938599,145,145
1499942428,158,158
1499946278,151,151
1499950124,161,161
1499953975,177,177
1499958213,149,149
1499961896,130,130
1499965881,138,138
1499969582,134,134
1499973667,133,133
1499977500,207,207
1499981583,168,168
1499985388,156,156
1499989227,178,178
1499993055,128,128
1499996908,133,133
1500000758,244,244
1500004574,149,149
1500008473,132,132
1500012276,134,134
1500016109,125,125
1500019965,141,141
1500023796,148,148
1500027649,150,150
1500031484,148,148
1500035572,149,149
1500039396,149,149
1500043232,149,149
1500047508,149,149
1500051384,150,150
1500055353,143,143
1500059337,141,141
1500063158,142,142
1500067266,138,138
1500071337,130,130
1500075170,132,132
1500078997,136,136
1500082838,127,127
1500086681,129,129
1500102055,133,133
1500109740,136,136
1500117385,138,138
1500125071,141,141
1500136834,141,141
1500140663,151,151
1500144775,159,159
1500148610,170,170
1500152482,178,178
1500156290,191,191
1500160136,203,203
1500163947,223,223
1500167822,237,237
1500171653,241,241
1500175483,250,250
1500179322,260,260
1500183430,275,275
1500187491,298,298
1500191333,313,313
1500195158,320,320
1500199058,330,330
1500202899,343,343
1500206930,353,353
1500211015,364,364
1500214875,375,375
1500218715,387,387
1500222539,408,408
1500226360,423,423
1500230200,431,431
1500234048,434,434
1500237884,440,440
1500241729,441,441
1500245567,441,441
1500249406,442,442
1500253332,443,443
1500257342,442,442
1500261166,442,442
1500265017,443,443
1500268861,443,443
1500272669,441,441
1500276533,439,439
1500280371,144,144
1500284191,148,148
1500288030,140,140
1500291905,151,151
1500295743,143,143
1500299588,153,153
1500303400,137,137
1500307511,134,134
1500311340,132,132
1500315184,140,140
1500319014,160,160
1500322866,135,135
1500326683,150,150
1500330781,169,169
1500334622,160,160
1500338443,158,158
1500342286,156,156
1500346139,159,159
1500349968,176,176
1500353911,143,143
1500357773,127,127
1500361501,128,128
1500365343,123,123
1500369173,128,128
1500372996,137,137
1500376862,138,138
1500380670,136,136
1500384545,135,135
1500388366,142,142
1500392197,150,150
1500396029,151,151
1500399863,150,150
1500403733,150,150
1500407581,136,136
1500411766,135,135
1500415503,130,130
1500419343,126,126
1500423425,132,132
1500427269,126,126
1500431335,137,137
1500435178,143,143
1500439030,142,142
1500442869,136,136
1500446677,162,162
1500450791,142,142
1500454654,148,148
1500458568,150,150
1500462301,138,138
1500466158,139,139
1500469984,158,158
1500473801,144,144
1500477649,147,147
1500481470,144,144
1500485338,161,161
1500489168,143,143
1500493009,142,142
1500496870,152,152
1500500699,140,140
1500504544,150,150
1500508379,152,152
1500512237,156,156
1500516168,170,170
1500519890,139,139
1500523711,175,175
1500527565,129,129
1500531667,142,142
1500535465,131,131
1500539329,131,131
1500543187,121,121
1500547033,141,141
1500550857,154,154
1500554679,135,135
1500558510,136,136
1500562368,127,127
1500566201,137,137
1500570100,128,128
1500573787,123,123
1500577736,126,126
1500581824,145,145
1500585667,140,140
1500589494,168,168
1500593315,169,169
1500597162,171,171
1500601002,169,169
1500604854,167,167
1500608694,179,179
1500612543,178,178
1500616362,179,179
1500620206,177,177
1500624149,168,168
1500627890,157,157
1500631753,162,162
1500635582,154,154
1500639435,159,159
1500643265,167,167
1500647349,181,181
1500651182,181,181
1500655008,172,172
1500658839,186,186
1500662939,202,202
1500666782,225,225
1500670617,250,250
1500674511,269,269
1500678294,285,285
1500682124,292,292
1500685977,292,292
1500689815,294,294
1500693675,293,293
1500697474,306,306
1500701311,335,335
1500705157,348,348
1500708985,365,365
1500712838,383,383
1500716679,394,394
1500720527,404,404
1500724359,412,412
1500728188,423,423
1500732130,426,426
1500743834,429,429
1500747912,432,432
1500751738,431,431
1500755572,441,441
1500759404,446,446
1500763136,447,447
1500770675,444,444
1500774515,443,443
1500778390,444,444
1500782210,441,441
1500786115,440,440
1500790137,441,441
1500793960,441,441
1500797788,442,442
1500801646,443,443
1500805474,445,445
1500813166,447,447
1500817006,449,449
1500820839,451,451
1500824659,450,450
1500828512,438,438
1500836205,436,436
1500843893,432,432
1500847728,428,428
1500855417,421,421
1500859266,438,438
1500863319,451,451
1500867161,449,449
1500870999,449,449
1500878679,451,451
1500882529,451,451
1500890188,451,451
1500894117,451,451
1500898140,450,450
1500902223,449,449
1500909876,447,447
1500917559,440,440
1500921413,445,445
1500925229,445,445
1500929066,448,448
1500932916,447,447
1500936742,447,447
1500944529,446,446
1500948286,449,449
1500952125,450,450
1500955974,300,300
1500960076,163,163
1500963971,165,165
1500967731,168,168
1500971576,164,164
1500975408,166,166
1500979237,164,164
1500983067,145,145
1500987192,171,171
1500991312,166,166
1500995102,156,156
1500998959,159,159
1501002830,165,165
1501006632,144,144
1501010444,176,176
1501014278,157,157
1501018144,161,161
1501021960,155,155
1501025816,168,168
1501029663,156,156
1501033488,147,147
1501037318,150,150
1501041158,150,150
1501045011,156,156
1501048910,163,163
1501052707,153,153
1501056545,150,150
1501060631,153,153
1501064482,156,156
1501068301,153,153
1501072385,151,151
1501076230,154,154
1501080070,175,175
1501083879,186,186
1501087724,176,176
1501091564,171,171
1501095402,155,155
1501099319,176,176
1501102992,167,167
1501106700,165,165
1501110536,152,152
1501114393,151,151
1501118468,156,156
1501122533,151,151
1501126392,152,152
1501130228,152,152
1501134080,155,155
1501137890,151,151
1501141742,163,163
1501145601,164,164
1501149401,163,163
1501153310,149,149
1501157360,166,166
1501161188,159,159
1501165046,172,172
1501169117,150,150
1501172951,143,143
1501176791,163,163
1501180865,182,182
1501184706,187,187
1501188532,184,184
1501192384,193,193
1501196218,186,186
1501200304,199,199
1501204452,188,188
1501208231,194,194
1501212067,177,177
1501215906,183,183
1501219743,167,167
1501223590,184,184
1501227419,171,171
1501231251,172,172
1501235084,188,188
1501238951,194,194
1501242810,235,235
1501246601,232,232
1501250521,169,169
1501254531,162,162
1501258379,150,150
1501262201,172,172
1501266057,250,250
1501269865,248,248
1501273743,240,240
1501277585,263,263
1501281409,202,202
1501285258,195,195
1501289095,199,199
1501292935,203,203
1501296781,251,251
1501300626,237,237
1501304531,226,226
1501308536,246,246
1501312386,184,184
1501316214,206,206
1501320040,197,197
1501323866,216,216
1501327936,248,248
