DateTime,Entries,UniqueIPs
1498726161,140,140
1498729953,138,138
1498733834,140,140
1498737914,143,143
1498741743,145,145
1498745573,144,144
1498749419,145,145
1498753244,146,146
1498757096,147,147
1498761195,147,147
1498765047,145,145
1498768847,143,143
1498772693,144,144
1498776813,145,145
1498780645,145,145
1498788545,145,145
1498792395,145,145
1498804149,141,141
1498808005,142,142
1498815640,144,144
1498819490,147,147
1498823585,143,143
1498827795,159,159
1498831498,193,193
1498835330,193,193
1498843007,194,194
1498850677,194,194
1498854544,191,191
1498862205,189,189
1498866055,188,188
1498869904,188,188
1498873736,188,188
1498881414,186,186
1498889333,186,186
1498893184,184,184
1498897271,181,181
1498901094,182,182
1498904936,185,185
1498908776,183,183
1498912587,181,181
1498916446,179,179
1498920291,180,180
1498927978,179,179
1498935690,179,179
1498939750,180,180
1498943575,180,180
1498947636,180,180
1498955357,178,178
1498963015,179,179
1498966868,181,181
1498970683,182,182
1498989891,172,172
1498993751,174,174
1498997827,172,172
1499009332,173,173
1499017250,172,172
1499025184,174,174
1499029043,175,175
1499032935,176,176
1499044392,174,174
1499048213,176,176
1499052170,175,175
1499055878,176,176
1499059746,177,177
1499063563,171,171
1499067408,167,167
1499071257,159,159
1499075083,154,154
1499079187,151,151
1499087363,134,134
1499091187,126,126
1499095011,124,124
1499098861,123,123
1499102941,123,123
1499106780,124,124
1499114467,125,125
1499118303,129,129
1499122149,132,132
1499125984,134,134
1499129844,135,135
1499133758,137,137
1499141329,138,138
1499145166,140,140
1499149287,141,141
1499153078,140,140
1499156945,136,136
1499160782,138,138
1499164630,142,142
1499168462,146,146
1499172282,144,144
1499176383,141,141
1499180212,142,142
1499184185,143,143
1499187891,144,144
1499191734,144,144
1499195574,140,140
1499199416,139,139
1499203277,140,140
1499207143,137,137
1499210940,137,137
1499218611,136,136
1499222503,136,136
1499226243,140,140
1499230156,139,139
1499233974,142,142
1499237851,143,143
1499241696,145,145
1499245765,146,146
1499249576,146,146
1499253427,157,157
1499257296,159,159
1499261084,161,161
1499265002,160,160
1499269116,155,155
1499272861,156,156
1499277087,156,156
1499280810,158,158
1499284644,162,162
1499288546,162,162
1499296169,161,161
1499299994,158,158
1499304083,157,157
1499307999,154,154
1499311756,154,154
1499315574,157,157
1499319702,157,157
1499323500,158,158
1499327364,159,159
1499335283,163,163
1499338954,166,166
1499342965,165,165
1499346785,162,162
1499350885,161,161
1499354687,158,158
1499370077,162,162
1499373895,163,163
1499377741,162,162
1499381591,163,163
1499397191,162,162
1499405103,161,161
1499412787,160,160
1499416632,161,161
1499420491,160,160
1499424289,156,156
1499439699,5,5
1499447298,14,14
1499455014,15,15
1499466535,19,19
1499489814,24,24
1499497482,25,25
1499501332,26,26
1499508989,27,27
1499516665,28,28
1499520532,32,32
1499532037,34,34
1499535888,35,35
1499539729,36,36
1499543551,37,37
1499555083,38,38
1499558953,39,39
1499578139,40,40
1499581983,41,41
1499585861,42,42
1499593476,45,45
1499605011,46,46
1499612700,48,48
1499628064,50,50
1499631878,51,51
1499635723,54,54
1499639582,56,56
1499643405,58,58
1499647226,59,59
1499651072,60,60
1499654909,64,64
1499658777,66,66
1499662602,69,69
1499666503,72,72
1499670284,74,74
1499674124,77,77
1499677965,79,79
1499681793,83,83
1499685641,86,86
1499689471,87,87
1499693333,88,88
1499697178,92,92
1499704770,94,94
1499708471,96,96
1499712294,97,97
1499716147,99,99
1499719971,102,102
1499723814,104,104
1499731484,105,105
1499735338,107,107
1499739427,110,110
1499743272,113,113
1499747087,115,115
1499920841,119,119
1499924660,121,121
1499932360,122,122
1499936196,123,123
1499940080,126,126
1499943875,127,127
1499951561,129,129
1499959239,130,130
1499966904,132,132
1499970736,134,134
1499974615,138,138
1499978684,139,139
1499982538,140,140
1500001701,142,142
1500005422,143,143
1500016851,146,146
1500024512,147,147
1500028371,148,148
1500032196,146,146
1500036046,144,144
1500043726,146,146
1500047512,148,148
1500055358,149,149
1500063162,149,149
1500067271,149,149
1500071341,150,150
1500086685,151,151
1500090528,152,152
1500102062,152,152
1500109743,151,151
1500117388,148,148
1500125075,147,147
1500128908,146,146
1500136837,148,148
1500152485,149,149
1500175487,148,148
1500183434,149,149
1500191336,150,150
1500195161,150,150
1500199061,151,151
1500202905,151,151
1500211018,152,152
1500218718,151,151
1500222543,150,150
1500234056,149,149
1500241732,147,147
1500245570,146,146
1500261169,147,147
1500272673,147,147
1500280377,147,147
1500288039,148,148
1500299592,145,145
1500311344,144,144
1500319018,145,145
1500326687,146,146
1500338448,147,147
1500346144,146,146
1500349973,144,144
