DateTime,Entries,UniqueIPs
1499417079,217,217
1499420955,217,217
1499424793,215,215
1499428632,213,213
1499432483,213,213
1499440397,21,21
1499444216,39,39
1499448048,48,48
1499451858,50,50
1499455970,64,64
1499459792,71,71
1499463644,80,80
1499467476,92,92
1499471323,100,100
1499475145,108,108
1499479379,112,112
1499486917,128,128
1499490769,141,141
1499494592,144,144
1499498457,147,147
1499502281,154,154
1499506121,155,155
1499509967,162,162
1499517634,180,180
1499525312,192,192
1499533009,204,204
1499536957,209,209
1499540678,219,219
1499544505,226,226
1499552349,240,240
1499559893,241,241
1499563733,241,241
1499567551,242,242
1499571388,238,238
1499575218,236,236
1499579072,234,234
1499582933,232,232
1499586753,232,232
1499590602,233,233
1499594700,233,233
1499598512,231,231
1499602368,231,231
1499606184,230,230
1499610027,234,234
1499614131,233,233
1499617975,230,230
1499621795,236,236
1499625508,236,236
1499629482,240,240
1499633332,242,242
1499637149,242,242
1499641007,239,239
1499644902,236,236
1499648677,235,235
1499652780,236,236
1499656694,233,233
1499660470,231,231
1499664261,232,232
1499668122,229,229
1499671987,229,229
1499675792,220,220
1499679639,212,212
1499683471,213,213
1499687322,211,211
1499691167,211,211
1499695011,205,205
1499698898,200,200
1499702732,203,203
1499706549,201,201
1499710371,199,199
1499714198,200,200
1499718054,205,205
1499721868,203,203
1499725721,206,206
1499729570,204,204
1499733400,208,208
1499737244,203,203
1499741060,199,199
1499744922,196,196
1499748763,196,196
1499752585,197,197
1499922527,207,207
1499926357,213,213
1499930459,213,213
1499934270,217,217
1499938122,217,217
1499941957,221,221
1499945796,222,222
1499949636,217,217
1499953486,217,217
1499957327,217,217
1499961137,218,218
1499964995,222,222
1499968865,222,222
1499972851,224,224
1499976535,230,230
1499980351,233,233
1499984592,233,233
1499988266,233,233
1499992098,235,235
1499995970,236,236
1499999803,241,241
1500003635,237,237
1500007461,237,237
1500011318,235,235
1500015150,228,228
1500018982,229,229
1500022874,230,230
1500026688,231,231
1500030522,233,233
1500034376,231,231
1500038457,234,234
1500042289,232,232
1500046442,226,226
