DateTime,Entries,UniqueIPs
1499459794,437,437
1499463645,411,411
1499467478,410,410
1499471326,383,383
1499475146,426,426
1499479381,433,433
1499486919,413,413
1499490771,435,435
1499494594,389,389
1499498459,407,407
1499502283,403,403
1499506124,438,438
1499509969,380,380
1499517636,430,430
1499525316,435,435
1499533011,435,435
1499536960,438,438
1499540681,436,436
1499544507,435,435
1499552352,362,362
1499559895,341,341
1499563738,362,362
1499567554,386,386
1499571397,417,417
1499575224,422,422
1499579074,424,424
1499582936,434,434
1499586759,375,375
1499590604,417,417
1499594703,439,439
1499598515,443,443
1499602378,441,441
1499606188,447,447
1499610030,447,447
1499614140,445,445
1499617979,443,443
1499621798,435,435
1499625512,428,428
1499629487,420,420
1499633336,419,419
1499637151,404,404
1499641011,374,374
1499644911,427,427
1499648681,413,413
1499652782,429,429
1499656697,432,432
1499660474,402,402
1499664266,429,429
1499668131,414,414
1499671990,430,430
1499675797,386,386
1499679643,432,432
1499683475,424,424
1499687329,434,434
1499691171,436,436
1499695013,436,436
1499698900,437,437
1499702738,435,435
1499706554,436,436
1499710376,444,444
1499714201,439,439
1499718059,436,436
1499721872,405,405
1499725724,412,412
1499729573,394,394
1499733403,431,431
1499737248,437,437
1499741063,418,418
1499744926,410,410
1499748766,410,410
1499752591,438,438
1499922743,441,441
1499926583,437,437
1499930464,418,418
1499934272,432,432
1499938125,409,409
1499941963,444,444
1499945801,441,441
1499949639,443,443
1499953490,443,443
1499957330,438,438
1499961139,444,444
1499964999,438,438
1499968871,436,436
1499972855,436,436
1499976537,431,431
1499980353,429,429
1499984597,395,395
1499988269,407,407
1499992102,415,415
1499995973,426,426
1499999806,435,435
1500003640,421,421
1500007465,423,423
1500011320,428,428
1500015153,419,419
1500018988,414,414
1500022880,439,439
1500026691,418,418
1500030524,439,439
1500034380,413,413
1500038462,442,442
1500042293,380,380
1500046445,442,442
1500050466,439,439
1500054277,376,376
1500058120,443,443
1500061948,448,448
1500065811,444,444
1500069703,411,411
1500073501,368,368
1500077342,365,365
1500081171,374,374
1500089099,420,420
1500092951,427,427
1500096720,383,383
1500100607,412,412
1500108285,384,384
1500112601,444,444
1500116492,361,361
1500127975,437,437
1500131789,433,433
1500135647,371,371
1500139482,447,447
1500143325,446,446
1500147173,449,449
1500151024,450,450
1500154849,448,448
1500158682,445,445
1500162770,450,450
1500166946,447,447
1500170685,446,446
1500174533,450,450
1500178374,449,449
1500182466,448,448
1500186277,450,450
1500190378,445,445
1500194224,447,447
1500198050,451,451
1500201868,447,447
1500206153,449,449
1500210143,449,449
1500213893,444,444
1500217896,450,450
1500225414,450,450
1500229269,450,450
1500233084,449,449
1500236931,450,450
1500240784,450,450
1500244614,450,450
1500248450,449,449
1500252298,450,450
1500256110,451,451
1500263809,446,446
1500267699,446,446
1500271488,450,450
1500275320,451,451
1500279163,449,449
1500283026,448,448
1500286874,446,446
1500290693,444,444
1500294556,444,444
1500298370,449,449
1500302207,448,448
1500306047,447,447
1500309895,446,446
1500313731,441,441
1500317579,435,435
1500321407,433,433
1500325285,420,420
1500329814,397,397
1500333658,375,375
1500337493,357,357
1500341324,403,403
1500345194,407,407
1500349014,405,405
1500352864,385,385
1500356704,431,431
1500360538,405,405
1500364389,438,438
1500368195,370,370
1500372297,439,439
1500376130,378,378
1500379976,433,433
1500383796,432,432
1500387641,441,441
1500391491,440,440
1500395328,438,438
1500399176,440,440
1500403283,441,441
1500407101,441,441
1500410916,435,435
1500414770,387,387
1500418591,382,382
1500422542,376,376
1500426303,410,410
1500430166,426,426
1500433998,447,447
1500438070,450,450
1500441887,443,443
1500445715,447,447
1500449572,449,449
1500453408,450,450
1500457254,449,449
1500461091,447,447
1500465189,448,448
1500469040,445,445
1500472992,443,443
1500476942,449,449
1500480785,451,451
1500484617,450,450
1500488478,447,447
1500492300,449,449
1500496140,448,448
1500499964,448,448
1500504065,451,451
1500507893,447,447
1500511752,447,447
1500515589,447,447
1500519424,446,446
1500523312,447,447
1500527342,446,446
1500531175,122,122
1500535001,179,179
1500538867,369,369
1500542675,430,430
1500546532,422,422
1500550361,444,444
1500554208,415,415
1500558040,442,442
1500561886,393,393
1500565744,447,447
1500569548,446,446
1500573801,354,354
1500577747,438,438
1500581840,442,442
1500585684,417,417
1500589505,415,415
1500593332,373,373
1500597181,411,411
1500601018,418,418
1500604876,418,418
1500608706,410,410
1500612554,428,428
1500616386,409,409
1500620231,443,443
1500624170,446,446
1500627906,446,446
1500631769,447,447
1500635597,444,444
1500639449,450,450
1500643279,448,448
1500647363,449,449
1500651202,444,444
1500655018,443,443
1500658849,446,446
1500662950,448,448
1500666798,448,448
1500670632,447,447
1500674524,447,447
1500678308,448,448
1500682139,451,451
1500685989,449,449
1500689829,448,448
1500693688,449,449
1500697484,445,445
1500701320,447,447
1500705167,448,448
1500708996,445,445
1500712849,447,447
1500716689,450,450
1500720537,446,446
1500724377,449,449
1500728201,448,448
1500732142,450,450
1500743844,447,447
1500747923,443,443
1500751750,437,437
1500755582,428,428
1500759415,402,402
1500763146,398,398
1500770684,424,424
1500774525,425,425
1500778400,426,426
1500782221,430,430
1500786135,440,440
1500790148,414,414
1500793972,431,431
1500797800,410,410
1500801656,431,431
1500805486,385,385
1500813177,404,404
1500817019,440,440
1500820852,435,435
1500824671,440,440
1500828522,442,442
1500836215,438,438
1500843903,407,407
1500847738,405,405
1500855429,424,424
1500859284,424,424
1500863330,417,417
1500867174,428,428
1500871010,433,433
1500878689,429,429
1500882541,425,425
1500890200,403,403
1500894132,441,441
1500898153,385,385
1500902234,443,443
1500909887,438,438
1500913733,440,440
1500917570,439,439
1500921427,440,440
1500925241,437,437
1500929078,414,414
1500932927,408,408
1500936753,420,420
1500944541,435,435
1500948298,442,442
1500952136,442,442
1500955989,441,441
1500960091,423,423
1500963988,403,403
1500967749,428,428
1500971594,410,410
1500975424,441,441
1500979252,397,397
1500983080,426,426
1500987208,440,440
1500991335,440,440
1500995119,439,439
1500998981,416,416
1501002846,445,445
1501006648,444,444
1501010463,450,450
1501014295,445,445
1501018162,443,443
1501021976,440,440
1501025833,425,425
1501029685,412,412
1501033506,415,415
1501037334,422,422
