DateTime,Entries,UniqueIPs
1499409439,238,238
1499413266,240,240
1499417084,240,240
1499420962,240,240
1499424799,238,238
1499428639,234,234
1499432495,234,234
1499440400,14,14
1499444219,20,20
1499448051,28,28
1499451861,34,34
1499455975,37,37
1499459795,42,42
1499463646,48,48
1499467479,55,55
1499471327,60,60
1499475148,61,61
1499479382,66,66
1499486920,73,73
1499490772,77,77
1499494595,83,83
1499498460,84,84
1499502285,86,86
1499506125,90,90
1499509970,93,93
1499517637,104,104
1499525317,113,113
1499533013,118,118
1499536961,121,121
1499540682,126,126
1499552353,136,136
1499559897,139,139
1499563740,145,145
1499567557,152,152
1499571406,161,161
1499575227,163,163
1499579076,173,173
1499582940,175,175
1499586761,177,177
1499590607,188,188
1499594706,194,194
1499598519,198,198
1499602388,206,206
1499606190,215,215
1499610033,215,215
1499614148,213,213
1499617982,216,216
1499621801,214,214
1499625516,211,211
1499629494,213,213
1499633339,212,212
1499637154,213,213
1499641013,219,219
1499644917,225,225
1499648685,230,230
1499652786,227,227
1499656700,218,218
1499660478,205,205
1499664269,196,196
1499668140,197,197
1499671994,198,198
1499675800,198,198
1499679646,200,200
1499683481,196,196
1499687334,197,197
1499691175,198,198
1499695017,196,196
1499698903,196,196
1499702742,190,190
1499706558,187,187
1499710380,182,182
1499714204,182,182
1499718063,178,178
1499721875,179,179
1499725726,175,175
1499729578,172,172
1499733406,169,169
1499737253,171,171
1499741068,175,175
1499744930,176,176
1499748771,179,179
1499752599,179,179
1499923012,178,178
1499926856,177,177
1499930672,180,180
1499934514,183,183
1499938359,185,185
1499942196,189,189
1499946042,192,192
1499949864,196,196
1499953979,197,197
1499958223,198,198
1499961900,195,195
1499965885,199,199
1499969586,198,198
1499973672,199,199
1499977505,196,196
1499981588,198,198
1499985392,202,202
1499989232,205,205
1499993059,213,213
1499996912,210,210
1500000763,211,211
1500004579,209,209
1500008478,208,208
1500012280,203,203
1500016114,208,208
1500019969,208,208
1500023800,207,207
1500027653,208,208
1500031488,208,208
1500035577,206,206
1500039400,205,205
1500043237,206,206
1500047517,208,208
1500051392,210,210
1500055364,208,208
1500059346,202,202
1500063166,199,199
1500067276,197,197
1500071345,189,189
1500075178,191,191
1500079007,187,187
1500082846,189,189
1500086689,189,189
1500090531,187,187
1500102068,194,194
1500105905,193,193
1500109747,197,197
1500117392,199,199
1500125079,207,207
1500128913,211,211
1500136841,211,211
1500140670,211,211
1500144782,212,212
1500148619,214,214
1500152490,217,217
1500156298,218,218
1500160144,217,217
1500163957,218,218
1500167829,220,220
1500171667,222,222
1500175490,221,221
1500179328,220,220
1500183438,221,221
1500187499,222,222
1500191340,223,223
1500195165,227,227
1500199066,229,229
1500202910,226,226
1500206937,231,231
1500211024,236,236
1500214882,239,239
1500218724,240,240
1500222549,237,237
1500226367,238,238
1500230208,236,236
1500234065,237,237
1500237892,237,237
1500241736,237,237
1500245574,237,237
1500249413,236,236
1500253340,238,238
1500257350,241,241
1500261173,242,242
1500265026,243,243
1500268872,245,245
1500272678,246,246
1500276544,245,245
1500280382,244,244
1500284205,247,247
1500288050,248,248
1500291920,250,250
1500295756,246,246
1500299600,241,241
1500303410,232,232
1500307521,227,227
1500311350,202,202
1500315193,195,195
1500319024,186,186
1500322876,179,179
1500326693,174,174
1500330791,174,174
1500334633,161,161
1500338454,152,152
1500342297,152,152
1500346149,153,153
1500349978,153,153
1500353921,152,152
1500357782,155,155
1500361510,151,151
1500365355,151,151
1500369183,149,149
1500373006,151,151
1500376874,154,154
1500380681,159,159
1500384564,160,160
1500388381,159,159
1500392207,161,161
1500396041,162,162
1500399873,161,161
1500403743,163,163
1500407598,162,162
1500411779,161,161
1500415514,162,162
1500419355,160,160
1500423435,162,162
1500427280,162,162
1500431345,159,159
1500435188,163,163
1500439042,162,162
1500442882,165,165
1500446689,165,165
1500450814,162,162
1500454667,160,160
1500458583,158,158
1500462324,160,160
1500466179,154,154
1500469994,154,154
1500473814,154,154
1500477663,153,153
1500481482,153,153
1500485356,157,157
1500489182,157,157
1500493019,161,161
1500496889,160,160
1500500711,153,153
1500504556,156,156
1500508391,161,161
1500512264,164,164
1500516197,166,166
1500519903,166,166
1500523727,167,167
1500527577,165,165
1500531670,7,7
1500535468,15,15
1500539333,22,22
1500543191,35,35
1500547038,45,45
1500550861,55,55
1500554684,68,68
1500558514,78,78
