DateTime,Entries,UniqueIPs
1497750077,63,63
1497761596,64,64
1497792518,70,70
1497815544,72,72
1497834798,74,74
1497866013,78,78
1497873778,79,79
1497881358,81,81
1497916378,84,84
1497939715,85,85
1497966838,87,87
1497985974,89,89
1497989856,92,92
1498017196,94,94
1498028708,96,96
1498032539,97,97
1498040618,98,98
1498048413,3,3
1498052488,6,6
1498056288,11,11
1498060134,12,12
1498063999,13,13
1498067853,14,14
1498071674,15,15
1498075492,17,17
1498087127,18,18
1498122160,19,19
1498134119,23,23
1498142074,26,26
1498145855,28,28
1498149656,29,29
1498157366,30,30
1498161173,31,31
1498165043,32,32
1498187822,34,34
1498195743,35,35
1498199617,41,41
1498207245,42,42
1498215220,43,43
1498230582,45,45
1498238248,47,47
1498245957,50,50
1498253642,51,51
1498261258,52,52
1498265087,53,53
1498284559,54,54
1498311889,56,56
1498319620,57,57
1498330976,61,61
1498339075,62,62
1498346754,63,63
1498365904,64,64
1498400491,67,67
1498404283,70,70
1498408155,74,74
1498412009,75,75
1498423503,76,76
1498431192,75,75
1498438943,74,74
1498446553,72,72
1498458062,71,71
1498465737,72,72
1498477246,71,71
1498501866,71,71
1498506703,72,72
1498514548,71,71
1498522157,72,72
1498525981,72,72
1498529852,71,71
1498537481,72,72
1498552847,73,73
1498568251,73,73
1498572168,74,74
1498575913,73,73
1498579757,71,71
1498591083,70,70
1498594961,71,71
1498617658,70,70
1498621536,68,68
1498625343,68,68
1498637023,69,69
1498656305,65,65
1498660181,65,65
1498664006,66,66
1498667844,67,67
1498671731,67,67
1498675514,68,68
1498679417,69,69
1498702909,70,70
1498706701,70,70
1498718502,67,67
1498722310,66,66
1498737934,65,65
1498745596,66,66
1498757123,67,67
1498761217,68,68
1498796262,69,69
1498800084,70,70
1498804187,69,69
1498819504,68,68
1498831513,68,68
1498843024,66,66
1498850701,67,67
1498854560,67,67
1498862221,66,66
1498881433,65,65
1498916471,68,68
1498920309,71,71
1498924170,46,46
1498927997,16,16
1498931833,15,15
1498935707,18,18
1498939765,17,17
1498943590,15,15
1498947661,15,15
1498951495,15,15
1498955390,16,16
1498959292,14,14
1498963031,13,13
1498966894,13,13
1498970703,14,14
1498989911,13,13
1498993769,14,14
1498997846,15,15
1499009351,17,17
1499017276,17,17
1499021131,16,16
1499025207,17,17
1499029081,17,17
1499032975,12,12
1499036758,12,12
1499040563,14,14
1499044415,13,13
1499071288,14,14
1499091209,15,15
1499106811,19,19
1499126007,20,20
1499168493,21,21
1499191957,22,22
1499195813,23,23
1499199672,25,25
1499238774,27,27
1499254660,29,29
1499281767,30,30
1499351369,31,31
1499366705,34,34
1499370555,36,36
1499374379,37,37
1499390009,38,38
1499393809,39,39
1499397701,41,41
1499413269,42,42
1499417087,44,44
1499420964,45,45
1499440401,5,5
1499444219,7,7
1499451861,8,8
1499455975,10,10
1499459796,13,13
1499463647,14,14
1499467480,15,15
1499479383,16,16
1499509971,17,17
1499517638,18,18
1499525318,29,29
1499529166,30,30
1499533014,29,29
1499536963,17,17
1499540684,16,16
1499544512,12,12
1499552355,14,14
1499559899,14,14
1499567560,14,14
1499571411,13,13
1499579078,13,13
1499582943,15,15
1499594709,18,18
1499598521,20,20
1499602397,22,22
1499606193,21,21
1499614152,22,22
1499617984,21,21
1499625520,17,17
1499629497,18,18
1499633342,18,18
1499641016,17,17
1499644921,19,19
1499652789,18,18
1499656703,17,17
1499660482,17,17
1499664272,17,17
1499668146,19,19
1499671995,17,17
1499675802,14,14
1499679649,15,15
1499683487,13,13
1499687339,16,16
1499691177,16,16
1499695020,18,18
1499698906,21,21
1499702745,21,21
1499710383,20,20
1499714207,17,17
1499718067,18,18
1499721878,17,17
1499725729,16,16
1499729581,15,15
1499733410,12,12
1499744933,13,13
1499748773,15,15
1499923243,21,21
1499927066,22,22
1499930920,23,23
1499934777,22,22
1499942431,23,23
1499953980,26,26
1499961903,27,27
1499977509,30,30
1500008482,31,31
1500016118,32,32
1500023804,34,34
1500039403,38,38
1500051395,39,39
1500055367,42,42
1500059349,43,43
1500063169,45,45
1500067279,47,47
1500071349,48,48
1500075182,51,51
1500079011,48,48
1500082849,42,42
1500086691,19,19
1500090533,18,18
1500102072,23,23
1500105907,20,20
1500109750,23,23
1500117394,21,21
1500125081,20,20
1500128916,24,24
1500136843,22,22
1500140673,19,19
1500144784,19,19
1500148621,19,19
1500152492,16,16
1500156301,17,17
1500160147,16,16
1500167833,14,14
1500171670,13,13
1500175492,16,16
1500179330,17,17
1500183440,16,16
1500187501,15,15
1500195167,15,15
1500199070,14,14
1500206941,15,15
1500211027,17,17
1500218726,18,18
1500226370,14,14
1500234070,17,17
1500253342,15,15
1500257353,16,16
1500261175,19,19
1500265029,15,15
1500268874,15,15
1500284209,16,16
1500299602,19,19
1500311354,20,20
1500319026,21,21
1500330794,22,22
1500342300,23,23
1500353924,24,24
1500357786,24,24
1500369188,25,25
1500384569,26,26
1500388385,27,27
1500399876,31,31
1500407603,34,34
1500439045,36,36
1500450820,34,34
1500458588,35,35
1500462328,33,33
1500473818,35,35
1500489186,38,38
1500493023,39,39
1500496896,40,40
1500508395,41,41
1500512269,42,42
1500516205,43,43
1500519906,44,44
1500531672,4,4
1500535469,5,5
1500539334,8,8
1500543192,9,9
