DateTime,AddedIPs,RemovedIPs
1497922381,0,1
1497933181,1,0
1497940381,0,1
1497961981,1,0
1497965581,1,0
1497969181,1,0
1497983581,1,0
1498005182,1,0
1498008781,0,1
1498012381,0,1
1498030382,1,1
1498033981,1,0
1498037581,0,2
1498041181,1,1
1498048381,2,0
1498084381,0,1
1498091582,1,0
1498102381,1,1
1498113181,1,0
1498120381,0,1
1498127581,0,1
1498134781,1,0
1498152781,2,0
1498159981,1,0
1498163581,0,1
1498170781,1,1
1498177981,2,0
1498181581,1,0
1498188782,1,0
1498195982,0,2
1498199581,1,1
1498206781,2,0
1498210381,2,0
1498217581,1,0
1498221181,2,0
1498224781,1,0
1498228381,2,0
1498231981,2,1
1498235581,1,0
1498242781,1,0
1498246381,1,1
1498253581,0,1
1498257181,2,0
1498267981,1,0
1498271581,1,0
1498278781,1,0
1498289581,0,2
1498293182,1,0
1498296781,0,1
1498307581,1,1
1498314781,1,0
1498318381,1,0
1498321981,1,1
1498325582,1,0
1498329181,1,1
1498336381,1,1
1498350781,2,0
1498361581,0,1
1498365181,1,0
1498368782,3,0
1498379582,1,0
1498383181,1,0
1498386781,1,0
1498393982,1,0
1498401181,1,0
1498411981,1,0
1498422782,2,0
1498437181,1,0
1498440781,1,0
1498447981,1,0
1498473182,0,1
1498480381,2,0
1498483981,0,1
1498491181,1,0
1498510229,0,2
1498534381,1,0
1498537981,0,1
1498541581,2,1
1498545181,1,0
1498566781,1,0
1498570381,2,0
1498573981,0,2
1498577581,0,1
1498588381,1,1
1498591981,1,0
1498609981,0,2
1498613581,1,0
1498620781,1,0
1498624381,0,1
1498631581,0,2
1498638781,1,0
1498642381,1,2
1498649581,1,0
1498653181,1,2
1498660381,1,1
1498663981,1,1
1498667581,1,0
1498681981,0,1
1498699981,1,1
1498717981,0,1
1498728781,0,1
1498739581,0,2
1498743182,1,0
1498746781,2,0
1498750381,1,1
1498753981,0,1
1498757581,1,0
1498771982,0,5
1498775581,2,0
1498789981,1,2
1498807981,0,3
1498815181,0,1
1498822382,1,0
1498825981,0,1
1498829581,1,0
1498833181,0,2
1498843981,0,1
1498854781,0,1
1498861981,0,1
1498869181,0,1
1498901581,1,0
1498905181,0,1
1498915982,0,1
1498926781,0,2
1498930381,1,0
1498937581,1,0
1498944781,0,1
1498955581,1,0
1498959181,1,0
1498962781,0,1
1498973581,0,4
1498984381,0,2
1498991581,0,1
1498995181,0,1
