DateTime,Entries,UniqueIPs
1499452381,53,53
1499455981,58,58
1499459581,51,51
1499463181,50,50
1499466781,49,49
1499470381,53,53
1499473981,52,52
1499477581,52,52
1499481181,52,52
1499484781,50,50
1499488382,50,50
1499491981,49,49
1499495581,49,49
1499499181,50,50
1499502781,52,52
1499506381,52,52
1499509981,51,51
1499513581,52,52
1499517181,52,52
1499520781,51,51
1499524381,53,53
1499527981,52,52
1499531581,53,53
1499535181,53,53
1499538781,54,54
1499542381,54,54
1499545981,53,53
1499549581,54,54
1499553181,56,56
1499556781,55,55
1499560382,59,59
1499563981,57,57
1499567581,57,57
1499571181,57,57
1499574781,56,56
1499578382,55,55
1499581982,56,56
1499585581,59,59
1499589181,54,54
1499592781,54,54
1499596381,55,55
1499599981,50,50
1499603581,53,53
1499607181,56,56
1499610781,56,56
1499614381,55,55
1499617982,54,54
1499621581,55,55
1499625181,56,56
1499628781,54,54
1499632381,56,56
1499635981,58,58
1499639581,59,59
1499643181,59,59
1499646781,60,60
1499650382,58,58
1499653981,57,57
1499657581,53,53
1499661181,54,54
1499664781,54,54
1499668381,54,54
1499671981,54,54
1499675581,54,54
1499679181,53,53
1499682781,53,53
1499686381,55,55
1499689981,52,52
1499693581,51,51
1499697181,52,52
1499700781,52,52
1499704381,54,54
1499707981,55,55
1499711582,52,52
1499715181,54,54
1499718781,54,54
1499722382,56,56
1499725982,58,58
1499729582,59,59
1499733181,58,58
1499736781,59,59
1499740381,56,56
1499743981,55,55
1499747582,55,55
1499751181,53,53
1499757028,50,50
1499761981,50,50
1499765581,51,51
1499769181,50,50
1499772781,53,53
1499776381,52,52
1499779981,54,54
1499785829,53,53
1499789430,52,52
1499793682,53,53
1499797229,52,52
1499800829,54,54
1499804429,53,53
1499808029,54,54
1499811628,58,58
1499819581,60,60
1499823181,60,60
1499830381,57,57
1499833981,58,58
1499841181,58,58
1499845229,58,58
1499855581,56,56
1499859181,58,58
1499862781,56,56
1499869981,57,57
1499873581,55,55
1499880781,57,57
1499884381,55,55
1499891581,57,57
1499895181,59,59
1499902381,58,58
1499905981,56,56
1499913181,53,53
1499916781,51,51
1499923981,53,53
1499927581,54,54
1499934781,57,57
1499938381,57,57
1499945581,55,55
1499949182,56,56
1499956381,58,58
1499959981,58,58
1499967181,58,58
1499970781,56,56
1499977981,57,57
1499981581,62,62
1499988781,60,60
1499992381,59,59
1499999581,62,62
1500003181,61,61
1500010381,56,56
1500013981,59,59
1500021181,59,59
1500024781,59,59
1500031981,53,53
1500035581,55,55
1500042781,57,57
1500046381,58,58
1500053581,58,58
1500057182,63,63
1500064381,62,62
1500067981,61,61
1500075181,61,61
1500078781,64,64
1500085981,64,64
1500089581,63,63
1500096781,59,59
1500100382,61,61
1500107581,59,59
1500111181,58,58
1500118381,56,56
1500121982,58,58
1500129182,54,54
1500132781,56,56
1500139981,61,61
1500143581,58,58
1500150781,53,53
1500154381,58,58
1500161581,56,56
1500165182,56,56
1500172381,58,58
1500175982,57,57
1500183181,59,59
1500186781,58,58
1500193981,59,59
1500197582,57,57
1500204781,58,58
1500208381,57,57
1500215582,55,55
1500219181,54,54
1500226381,55,55
1500229981,55,55
1500237181,55,55
1500240781,52,52
1500247982,56,56
1500251581,61,61
1500258781,59,59
1500262381,58,58
1500269581,56,56
1500273181,56,56
1500280381,57,57
1500283981,57,57
1500291181,57,57
1500294781,58,58
1500301982,55,55
1500305581,54,54
1500312781,55,55
1500316382,57,57
1500323581,57,57
1500327181,60,60
1500334381,60,60
1500337982,58,58
1500345181,56,56
1500348781,53,53
1500355981,54,54
1500359581,53,53
1500366782,50,50
1500370382,49,49
1500377581,52,52
1500381181,58,58
1500388381,56,56
1500391981,55,55
1500399181,51,51
1500402781,56,56
1500409981,54,54
1500413581,57,57
1500420781,56,56
1500424381,57,57
1500431581,55,55
1500435181,53,53
1500442381,56,56
1500445981,57,57
1500453182,54,54
1500456781,53,53
1500463981,56,56
1500467582,57,57
1500474781,54,54
1500478382,53,53
1500481981,56,56
1500485581,55,55
1500492782,58,58
1500496381,56,56
1500499981,55,55
1500503581,57,57
1500507181,57,57
1500514381,57,57
1500517981,52,52
1500525181,55,55
1500528781,52,52
1500532381,52,52
1500535981,53,53
1500543181,52,52
1500546781,54,54
1500550382,56,56
1500557581,56,56
1500561181,54,54
1500564781,55,55
1500568381,56,56
1500571981,57,57
1500575581,60,60
1500579181,57,57
1500586381,56,56
1500589981,57,57
1500597181,61,61
1500600781,60,60
1500607981,61,61
1500611581,62,62
1500618781,55,55
1500622381,53,53
1500625981,53,53
1500629581,54,54
1500633181,53,53
1500636781,53,53
1500640381,55,55
1500643981,58,58
1500647581,57,57
1500651181,56,56
1500654781,56,56
1500658381,57,57
1500661982,58,58
1500665581,55,55
1500669181,54,54
1500672782,57,57
1500676381,58,58
1500679982,58,58
1500683581,58,58
1500687182,56,56
1500690781,56,56
1500697982,55,55
1500701581,54,54
1500705181,55,55
1500708781,57,57
1500712381,54,54
1500715981,55,55
1500719581,56,56
1500723181,55,55
1500726781,52,52
1500730381,52,52
1500733981,52,52
1500737581,53,53
1500741181,54,54
1500744781,54,54
1500748381,57,57
1500751981,54,54
1500755581,57,57
1500759181,56,56
1500762781,55,55
1500769981,55,55
1500773581,57,57
1500780781,58,58
1500784381,57,57
1500791581,60,60
1500795181,59,59
1500802381,57,57
1500805981,54,54
1500813182,55,55
1500816782,56,56
1500823981,55,55
1500827581,55,55
1500834782,58,58
1500838381,56,56
1500845581,55,55
1500849181,55,55
1500856381,53,53
1500859981,50,50
1500867182,51,51
1500870781,50,50
1500874381,53,53
1500877981,52,52
1500881581,55,55
1500885181,54,54
1500892381,55,55
1500895981,57,57
1500903628,56,56
1500910381,56,56
1500913981,56,56
1500917581,56,56
1500921181,55,55
1500924781,58,58
1500928381,58,58
1500931981,61,61
1500935581,57,57
1500939181,55,55
1500946381,57,57
1500949981,60,60
1500957181,59,59
1500960781,59,59
1500964381,55,55
1500967981,56,56
1500971581,54,54
1500978781,56,56
1500982381,56,56
1500989582,56,56
1500993181,57,57
1500996781,56,56
1501000381,55,55
1501003981,56,56
1501007581,57,57
1501011181,57,57
1501014781,57,57
1501018381,57,57
1501021981,54,54
1501025581,56,56
1501029181,58,58
1501032781,59,59
1501039981,58,58
1501043581,56,56
1501047181,57,57
1501050781,57,57
1501054381,57,57
1501057981,57,57
1501065181,57,57
1501068781,56,56
1501075981,55,55
1501079582,58,58
1501083181,56,56
1501086781,53,53
1501090381,54,54
1501093981,56,56
1501097581,57,57
1501101182,56,56
1501104782,54,54
1501108381,53,53
1501111981,55,55
1501115581,57,57
1501122782,57,57
1501126381,54,54
1501129981,55,55
1501133581,56,56
1501137181,57,57
1501140781,56,56
1501147981,57,57
1501151582,53,53
1501158781,54,54
1501162381,53,53
1501165981,52,52
1501169581,53,53
1501173181,51,51
1501176781,53,53
1501180382,53,53
1501183981,52,52
1501187581,53,53
1501191181,53,53
1501194781,56,56
1501198382,54,54
1501201981,55,55
1501205581,54,54
1501209181,57,57
1501212781,58,58
1501216381,56,56
1501219981,55,55
1501223581,54,54
1501227181,56,56
1501230782,58,58
1501234381,56,56
1501237981,55,55
1501241581,54,54
1501245181,54,54
1501248781,53,53
1501252381,53,53
1501255981,53,53
1501259581,53,53
1501263181,54,54
1501266781,54,54
1501270381,55,55
1501273981,52,52
1501277581,53,53
1501281181,55,55
1501284782,55,55
1501288381,57,57
1501291981,56,56
1501295581,53,53
1501299182,51,51
1501302781,51,51
1501306381,52,52
1501309981,52,52
1501313582,53,53
1501317181,55,55
1501320781,54,54
1501324381,54,54
1501327981,53,53
1501331581,53,53
1501335182,55,55
1501338781,53,53
1501342381,56,56
1501345981,56,56
1501349581,55,55
1501353181,54,54
1501356782,56,56
1501360382,55,55
1501363981,57,57
1501367581,56,56
1501371181,55,55
1501374781,58,58
1501381981,57,57
1501385581,54,54
1501389183,51,51
1501392781,51,51
1501396381,51,51
1501399981,53,53
1501403581,54,54
1501407181,52,52
1501410781,52,52
1501414381,51,51
1501417982,54,54
1501421581,55,55
1501428781,54,54
1501432381,51,51
1501435981,52,52
1501443182,52,52
1501446781,55,55
1501450382,54,54
1501457581,53,53
1501461181,55,55
1501464781,56,56
1501471981,58,58
1501475583,55,55
1501479181,55,55
1501482781,54,54
1501489981,53,53
1501493581,53,53
1501500781,56,56
1501504382,54,54
1501507982,58,58
1501511581,57,57
1501515181,58,58
1501522381,59,59
1501525982,59,59
1501533181,58,58
1501536781,59,59
1501543981,59,59
1501547581,60,60
1501551181,58,58
1501558381,57,57
1501561981,56,56
1501565581,57,57
1501569181,53,53
1501576381,51,51
1501579982,52,52
1501583582,55,55
1501587182,54,54
1501590781,52,52
1501594381,49,49
1501597982,52,52
1501605181,53,53
1501608781,55,55
1501612381,54,54
1501615981,58,58
1501619581,57,57
1501623181,57,57
1501626781,57,57
1501633981,56,56
1501637581,53,53
1501644781,52,52
1501648381,53,53
1501651981,55,55
