DateTime,AddedIPs,RemovedIPs
1471340605,2,0
1471425503,0,1
1471511737,0,1
1471519072,0,1
1471604930,1,0
1471856656,1,1
1471860217,1,0
1471860780,1,0
1471864396,1,0
1471948405,1,1
1471970701,0,1
1472116549,4,1
1472207431,3,0
1472451748,1,6
1472460422,0,1
1472460970,1,0
1472540104,1,1
1472554703,2,1
1472571327,3,0
1472586878,0,1
1472594104,2,0
1472710597,0,5
1472723615,3,0
1472727655,1,1
1472765402,1,1
1472807211,1,1
1472814030,1,0
1472895487,1,1
1472900140,0,1
1472906233,0,1
1472972417,0,1
1472990152,1,0
1473066554,1,2
1473077471,0,1
1473168232,2,0
1473181233,1,1
1473238045,1,0
1473240761,0,1
1473325286,0,1
1473326494,1,0
1473336107,0,2
1473707682,1,0
1473710025,1,0
1473714968,0,1
1473726244,0,2
1473860974,0,1
1473869539,0,1
1473948946,0,1
1473962522,1,0
1474017903,1,1
1474020892,2,0
1474060574,1,0
1474106811,0,2
1474107281,1,1
1474120191,2,1
1474131640,0,1
1474234872,2,2
1474237510,1,0
1474277740,0,2
1474287013,1,0
1474382711,2,0
1474397318,1,0
1474405526,1,0
1474448422,0,2
1474457666,1,1
1474543872,0,1
1474545155,1,1
1474635367,1,0
1474707721,1,0
1474720636,1,0
1474805617,0,1
1474857017,0,1
1475128828,1,0
1475142432,0,1
1475143530,0,1
1475149109,1,1
1475162105,2,0
1475166606,1,1
1475169309,1,1
1475181006,1,1
1475182806,1,1
1475228496,1,1
1475230195,1,1
1475234280,1,0
1475237516,1,0
1475313464,1,1
1475399983,1,0
1475484980,1,1
1475488956,1,0
1475519610,1,1
1475574476,1,2
1475662889,1,0
1475744973,1,1
1475746556,1,1
1475747168,1,1
1475753085,0,1
1475756122,0,1
1475762383,0,1
1475839819,2,0
1475842538,0,1
1476092498,1,1
1476097789,0,1
1476099303,1,1
1476183030,1,0
1476304756,1,0
1476442944,1,0
1476525729,1,1
1476616094,1,15
1476633604,0,1
1476867301,1,0
1476871596,1,1
1476872190,1,0
1477301776,1,0
1477304092,1,1
1477305887,1,1
1477398958,2,1
1477401951,0,1
1477477796,0,1
1477561723,1,1
1477648059,1,1
1477731781,2,0
1477734148,1,0
1477737915,0,2
1477822203,1,2
1477825546,1,1
1477906700,2,1
1477916541,1,0
1477983625,1,1
1477992019,0,1
1477998981,1,1
1478085757,2,1
1478115052,2,0
1478164818,0,1
1478167473,2,2
1478250096,0,1
1478254536,1,1
1478340779,3,1
1478378701,0,2
1478681871,1,1
1478685272,0,1
1478685763,1,0
1478688281,1,0
1478693823,2,0
1478765707,0,2
1478779132,1,0
1478853928,0,1
1478870375,1,1
1478959626,1,0
1479048875,1,0
1479207809,2,3
1479305471,1,0
1479459279,1,0
1479464824,1,0
1479466183,0,1
1479991512,0,1
1480071763,1,0
1480160821,1,0
1480212924,0,1
1480323783,0,1
1480327708,0,1
1480588841,2,1
1480589929,0,1
1480593319,3,1
1480601701,0,1
1480765579,0,1
1480851883,2,0
1480940894,0,1
1481116853,1,1
1481119162,0,1
1481271657,0,1
1481272855,0,2
1481275157,0,1
1481284030,0,1
1481378260,1,0
1481455955,1,1
1481460523,1,0
1481519703,1,1
1481622532,0,1
1481704547,1,0
1481710054,1,1
1481812627,1,0
1481882756,0,1
1481972608,1,0
1481973223,0,1
1481976062,0,1
1482059138,1,0
1482062627,1,0
1482403438,0,1
1482405531,0,1
1482406934,1,0
1482482535,1,0
1482596159,1,0
1482753788,1,0
1482840509,0,1
1482921375,1,0
1482923826,1,1
1483009161,0,1
1483013678,1,0
1483466286,1,1
1483610488,0,1
1483615535,1,1
1483789166,0,1
1484210664,0,16
1484996890,1,1
1485001814,1,0
1485106202,0,1
1485507783,1,0
1485602147,1,0
1485766493,0,1
1486113382,1,2
1486409895,1,0
1486412594,1,0
1486547825,1,1
1486634889,0,1
1486636872,1,1
1486894080,1,1
1486977630,1,2
1487413783,1,0
1487671999,1,1
1487842325,0,2
1487845364,2,1
1488273876,0,1
1488275499,0,1
1488621936,1,0
1488624922,0,1
1488714090,0,1
1488964468,1,1
1489394210,3,8
1489554940,0,3
1489559667,0,1
1489560322,2,0
1489651549,1,1
1489757740,1,0
1489923505,4,1
1490079603,1,0
1490089112,1,2
1490123769,1,1
1490126406,1,0
1490171843,2,1
1490172762,0,1
1490256251,0,1
1490257221,1,0
1490472902,1,0
1490521596,2,0
1490600224,0,1
1490654765,0,1
1490687113,1,0
1490690692,0,1
1490712351,0,1
1490713212,1,0
1490719566,0,1
1490721317,1,0
1490725880,0,1
1490727614,1,0
1490789748,0,1
1490791560,1,0
1490794261,0,1
1490796061,1,0
1490797854,0,1
1490798718,1,0
1490804168,0,1
1490805027,1,0
1490814962,0,1
1490816713,1,0
1490832975,0,1
1490836558,1,0
1490837459,0,1
1490840164,1,0
1490850960,0,1
1490851861,1,0
1490866316,1,1
1490878066,0,1
1490879810,1,0
1490881615,0,1
1490882456,1,0
1490886117,0,1
1490886960,1,0
1490890619,0,1
1490891521,1,0
1490893286,0,1
1490894142,1,0
1490966158,0,1
1490971518,1,0
1491204220,2,0
1491356718,0,1
1491375565,0,1
1491376387,1,1
1492432374,1,1
1492441708,1,0
1492699264,1,1
1493288256,1,1
1493389604,1,2
1493493053,1,1
1493577002,1,1
1493624020,1,1
1493660703,1,1
1493801700,0,1
1493930702,1,0
1493967839,1,1
1494068772,1,1
1494148219,1,1
1494151726,1,1
1494161112,1,1
1494162910,1,1
1494226997,1,1
1494229428,1,0
1494319010,1,1
1494342908,1,1
1494666778,3,3
1494668083,2,1
1494670511,1,1
1494693001,0,1
1494754207,1,1
1494837055,1,1
1495029199,1,1
1495177353,1,1
1495442377,1,2
1495611500,3,2
1495793194,1,1
1495983993,1,0
1495985404,0,1
1496127933,1,2
1496301332,1,1
1496302660,1,0
1496394001,2,1
1496395468,0,1
1496668758,1,3
1496670048,2,1
1496693496,2,1
1496834204,4,5
1496840002,1,1
1496905676,1,2
1496997983,1,1
1497174270,2,3
1497347748,1,1
1497947030,2,1
1497948956,2,1
1497949637,0,1
1498038821,0,1
1499074224,1,0
1499075530,1,2
1499079011,1,0
1499079914,1,0
1499249029,1,1
1499345047,0,131
1499598449,132,0
1499600390,0,1
1499604311,1,0
1499608401,1,1
1499670839,1,1
1499763001,0,1
1499847180,1,1
1499930632,1,1
1500024546,1,1
1500111163,1,0
1500117734,3,0
1500129910,0,1
1500196596,1,1
1500197884,1,0
1500283754,2,1
1500285221,1,1
1500298798,1,0
1500366563,0,1
1500369964,1,1
1500536731,1,0
1500581703,1,1
1500583503,1,1
1500586204,1,1
1500621573,0,1
1500635037,1,0
1500804495,2,1
1500879109,2,1
1500964945,0,1
1500966446,1,1
1501010101,1,0
1501138739,0,1
1501141291,0,1
1501150603,0,1
1501169435,1,0
1501170345,0,1
1501180238,1,0
1501184743,0,1
1501197332,1,0
1501198252,0,1
1501221724,1,0
1501222550,0,1
1501226172,1,0
1501227078,0,1
1501233357,1,0
1501234246,0,1
1501242442,1,0
1501243240,0,1
1501267529,1,0
1501268431,0,1
1501281034,1,0
1501289136,0,1
1501297222,1,0
1501299040,0,1
1501300830,1,0
1501301727,0,1
1501303554,1,0
1501307130,0,1
1501311659,1,0
1501313459,0,1
1501321552,1,0
1501322446,0,1
1501327898,1,0
1501328760,0,1
1501332348,1,0
1501333227,0,1
1501335978,1,0
1501338639,0,1
1501344023,1,0
1501344932,0,1
1501353932,1,0
1501354825,0,1
1501358502,1,0
1501359329,0,1
1501362927,1,0
1501363841,0,1
1501376430,1,0
1501378232,0,1
1501379128,1,0
1501380931,0,1
1501383628,1,0
1501388128,0,1
1501393537,1,0
1501394434,0,1
1501397133,1,0
1501398927,0,1
1501402522,1,0
1501407027,0,1
1501412421,1,0
1501416940,0,1
1501423226,1,0
1501427729,0,1
1501433128,1,0
1501434927,0,1
1501446632,1,0
1501447544,0,1
1501449330,1,0
1501454728,0,1
1501458324,1,0
1501459232,0,1
1501467346,1,0
1501470022,0,1
1501471842,1,0
1501472735,0,1
1501474529,1,0
1501475441,0,1
1501479067,1,0
1501482656,0,1
1501491652,1,0
1501492547,0,1
1501494361,1,0
1501495258,0,1
1501506957,1,0
1501508750,0,1
1501510538,1,0
1501514143,0,1
1501517755,1,0
1501518641,0,1
1501521340,1,0
1501523130,0,1
1501526733,1,0
1501527644,0,1
1501533060,1,0
1501533942,0,1
1501542937,1,0
1501544737,0,1
1501548343,1,0
1501551109,0,1
1501553014,1,0
1501553759,0,1
1501557342,1,0
1501560936,0,1
1501563644,1,0
1501565467,0,1
1501569081,1,0
1501569960,0,1
1501571749,1,0
1501573554,0,1
1501577168,1,0
1501578081,0,1
1501590660,1,0
1501592450,0,1
1501596047,1,0
1501596973,0,1
1501599640,1,0
1501601453,0,1
1501607746,1,0
1501613126,0,1
1501626656,1,0
1501627541,0,1
1501638328,1,0
1501639484,0,1
1501641044,1,0
1501643744,0,1
1501651850,1,0
1501653650,0,1
